nodeid	seq_no	src_id	rec_time_h	rec_time_l	hop_delay_h	hop_delay_l	insert_time	motelabMoteID	milli_time	motelabSeqNo
11	0	3	0	20404	0	20538	2018-06-10 19:07:58	40011	1528628878038	1
13	0	11	0	20481	0	20449	2018-06-10 19:07:58	40013	1528628878073	2
12	0	3	0	20950	0	20674	2018-06-10 19:07:58	40012	1528628878111	3
37	0	13	0	19421	0	20514	2018-06-10 19:07:58	40037	1528628878146	4
39	0	37	0	19450	0	19439	2018-06-10 19:07:58	40039	1528628878179	5
10	0	3	0	21045	0	20786	2018-06-10 19:07:58	40010	1528628878246	6
20	0	11	0	20885	0	20723	2018-06-10 19:07:58	40020	1528628878303	7
80	0	10	0	18789	0	21126	2018-06-10 19:07:58	40080	1528628878338	8
70	0	80	0	18832	0	18825	2018-06-10 19:07:58	40070	1528628878371	9
21	0	13	0	20830	0	20768	2018-06-10 19:07:58	40021	1528628878405	10
72	0	70	0	18897	0	18863	2018-06-10 19:07:58	40072	1528628878438	11
17	0	80	0	20888	0	18937	2018-06-10 19:07:58	40017	1528628878471	12
33	0	37	0	19935	0	19805	2018-06-10 19:07:58	40033	1528628878505	13
56	0	37	0	19239	0	19805	2018-06-10 19:07:58	40056	1528628878538	14
64	0	8	0	19043	0	21105	2018-06-10 19:07:58	40064	1528628878580	15
67	0	64	0	19081	0	19085	2018-06-10 19:07:58	40067	1528628878614	16
38	0	37	0	20054	0	19949	2018-06-10 19:07:58	40038	1528628878647	17
120	0	70	0	19556	0	19151	2018-06-10 19:07:58	40120	1528628878714	18
32	0	33	0	19982	0	20013	2018-06-10 19:07:58	40032	1528628878747	19
8	0	9	0	21006	0	20980	2018-06-10 19:07:58	40008	1528628878805	20
123	0	117	0	20021	0	19683	2018-06-10 19:07:58	40123	1528628878931	21
53	0	41	0	19297	0	19443	2018-06-10 19:07:59	40053	1528628878999	22
48	0	40	0	19830	0	20451	2018-06-10 19:07:59	40048	1528628879122	23
124	0	71	0	19964	0	19777	2018-06-10 19:07:59	40124	1528628879164	24
44	0	43	0	19622	0	19615	2018-06-10 19:07:59	40044	1528628879206	25
41	0	56	0	19403	0	19305	2018-06-10 19:07:59	40041	1528628879248	26
139	0	129	0	20395	0	20123	2018-06-10 19:07:59	40139	1528628879331	27
119	0	117	0	20039	0	19978	2018-06-10 19:07:59	40119	1528628879373	28
129	0	123	0	20007	0	20272	2018-06-10 19:07:59	40129	1528628879415	29
121	0	119	0	20233	0	20166	2018-06-10 19:07:59	40121	1528628879540	30
135	0	64	0	19592	0	19249	2018-06-10 19:07:59	40135	1528628879623	31
122	0	139	0	20465	0	20666	2018-06-10 19:07:59	40122	1528628879665	32
132	0	71	0	19792	0	19598	2018-06-10 19:07:59	40132	1528628879707	33
66	0	77	0	20470	0	19818	2018-06-10 19:07:59	40066	1528628879815	34
9	0	13	0	20980	0	20864	2018-06-10 19:07:59	40009	1528628879851	35
118	0	123	0	20167	0	20180	2018-06-10 19:07:59	40118	1528628879915	36
131	0	123	0	20019	0	20272	2018-06-10 19:08:00	40131	1528628880016	37
75	0	71	0	19306	0	19484	2018-06-10 19:08:00	40075	1528628880116	38
43	0	40	0	19452	0	20033	2018-06-10 19:08:00	40043	1528628880149	39
71	0	69	0	19275	0	19473	2018-06-10 19:08:00	40071	1528628880183	40
40	0	41	0	19972	0	19493	2018-06-10 19:08:00	40040	1528628880383	41
24	0	41	0	19935	0	19403	2018-06-10 19:08:00	40024	1528628880416	42
50	0	53	0	19381	0	19392	2018-06-10 19:08:00	40050	1528628880485	43
117	0	135	0	19552	0	19612	2018-06-10 19:08:00	40117	1528628880550	44
47	0	40	0	19439	0	20066	2018-06-10 19:08:00	40047	1528628880716	45
69	0	70	0	19431	0	19056	2018-06-10 19:08:00	40069	1528628880750	46
127	0	119	0	20551	0	20294	2018-06-10 19:08:01	40127	1528628881084	47
78	0	70	0	18879	0	18863	2018-06-10 19:08:01	40078	1528628881284	48
63	0	64	0	19377	0	19408	2018-06-10 19:08:01	40063	1528628881351	49
115	0	118	0	20311	0	20287	2018-06-10 19:08:01	40115	1528628881384	50
77	0	50	0	19605	0	19775	2018-06-10 19:08:01	40077	1528628881785	51
41	4608	16736	0	24734	0	0	2018-06-10 19:08:03	40041	1528628883750	52
40	4608	41	0	25239	0	24765	2018-06-10 19:08:03	40040	1528628883818	53
