nodeid	seq_no	tail_time_h	tail_time_l	insert_time	motelabMoteID	milli_time	motelabSeqNo
12	0	0	20937	2018-06-10 19:07:58	40012	1528628878213	1
11	0	0	20379	2018-06-10 19:07:58	40011	1528628878680	2
37	0	0	19403	2018-06-10 19:07:58	40037	1528628878847	3
21	0	0	20816	2018-06-10 19:07:58	40021	1528628878889	4
17	0	0	20875	2018-06-10 19:07:59	40017	1528628879039	5
13	0	0	20465	2018-06-10 19:07:59	40013	1528628879081	6
80	0	0	18775	2018-06-10 19:07:59	40080	1528628879289	7
33	0	0	19915	2018-06-10 19:07:59	40033	1528628879456	8
10	0	0	20949	2018-06-10 19:07:59	40010	1528628879498	9
70	0	0	18755	2018-06-10 19:07:59	40070	1528628879582	10
129	0	0	19992	2018-06-10 19:07:59	40129	1528628879748	11
123	0	0	19979	2018-06-10 19:07:59	40123	1528628879782	12
132	0	0	19777	2018-06-10 19:07:59	40132	1528628879882	13
44	0	0	19609	2018-06-10 19:07:59	40044	1528628879949	14
20	0	0	20870	2018-06-10 19:07:59	40020	1528628879986	15
64	0	0	18994	2018-06-10 19:08:00	40064	1528628880082	16
131	0	0	20003	2018-06-10 19:08:00	40131	1528628880216	17
139	0	0	20378	2018-06-10 19:08:00	40139	1528628880283	18
72	0	0	18879	2018-06-10 19:08:00	40072	1528628880316	19
39	0	0	19436	2018-06-10 19:08:00	40039	1528628880349	20
32	0	0	19963	2018-06-10 19:08:00	40032	1528628880449	21
41	0	0	19388	2018-06-10 19:08:00	40041	1528628880516	22
9	0	0	20966	2018-06-10 19:08:00	40009	1528628880583	23
119	0	0	19966	2018-06-10 19:08:00	40119	1528628880616	24
24	0	0	19892	2018-06-10 19:08:00	40024	1528628880650	25
75	0	0	19287	2018-06-10 19:08:00	40075	1528628880683	26
124	0	0	19883	2018-06-10 19:08:00	40124	1528628880783	27
47	0	0	19418	2018-06-10 19:08:00	40047	1528628880817	28
69	0	0	19332	2018-06-10 19:08:00	40069	1528628880850	29
48	0	0	19816	2018-06-10 19:08:00	40048	1528628880883	30
67	0	0	19064	2018-06-10 19:08:00	40067	1528628880917	31
120	0	0	19531	2018-06-10 19:08:00	40120	1528628880950	32
38	0	0	20003	2018-06-10 19:08:00	40038	1528628880984	33
53	0	0	19283	2018-06-10 19:08:01	40053	1528628881017	34
40	0	0	19910	2018-06-10 19:08:01	40040	1528628881050	35
8	0	0	20992	2018-06-10 19:08:01	40008	1528628881117	36
117	0	0	19504	2018-06-10 19:08:01	40117	1528628881151	37
121	0	0	20027	2018-06-10 19:08:01	40121	1528628881184	38
66	0	0	20451	2018-06-10 19:08:01	40066	1528628881217	39
71	0	0	19262	2018-06-10 19:08:01	40071	1528628881251	40
135	0	0	19480	2018-06-10 19:08:01	40135	1528628881418	41
56	0	0	19225	2018-06-10 19:08:01	40056	1528628881451	42
118	0	0	20151	2018-06-10 19:08:01	40118	1528628881484	43
43	0	0	19431	2018-06-10 19:08:01	40043	1528628881551	44
78	0	0	18861	2018-06-10 19:08:01	40078	1528628881584	45
50	0	0	19336	2018-06-10 19:08:01	40050	1528628881618	46
63	0	0	19296	2018-06-10 19:08:01	40063	1528628881651	47
122	0	0	20447	2018-06-10 19:08:01	40122	1528628881685	48
115	0	0	20267	2018-06-10 19:08:01	40115	1528628881718	49
127	0	0	20303	2018-06-10 19:08:01	40127	1528628881751	50
77	0	0	19333	2018-06-10 19:08:01	40077	1528628881818	51
48	4608	0	24642	2018-06-10 19:08:04	40048	1528628884302	52
41	4608	0	24723	2018-06-10 19:08:04	40041	1528628884469	53
39	4608	0	25248	2018-06-10 19:08:04	40039	1528628884503	54
32	4608	0	25754	2018-06-10 19:08:04	40032	1528628884738	55
66	4608	0	25201	2018-06-10 19:08:04	40066	1528628884771	56
53	4608	0	24650	2018-06-10 19:08:04	40053	1528628884905	57
47	4608	0	24689	2018-06-10 19:08:04	40047	1528628884971	58
120	4608	0	25428	2018-06-10 19:08:05	40120	1528628885239	59
9	4608	0	27269	2018-06-10 19:08:05	40009	1528628885322	60
127	4608	0	25822	2018-06-10 19:08:05	40127	1528628885430	61
129	4608	0	25258	2018-06-10 19:08:05	40129	1528628885458	62
64	4608	0	24966	2018-06-10 19:08:05	40064	1528628885492	63
75	4608	0	25192	2018-06-10 19:08:05	40075	1528628885525	64
17	4608	0	27305	2018-06-10 19:08:05	40017	1528628885592	65
26	4608	0	25768	2018-06-10 19:08:05	40026	1528628885625	66
132	4608	0	25801	2018-06-10 19:08:05	40132	1528628885692	67
37	4608	0	25199	2018-06-10 19:08:05	40037	1528628885725	68
20	4608	0	27307	2018-06-10 19:08:05	40020	1528628885759	69
52	4608	0	24702	2018-06-10 19:08:05	40052	1528628885792	70
121	4608	0	25505	2018-06-10 19:08:05	40121	1528628885825	71
21	4608	0	27233	2018-06-10 19:08:05	40021	1528628885959	72
124	4608	0	25546	2018-06-10 19:08:05	40124	1528628885992	73
72	4608	0	25208	2018-06-10 19:08:06	40072	1528628886026	74
80	4608	0	25185	2018-06-10 19:08:06	40080	1528628886059	75
77	4608	0	24426	2018-06-10 19:08:06	40077	1528628886093	76
139	4608	0	25748	2018-06-10 19:08:06	40139	1528628886126	77
8	4608	0	27301	2018-06-10 19:08:06	40008	1528628886159	78
131	4608	0	25814	2018-06-10 19:08:06	40131	1528628886193	79
40	4608	0	25227	2018-06-10 19:08:06	40040	1528628886260	80
38	4608	0	25440	2018-06-10 19:08:06	40038	1528628886293	81
43	4608	0	24702	2018-06-10 19:08:06	40043	1528628886327	82
11	4608	0	26797	2018-06-10 19:08:06	40011	1528628886451	83
115	4608	0	25571	2018-06-10 19:08:06	40115	1528628886585	84
33	4608	0	25708	2018-06-10 19:08:06	40033	1528628886643	85
12	4608	0	27871	2018-06-10 19:08:06	40012	1528628886677	86
63	4608	0	24722	2018-06-10 19:08:06	40063	1528628886777	87
67	4608	0	24976	2018-06-10 19:08:06	40067	1528628886810	88
135	4608	0	25482	2018-06-10 19:08:06	40135	1528628886844	89
69	4608	0	25322	2018-06-10 19:08:06	40069	1528628886877	90
44	4608	0	24906	2018-06-10 19:08:06	40044	1528628886944	91
24	4608	0	25684	2018-06-10 19:08:07	40024	1528628887044	92
50	4608	0	24779	2018-06-10 19:08:07	40050	1528628887077	93
10	4608	0	27480	2018-06-10 19:08:07	40010	1528628887144	94
78	4608	0	25160	2018-06-10 19:08:07	40078	1528628887178	95
123	4608	0	25817	2018-06-10 19:08:07	40123	1528628887211	96
122	4608	0	25725	2018-06-10 19:08:07	40122	1528628887244	97
118	4608	0	25993	2018-06-10 19:08:07	40118	1528628887278	98
13	4608	0	26781	2018-06-10 19:08:07	40013	1528628887311	99
70	4608	0	24771	2018-06-10 19:08:07	40070	1528628887578	100
117	4608	0	25378	2018-06-10 19:08:07	40117	1528628887612	101
3	4608	0	27436	2018-06-10 19:08:07	40003	1528628887770	102
56	4608	0	25108	2018-06-10 19:08:07	40056	1528628887828	103
71	4608	0	25187	2018-06-10 19:08:07	40071	1528628887929	104
119	4608	0	25826	2018-06-10 19:08:07	40119	1528628887962	105
12	1	0	41246	2018-06-10 19:08:18	40012	1528628898137	106
13	1	0	40992	2018-06-10 19:08:18	40013	1528628898309	107
72	1	0	39380	2018-06-10 19:08:18	40072	1528628898571	108
10	1	0	41444	2018-06-10 19:08:18	40010	1528628898738	109
8	1	0	41445	2018-06-10 19:08:19	40008	1528628899048	110
80	1	0	39095	2018-06-10 19:08:19	40080	1528628899148	111
17	1	0	41250	2018-06-10 19:08:19	40017	1528628899181	112
123	1	0	39979	2018-06-10 19:08:19	40123	1528628899281	113
67	1	0	39723	2018-06-10 19:08:19	40067	1528628899348	114
118	1	0	40202	2018-06-10 19:08:19	40118	1528628899415	115
119	1	0	40035	2018-06-10 19:08:19	40119	1528628899448	116
122	1	0	40434	2018-06-10 19:08:19	40122	1528628899649	117
121	1	0	39728	2018-06-10 19:08:19	40121	1528628899849	118
9	1	0	41954	2018-06-10 19:08:19	40009	1528628899882	119
11	1	0	42312	2018-06-10 19:08:19	40011	1528628899949	120
44	1	0	40666	2018-06-10 19:08:20	40044	1528628900016	121
129	1	0	40026	2018-06-10 19:08:20	40129	1528628900083	122
33	1	0	41428	2018-06-10 19:08:20	40033	1528628900116	123
132	1	0	40199	2018-06-10 19:08:20	40132	1528628900183	124
24	1	0	41377	2018-06-10 19:08:20	40024	1528628900216	125
50	1	0	40848	2018-06-10 19:08:20	40050	1528628900250	126
115	1	0	40311	2018-06-10 19:08:20	40115	1528628900283	127
40	1	0	41464	2018-06-10 19:08:20	40040	1528628900316	128
71	1	0	39667	2018-06-10 19:08:20	40071	1528628900483	129
120	1	0	39807	2018-06-10 19:08:20	40120	1528628900517	130
52	1	0	40425	2018-06-10 19:08:20	40052	1528628900617	131
70	1	0	39276	2018-06-10 19:08:20	40070	1528628900650	132
127	1	0	40084	2018-06-10 19:08:20	40127	1528628900684	133
48	1	0	40673	2018-06-10 19:08:20	40048	1528628900717	134
41	1	0	40975	2018-06-10 19:08:20	40041	1528628900750	135
20	1	0	42303	2018-06-10 19:08:20	40020	1528628900784	136
21	1	0	41814	2018-06-10 19:08:20	40021	1528628900850	137
139	1	0	40473	2018-06-10 19:08:20	40139	1528628900884	138
135	1	0	39981	2018-06-10 19:08:20	40135	1528628900951	139
131	1	0	39998	2018-06-10 19:08:20	40131	1528628900984	140
53	1	0	41271	2018-06-10 19:08:21	40053	1528628901017	141
63	1	0	40084	2018-06-10 19:08:21	40063	1528628901084	142
75	1	0	39644	2018-06-10 19:08:21	40075	1528628901118	143
16	1	0	42330	2018-06-10 19:08:21	40016	1528628901151	144
66	1	0	40931	2018-06-10 19:08:21	40066	1528628901184	145
39	1	0	41485	2018-06-10 19:08:21	40039	1528628901284	146
38	1	0	41209	2018-06-10 19:08:21	40038	1528628901318	147
124	1	0	39998	2018-06-10 19:08:21	40124	1528628901351	148
43	1	0	40430	2018-06-10 19:08:21	40043	1528628901385	149
77	1	0	40496	2018-06-10 19:08:21	40077	1528628901418	150
47	1	0	40428	2018-06-10 19:08:21	40047	1528628901452	151
69	1	0	39780	2018-06-10 19:08:21	40069	1528628901487	152
117	1	0	40143	2018-06-10 19:08:21	40117	1528628901552	153
