nodeid	clock_time_h	clock_time_l	dc_time_h	dc_time_l	insert_time	motelabMoteID	milli_time	motelabSeqNo
3	0	61463	0	4378	2018-06-10 19:48:13	40003	1528631293904	1
20	0	61461	0	5038	2018-06-10 19:48:14	40020	1528631294062	2
13	0	61461	0	4437	2018-06-10 19:48:14	40013	1528631294183	3
17	0	61461	0	4956	2018-06-10 19:48:14	40017	1528631294212	4
16	0	61461	0	4954	2018-06-10 19:48:14	40016	1528631294246	5
8	0	61461	0	3900	2018-06-10 19:48:14	40008	1528631294281	6
9	0	61461	0	3793	2018-06-10 19:48:14	40009	1528631294347	7
11	0	61461	0	5254	2018-06-10 19:48:14	40011	1528631294381	8
10	0	61461	0	5035	2018-06-10 19:48:14	40010	1528631294447	9
21	0	61461	0	5268	2018-06-10 19:48:14	40021	1528631294548	10
33	0	61461	0	4354	2018-06-10 19:48:15	40033	1528631295975	11
132	0	61461	0	2954	2018-06-10 19:48:16	40132	1528631296192	12
41	0	61461	0	4793	2018-06-10 19:48:16	40041	1528631296300	13
78	0	61461	0	1193	2018-06-10 19:48:16	40078	1528631296342	14
76	0	61461	0	1397	2018-06-10 19:48:16	40076	1528631296473	15
52	0	61461	0	4389	2018-06-10 19:48:16	40052	1528631296517	16
69	0	61461	0	5740	2018-06-10 19:48:16	40069	1528631296809	17
129	0	61461	0	4720	2018-06-10 19:48:16	40129	1528631296851	18
123	0	61461	0	6555	2018-06-10 19:48:17	40123	1528631297251	19
40	0	61461	0	4482	2018-06-10 19:48:17	40040	1528631297326	20
24	0	61461	0	1247	2018-06-10 19:48:17	40024	1528631297393	21
64	0	61461	0	4517	2018-06-10 19:48:17	40064	1528631297619	22
122	0	61461	0	4491	2018-06-10 19:48:17	40122	1528631297685	23
72	0	61461	0	1168	2018-06-10 19:48:17	40072	1528631297852	24
43	0	61461	0	4730	2018-06-10 19:48:17	40043	1528631297886	25
53	0	61461	0	5762	2018-06-10 19:48:17	40053	1528631297986	26
38	0	61461	0	4896	2018-06-10 19:48:18	40038	1528631298086	27
119	0	61461	0	4421	2018-06-10 19:48:18	40119	1528631298186	28
127	0	61461	0	5037	2018-06-10 19:48:18	40127	1528631298220	29
56	0	61461	0	5430	2018-06-10 19:48:18	40056	1528631298253	30
75	0	61461	0	5661	2018-06-10 19:48:18	40075	1528631298387	31
47	0	61461	0	4720	2018-06-10 19:48:18	40047	1528631298520	32
39	0	61461	0	4499	2018-06-10 19:48:18	40039	1528631298620	33
120	0	61461	0	4919	2018-06-10 19:48:18	40120	1528631298745	34
32	0	61461	0	4347	2018-06-10 19:48:18	40032	1528631298846	35
124	0	61461	0	5183	2018-06-10 19:48:18	40124	1528631298912	36
26	0	61464	0	3350	2018-06-10 19:48:19	40026	1528631299079	37
37	0	61461	0	4457	2018-06-10 19:48:19	40037	1528631299146	38
12	0	61461	0	2778	2018-06-10 19:48:19	40012	1528631299246	39
80	0	61461	0	5507	2018-06-10 19:48:19	40080	1528631299280	40
48	0	61461	0	2634	2018-06-10 19:48:19	40048	1528631299380	41
71	0	61461	0	5857	2018-06-10 19:48:19	40071	1528631299413	42
115	0	61461	0	4644	2018-06-10 19:48:19	40115	1528631299480	43
63	0	61461	0	5051	2018-06-10 19:48:19	40063	1528631299548	44
77	0	61461	0	5759	2018-06-10 19:48:19	40077	1528631299581	45
50	0	61461	0	5723	2018-06-10 19:48:19	40050	1528631299615	46
131	0	61468	0	4825	2018-06-10 19:48:19	40131	1528631299715	47
121	0	61461	0	5010	2018-06-10 19:48:19	40121	1528631299840	48
135	0	61461	0	4844	2018-06-10 19:48:19	40135	1528631299907	49
44	0	61461	0	4982	2018-06-10 19:48:19	40044	1528631299940	50
139	0	61461	0	7700	2018-06-10 19:48:19	40139	1528631299999	51
118	0	61461	0	4679	2018-06-10 19:48:20	40118	1528631300032	52
66	0	61461	0	4500	2018-06-10 19:48:20	40066	1528631300065	53
117	0	61461	0	4676	2018-06-10 19:48:20	40117	1528631300099	54
70	0	61461	0	6131	2018-06-10 19:48:20	40070	1528631300132	55
67	0	61461	0	4550	2018-06-10 19:48:20	40067	1528631300166	56
3	1	57367	0	8200	2018-06-10 19:49:13	40003	1528631353951	57
20	1	57365	0	10177	2018-06-10 19:49:14	40020	1528631354036	58
13	1	57365	0	9251	2018-06-10 19:49:14	40013	1528631354185	59
9	1	57365	0	7591	2018-06-10 19:49:14	40009	1528631354218	60
11	1	57365	0	10327	2018-06-10 19:49:14	40011	1528631354251	61
16	1	57365	0	11549	2018-06-10 19:49:14	40016	1528631354285	62
21	1	57365	0	10489	2018-06-10 19:49:14	40021	1528631354427	63
12	1	57365	0	5182	2018-06-10 19:49:14	40012	1528631354460	64
8	1	57365	0	7835	2018-06-10 19:49:14	40008	1528631354702	65
17	1	57365	0	10005	2018-06-10 19:49:15	40017	1528631355437	66
39	1	57365	0	7905	2018-06-10 19:49:15	40039	1528631355679	67
10	1	57367	0	10129	2018-06-10 19:49:16	40010	1528631356188	68
43	1	57365	0	8867	2018-06-10 19:49:16	40043	1528631356321	69
127	1	57369	0	9791	2018-06-10 19:49:16	40127	1528631356355	70
71	1	57365	0	9803	2018-06-10 19:49:16	40071	1528631356388	71
124	1	57365	0	10196	2018-06-10 19:49:16	40124	1528631356422	72
50	1	57365	0	10766	2018-06-10 19:49:16	40050	1528631356455	73
78	1	57365	0	2353	2018-06-10 19:49:16	40078	1528631356522	74
37	1	57365	0	9135	2018-06-10 19:49:16	40037	1528631356780	75
67	1	57365	0	8401	2018-06-10 19:49:16	40067	1528631356947	76
139	1	57368	0	12058	2018-06-10 19:49:17	40139	1528631357348	77
47	1	57365	0	8925	2018-06-10 19:49:17	40047	1528631357431	78
80	1	57365	0	10971	2018-06-10 19:49:17	40080	1528631357499	79
56	1	57365	0	10418	2018-06-10 19:49:17	40056	1528631357533	80
53	1	57365	0	10944	2018-06-10 19:49:17	40053	1528631357566	81
69	1	57365	0	10443	2018-06-10 19:49:17	40069	1528631357633	82
118	1	57365	0	8736	2018-06-10 19:49:17	40118	1528631357700	83
132	1	57365	0	5683	2018-06-10 19:49:17	40132	1528631357766	84
