id	ebw	path_ebw	elder_id	delay	children_num	is_sender	insert_time	motelabMoteID	milli_time	motelabSeqNo
3	25	0	3	0	7	1	2018-06-11 19:01:22	40003	1528714882932	1
8	41	25	3	12	3	1	2018-06-11 19:01:32	40008	1528714892469	2
17	50	25	3	10	0	0	2018-06-11 19:01:36	40017	1528714896428	3
11	100	25	3	12	0	0	2018-06-11 19:01:40	40011	1528714900268	4
10	37	25	3	10	1	1	2018-06-11 19:01:41	40010	1528714901132	5
12	33	25	3	10	2	1	2018-06-11 19:01:43	40012	1528714903128	6
21	125	58	12	22	0	0	2018-06-11 19:01:53	40021	1528714913216	7
16	1	25	3	12	0	0	2018-06-11 19:01:55	40016	1528714915240	8
119	111	129	121	40	0	0	2018-06-11 19:01:56	40119	1528714916700	9
72	100	82	70	31	0	0	2018-06-11 19:01:57	40072	1528714917598	10
80	55	58	12	20	1	1	2018-06-11 19:01:58	40080	1528714918516	11
121	16	113	80	30	6	1	2018-06-11 19:02:00	40121	1528714920660	12
70	20	62	10	20	5	1	2018-06-11 19:02:03	40070	1528714923325	13
50	31	113	63	41	0	0	2018-06-11 19:02:03	40050	1528714923427	14
20	100	25	3	12	0	0	2018-06-11 19:02:06	40020	1528714926114	15
9	55	66	8	22	2	1	2018-06-11 19:02:06	40009	1528714926444	16
67	50	66	8	22	0	0	2018-06-11 19:02:06	40067	1528714926507	17
117	100	129	121	41	0	0	2018-06-11 19:02:07	40117	1528714927505	18
64	41	66	8	23	3	1	2018-06-11 19:02:07	40064	1528714927590	19
135	31	107	64	34	0	0	2018-06-11 19:02:09	40135	1528714929505	20
63	31	82	70	31	3	1	2018-06-11 19:02:10	40063	1528714930520	21
115	100	129	121	40	0	0	2018-06-11 19:02:13	40115	1528714933840	22
118	125	129	121	40	0	0	2018-06-11 19:02:14	40118	1528714934443	23
120	125	129	121	40	0	0	2018-06-11 19:02:16	40120	1528714936527	24
39	33	121	9	32	1	1	2018-06-11 19:02:16	40039	1528714936615	25
47	100	126	40	52	0	0	2018-06-11 19:02:17	40047	1528714937612	26
24	50	126	40	54	0	0	2018-06-11 19:02:18	40024	1528714938358	27
32	100	133	41	52	0	0	2018-06-11 19:02:18	40032	1528714938764	28
26	100	154	39	44	0	0	2018-06-11 19:02:19	40026	1528714939773	29
131	25	107	64	34	0	0	2018-06-11 19:02:22	40131	1528714942423	30
43	17	126	40	52	0	0	2018-06-11 19:02:22	40043	1528714942605	31
41	20	113	63	42	1	1	2018-06-11 19:02:23	40041	1528714943500	32
66	62	82	70	31	1	1	2018-06-11 19:02:24	40066	1528714944371	33
127	41	129	121	40	0	0	2018-06-11 19:02:24	40127	1528714944432	34
122	111	182	129	56	0	0	2018-06-11 19:02:26	40122	1528714946479	35
48	100	126	40	53	0	0	2018-06-11 19:02:26	40048	1528714946629	36
52	62	126	40	52	0	0	2018-06-11 19:02:27	40052	1528714947505	37
123	25	107	64	34	1	1	2018-06-11 19:02:30	40123	1528714950417	38
139	50	144	66	41	0	0	2018-06-11 19:02:30	40139	1528714950606	39
44	100	126	40	52	0	0	2018-06-11 19:02:30	40044	1528714950666	40
40	13	113	63	42	8	1	2018-06-11 19:02:30	40040	1528714950699	41
77	100	126	40	52	0	0	2018-06-11 19:02:34	40077	1528714954273	42
69	27	82	70	31	1	1	2018-06-11 19:02:34	40069	1528714954579	43
38	100	126	40	52	0	0	2018-06-11 19:02:34	40038	1528714954705	44
53	1	126	40	54	0	0	2018-06-11 19:02:35	40053	1528714955597	45
33	125	221	13	44	0	0	2018-06-11 19:02:36	40033	1528714956681	46
78	100	82	70	31	0	0	2018-06-11 19:02:37	40078	1528714957521	47
129	50	132	123	46	1	1	2018-06-11 19:02:37	40129	1528714957655	48
132	50	142	71	52	1	1	2018-06-11 19:02:40	40132	1528714960225	49
71	33	109	69	41	2	1	2018-06-11 19:02:40	40071	1528714960560	50
124	100	192	132	62	0	0	2018-06-11 19:02:51	40124	1528714971663	51
13	100	121	9	33	2	1	2018-06-11 19:03:09	40013	1528714989152	52
75	1	142	71	53	0	0	2018-06-11 19:03:19	40075	1528714999566	53
37	1	221	13	43	1	1	2018-06-11 19:03:23	40037	1528715003790	54
56	1	222	37	54	0	0	2018-06-11 19:03:41	40056	1528715021482	55
