id	ebw	path_ebw	elder_id	delay	is_sender	insert_time	motelabMoteID	milli_time	motelabSeqNo
3	142	0	3	0	1	2018-05-30 11:06:39	40003	1527649599238	1
17	100	142	3	20	0	2018-05-30 11:06:47	40017	1527649607757	2
20	500	242	11	24	0	2018-05-30 11:06:47	40020	1527649607890	3
16	111	242	11	23	0	2018-05-30 11:06:51	40016	1527649611958	4
8	47	142	3	100	1	2018-05-30 11:06:58	40008	1527649618206	5
12	125	142	3	10	1	2018-05-30 11:07:01	40012	1527649621033	6
21	111	142	3	14	0	2018-05-30 11:07:01	40021	1527649621245	7
11	100	142	3	12	1	2018-05-30 11:07:02	40011	1527649622182	8
10	166	142	3	16	0	2018-05-30 11:07:04	40010	1527649624821	9
117	50	323	121	41	0	2018-05-30 11:07:12	40117	1527649632542	10
50	71	421	77	149	0	2018-05-30 11:07:13	40050	1527649633178	11
9	166	189	8	110	0	2018-05-30 11:07:15	40009	1527649635913	12
70	83	267	12	22	1	2018-05-30 11:07:18	40070	1527649638957	13
67	200	189	8	110	0	2018-05-30 11:07:19	40067	1527649639073	14
64	142	189	8	110	1	2018-05-30 11:07:20	40064	1527649640098	15
115	33	323	121	41	0	2018-05-30 11:07:20	40115	1527649640376	16
121	15	308	80	31	1	2018-05-30 11:07:20	40121	1527649640553	17
118	25	323	121	41	1	2018-05-30 11:07:20	40118	1527649640885	18
135	333	348	118	51	0	2018-05-30 11:07:24	40135	1527649644534	19
66	50	331	64	124	1	2018-05-30 11:07:26	40066	1527649646861	20
80	166	142	3	20	1	2018-05-30 11:07:26	40080	1527649646929	21
13	200	142	3	25	1	2018-05-30 11:07:28	40013	1527649648138	22
63	166	331	64	120	0	2018-05-30 11:07:28	40063	1527649648212	23
120	41	323	121	41	1	2018-05-30 11:07:28	40120	1527649648553	24
41	35	421	77	150	0	2018-05-30 11:07:33	40041	1527649653585	25
53	100	421	77	171	0	2018-05-30 11:07:35	40053	1527649655225	26
131	100	348	118	52	0	2018-05-30 11:07:35	40131	1527649655869	27
122	125	363	129	55	0	2018-05-30 11:07:35	40122	1527649655929	28
119	23	308	80	53	0	2018-05-30 11:07:36	40119	1527649656437	29
32	142	389	33	53	0	2018-05-30 11:07:38	40032	1527649658217	30
52	333	427	63	226	0	2018-05-30 11:07:39	40052	1527649659197	31
71	100	398	124	86	0	2018-05-30 11:07:41	40071	1527649661094	32
39	142	404	26	47	0	2018-05-30 11:07:41	40039	1527649661183	33
124	41	343	118	74	1	2018-05-30 11:07:41	40124	1527649661946	34
43	31	421	77	149	1	2018-05-30 11:07:42	40043	1527649662145	35
72	0	350	70	32	0	2018-05-30 11:07:42	40072	1527649662853	36
69	50	350	70	42	1	2018-05-30 11:07:44	40069	1527649664105	37
26	62	342	13	35	1	2018-05-30 11:07:44	40026	1527649664172	38
139	50	343	118	55	0	2018-05-30 11:07:44	40139	1527649664837	39
37	55	342	13	35	1	2018-05-30 11:07:45	40037	1527649665100	40
24	142	456	41	166	0	2018-05-30 11:07:45	40024	1527649665837	41
44	166	452	43	159	0	2018-05-30 11:07:45	40044	1527649665941	42
33	47	342	13	39	1	2018-05-30 11:07:47	40033	1527649667177	43
30	333	389	33	50	0	2018-05-30 11:07:48	40030	1527649668173	44
48	111	452	43	160	0	2018-05-30 11:07:49	40048	1527649669213	45
123	111	323	121	43	0	2018-05-30 11:07:49	40123	1527649669585	46
78	100	350	70	32	0	2018-05-30 11:07:50	40078	1527649670093	47
129	40	323	121	45	1	2018-05-30 11:07:51	40129	1527649671873	48
38	200	397	37	45	0	2018-05-30 11:07:52	40038	1527649672170	49
127	62	323	121	41	0	2018-05-30 11:07:52	40127	1527649672857	50
77	40	381	66	138	1	2018-05-30 11:07:53	40077	1527649673089	51
47	100	452	43	160	0	2018-05-30 11:07:55	40047	1527649675141	52
56	166	389	33	53	0	2018-05-30 11:07:55	40056	1527649675265	53
132	100	364	120	74	0	2018-05-30 11:08:16	40132	1527649696563	54
75	100	400	69	52	0	2018-05-30 11:08:16	40075	1527649696859	55
