id	ebw	path_ebw	elder_id	delay	children_num	is_sender	insert_time	motelabMoteID	milli_time	motelabSeqNo
3	27	0	3	0	7	1	2018-05-30 21:11:40	40003	1527685900544	1
21	55	27	3	14	2	1	2018-05-30 21:11:51	40021	1527685911424	2
12	200	27	3	10	0	0	2018-05-30 21:11:52	40012	1527685912540	3
10	125	27	3	10	0	0	2018-05-30 21:11:56	40010	1527685916148	4
9	142	129	64	42	0	0	2018-05-30 21:11:57	40009	1527685917512	5
8	111	27	3	12	2	1	2018-05-30 21:11:58	40008	1527685918700	6
13	83	82	21	34	3	1	2018-05-30 21:12:01	40013	1527685921270	7
20	111	82	21	28	0	0	2018-05-30 21:12:04	40020	1527685924228	8
17	50	27	3	10	0	0	2018-05-30 21:12:07	40017	1527685927748	9
11	41	27	3	12	1	1	2018-05-30 21:12:08	40011	1527685928394	10
16	166	68	11	28	0	0	2018-05-30 21:12:09	40016	1527685929220	11
80	71	27	3	10	1	1	2018-05-30 21:12:12	40080	1527685932656	12
44	41	226	41	74	0	0	2018-05-30 21:12:15	40044	1527685935812	13
63	41	185	129	56	0	0	2018-05-30 21:12:15	40063	1527685935975	14
24	62	206	33	58	0	0	2018-05-30 21:12:16	40024	1527685936497	15
32	83	206	33	56	0	0	2018-05-30 21:12:16	40032	1527685936843	16
52	125	226	41	72	0	0	2018-05-30 21:12:17	40052	1527685937715	17
56	100	190	37	56	0	0	2018-05-30 21:12:17	40056	1527685937868	18
48	100	226	41	72	0	0	2018-05-30 21:12:17	40048	1527685937955	19
33	41	165	13	44	2	1	2018-05-30 21:12:20	40033	1527685940879	20
26	100	165	13	44	1	1	2018-05-30 21:12:21	40026	1527685941905	21
66	100	181	70	31	0	0	2018-05-30 21:12:22	40066	1527685942810	22
50	100	226	41	72	0	0	2018-05-30 21:12:23	40050	1527685943737	23
47	100	226	41	72	0	0	2018-05-30 21:12:25	40047	1527685945868	24
67	66	138	8	22	0	0	2018-05-30 21:12:26	40067	1527685946898	25
64	55	138	8	22	1	1	2018-05-30 21:12:29	40064	1527685949838	26
38	100	190	37	54	0	0	2018-05-30 21:12:32	40038	1527685952819	27
30	111	206	33	56	0	0	2018-05-30 21:12:32	40030	1527685952860	28
37	25	165	13	44	2	1	2018-05-30 21:12:33	40037	1527685953884	29
70	83	98	80	21	3	1	2018-05-30 21:12:33	40070	1527685953938	30
39	55	265	26	55	0	0	2018-05-30 21:12:36	40039	1527685956804	31
119	100	191	127	82	0	0	2018-05-30 21:12:38	40119	1527685958525	32
135	0	168	131	100	3	1	2018-05-30 21:12:39	40135	1527685959488	33
72	0	181	70	31	0	0	2018-05-30 21:12:39	40072	1527685959612	34
120	125	156	135	86	0	0	2018-05-30 21:12:40	40120	1527685960409	35
77	0	237	41	90	2	1	2018-05-30 21:12:40	40077	1527685960658	36
121	100	187	127	58	0	0	2018-05-30 21:12:42	40121	1527685962494	37
41	33	204	44	78	8	1	2018-05-30 21:12:43	40041	1527685963847	38
129	33	168	131	94	3	1	2018-05-30 21:12:44	40129	1527685964303	39
69	50	181	70	32	2	1	2018-05-30 21:12:44	40069	1527685964589	40
122	71	189	129	78	0	0	2018-05-30 21:12:46	40122	1527685966484	41
115	125	168	131	94	0	0	2018-05-30 21:12:49	40115	1527685969495	42
131	12	156	135	84	6	1	2018-05-30 21:12:50	40131	1527685970504	43
127	35	168	131	98	2	1	2018-05-30 21:12:50	40127	1527685970564	44
40	50	226	63	68	0	0	2018-05-30 21:12:51	40040	1527685971854	45
43	166	226	63	66	1	1	2018-05-30 21:12:52	40043	1527685972833	46
139	62	189	129	79	0	0	2018-05-30 21:12:53	40139	1527685973516	47
53	100	226	77	88	0	0	2018-05-30 21:12:54	40053	1527685974894	48
117	100	156	135	84	0	0	2018-05-30 21:12:55	40117	1527685975524	49
78	100	181	70	31	0	0	2018-05-30 21:12:56	40078	1527685976133	50
118	125	156	135	84	0	0	2018-05-30 21:12:57	40118	1527685977483	51
123	100	156	135	84	0	0	2018-05-30 21:12:58	40123	1527685978526	52
71	0	231	69	43	2	1	2018-05-30 21:13:02	40071	1527685982006	53
132	71	231	71	57	0	0	2018-05-30 21:13:05	40132	1527685985579	54
124	142	231	71	57	0	0	2018-05-30 21:13:13	40124	1527685993404	55
75	100	231	69	43	0	0	2018-05-30 21:13:16	40075	1527685996657	56
