id	src	rssi	insert_time	motelabMoteID	milli_time	motelabSeqNo
3	11	226	2018-06-11 19:38:31	40011	1528717111067	1
3	11	226	2018-06-11 19:38:31	40011	1528717111116	2
3	11	226	2018-06-11 19:38:31	40011	1528717111149	3
3	11	226	2018-06-11 19:38:31	40011	1528717111183	4
3	11	226	2018-06-11 19:38:31	40011	1528717111216	5
3	8	220	2018-06-11 19:38:31	40008	1528717111283	6
3	20	212	2018-06-11 19:38:31	40020	1528717111316	7
3	8	220	2018-06-11 19:38:31	40008	1528717111349	8
3	11	226	2018-06-11 19:38:31	40011	1528717111383	9
8	3	215	2018-06-11 19:38:31	40003	1528717111416	10
3	10	245	2018-06-11 19:38:31	40010	1528717111451	11
3	11	226	2018-06-11 19:38:31	40011	1528717111484	12
3	13	220	2018-06-11 19:38:31	40013	1528717111518	13
3	10	245	2018-06-11 19:38:31	40010	1528717111551	14
3	21	220	2018-06-11 19:38:31	40021	1528717111587	15
3	11	226	2018-06-11 19:38:31	40011	1528717111618	16
3	13	221	2018-06-11 19:38:31	40013	1528717111651	17
3	12	239	2018-06-11 19:38:31	40012	1528717111685	18
3	17	235	2018-06-11 19:38:31	40017	1528717111718	19
3	13	220	2018-06-11 19:38:31	40013	1528717111751	20
8	3	215	2018-06-11 19:38:31	40003	1528717111785	21
3	8	218	2018-06-11 19:38:31	40008	1528717111818	22
3	12	239	2018-06-11 19:38:31	40012	1528717111851	23
3	17	235	2018-06-11 19:38:31	40017	1528717111885	24
3	13	221	2018-06-11 19:38:31	40013	1528717111918	25
3	10	245	2018-06-11 19:38:31	40010	1528717111952	26
3	16	213	2018-06-11 19:38:31	40016	1528717111985	27
8	3	215	2018-06-11 19:38:32	40003	1528717112018	28
3	20	212	2018-06-11 19:38:32	40020	1528717112052	29
3	8	219	2018-06-11 19:38:32	40008	1528717112085	30
8	9	246	2018-06-11 19:38:32	40009	1528717112119	31
3	10	245	2018-06-11 19:38:32	40010	1528717112152	32
24	32	212	2018-06-11 19:38:32	40032	1528717112185	33
8	9	242	2018-06-11 19:38:32	40009	1528717112219	34
3	13	221	2018-06-11 19:38:32	40013	1528717112252	35
67	115	216	2018-06-11 19:38:32	40115	1528717112286	36
3	17	235	2018-06-11 19:38:32	40017	1528717112344	37
24	32	212	2018-06-11 19:38:32	40032	1528717112377	38
13	26	221	2018-06-11 19:38:32	40026	1528717112411	39
8	9	242	2018-06-11 19:38:32	40009	1528717112444	40
13	38	214	2018-06-11 19:38:32	40038	1528717112478	41
3	17	235	2018-06-11 19:38:32	40017	1528717112511	42
64	117	217	2018-06-11 19:38:32	40117	1528717112569	43
13	38	213	2018-06-11 19:38:32	40038	1528717112603	44
8	39	210	2018-06-11 19:38:32	40039	1528717112636	45
38	44	229	2018-06-11 19:38:32	40044	1528717112670	46
3	13	220	2018-06-11 19:38:32	40013	1528717112703	47
67	115	216	2018-06-11 19:38:32	40115	1528717112736	48
38	40	217	2018-06-11 19:38:32	40040	1528717112770	49
3	10	245	2018-06-11 19:38:32	40010	1528717112803	50
63	66	241	2018-06-11 19:38:32	40066	1528717112836	51
64	117	217	2018-06-11 19:38:32	40117	1528717112870	52
3	17	235	2018-06-11 19:38:32	40017	1528717112903	53
40	53	220	2018-06-11 19:38:32	40053	1528717112937	54
64	131	225	2018-06-11 19:38:32	40131	1528717112970	55
38	44	229	2018-06-11 19:38:33	40044	1528717113003	56
8	3	215	2018-06-11 19:38:33	40003	1528717113037	57
3	13	220	2018-06-11 19:38:33	40013	1528717113070	58
64	131	225	2018-06-11 19:38:33	40131	1528717113104	59
69	124	213	2018-06-11 19:38:33	40124	1528717113137	60
70	78	222	2018-06-11 19:38:33	40078	1528717113171	61
64	131	225	2018-06-11 19:38:33	40131	1528717113204	62
63	66	241	2018-06-11 19:38:33	40066	1528717113237	63
3	11	226	2018-06-11 19:38:33	40011	1528717113271	64
64	117	217	2018-06-11 19:38:33	40117	1528717113304	65
64	135	221	2018-06-11 19:38:33	40135	1528717113337	66
8	3	216	2018-06-11 19:38:33	40003	1528717113371	67
38	44	229	2018-06-11 19:38:33	40044	1528717113404	68
8	39	210	2018-06-11 19:38:33	40039	1528717113438	69
13	38	213	2018-06-11 19:38:33	40038	1528717113471	70
40	47	247	2018-06-11 19:38:33	40047	1528717113505	71
10	70	219	2018-06-11 19:38:33	40070	1528717113538	72
40	47	246	2018-06-11 19:38:33	40047	1528717113571	73
40	77	229	2018-06-11 19:38:33	40077	1528717113630	74
40	47	246	2018-06-11 19:38:33	40047	1528717113663	75
64	117	217	2018-06-11 19:38:33	40117	1528717113697	76
70	121	211	2018-06-11 19:38:33	40121	1528717113730	77
38	44	229	2018-06-11 19:38:33	40044	1528717113763	78
8	39	210	2018-06-11 19:38:33	40039	1528717113797	79
40	47	246	2018-06-11 19:38:33	40047	1528717113855	80
64	117	217	2018-06-11 19:38:33	40117	1528717113888	81
13	33	223	2018-06-11 19:38:33	40033	1528717113922	82
70	72	242	2018-06-11 19:38:33	40072	1528717113955	83
64	117	217	2018-06-11 19:38:33	40117	1528717113988	84
8	3	215	2018-06-11 19:38:34	40003	1528717114022	85
8	13	223	2018-06-11 19:38:34	40013	1528717114055	86
38	44	229	2018-06-11 19:38:34	40044	1528717114089	87
63	66	241	2018-06-11 19:38:34	40066	1528717114122	88
3	17	235	2018-06-11 19:38:34	40017	1528717114164	89
40	77	229	2018-06-11 19:38:34	40077	1528717114206	90
8	9	246	2018-06-11 19:38:34	40009	1528717114249	91
24	41	207	2018-06-11 19:38:34	40041	1528717114289	92
38	40	217	2018-06-11 19:38:34	40040	1528717114331	93
69	124	213	2018-06-11 19:38:34	40124	1528717114372	94
24	41	207	2018-06-11 19:38:34	40041	1528717114414	95
38	43	213	2018-06-11 19:38:34	40043	1528717114456	96
70	72	242	2018-06-11 19:38:34	40072	1528717114498	97
13	37	238	2018-06-11 19:38:34	40037	1528717114539	98
38	43	213	2018-06-11 19:38:34	40043	1528717114581	99
70	72	242	2018-06-11 19:38:34	40072	1528717114623	100
8	67	228	2018-06-11 19:38:34	40067	1528717114665	101
69	71	232	2018-06-11 19:38:34	40071	1528717114706	102
8	13	225	2018-06-11 19:38:34	40013	1528717114748	103
3	21	220	2018-06-11 19:38:34	40021	1528717114790	104
64	131	225	2018-06-11 19:38:34	40131	1528717114832	105
3	21	220	2018-06-11 19:38:34	40021	1528717114873	106
64	117	217	2018-06-11 19:38:34	40117	1528717114940	107
26	56	208	2018-06-11 19:38:34	40056	1528717114981	108
24	32	211	2018-06-11 19:38:35	40032	1528717115015	109
64	131	225	2018-06-11 19:38:35	40131	1528717115048	110
8	13	223	2018-06-11 19:38:35	40013	1528717115115	111
70	72	243	2018-06-11 19:38:35	40072	1528717115148	112
40	77	229	2018-06-11 19:38:35	40077	1528717115182	113
8	13	224	2018-06-11 19:38:35	40013	1528717115215	114
38	44	229	2018-06-11 19:38:35	40044	1528717115249	115
3	20	213	2018-06-11 19:38:35	40020	1528717115282	116
26	56	208	2018-06-11 19:38:35	40056	1528717115315	117
