id	src	rssi	insert_time	motelabMoteID	milli_time	motelabSeqNo
3	16	210	2018-06-11 08:48:52	40016	1528678132266	1
3	16	210	2018-06-11 08:48:52	40016	1528678132324	2
3	16	211	2018-06-11 08:48:52	40016	1528678132357	3
3	16	210	2018-06-11 08:48:52	40016	1528678132391	4
11	16	235	2018-06-11 08:48:52	40016	1528678132424	5
3	21	217	2018-06-11 08:48:52	40021	1528678132459	6
11	16	235	2018-06-11 08:48:52	40016	1528678132491	7
3	10	237	2018-06-11 08:48:52	40010	1528678132524	8
8	9	237	2018-06-11 08:48:52	40009	1528678132558	9
3	11	222	2018-06-11 08:48:52	40011	1528678132591	10
3	20	209	2018-06-11 08:48:52	40020	1528678132625	11
3	11	222	2018-06-11 08:48:52	40011	1528678132658	12
3	11	222	2018-06-11 08:48:52	40011	1528678132691	13
3	21	217	2018-06-11 08:48:52	40021	1528678132725	14
3	13	215	2018-06-11 08:48:52	40013	1528678132763	15
3	20	208	2018-06-11 08:48:52	40020	1528678132792	16
3	10	237	2018-06-11 08:48:52	40010	1528678132825	17
3	8	217	2018-06-11 08:48:52	40008	1528678132858	18
3	17	228	2018-06-11 08:48:52	40017	1528678132917	19
3	10	237	2018-06-11 08:48:52	40010	1528678132950	20
3	17	228	2018-06-11 08:48:52	40017	1528678132983	21
3	12	240	2018-06-11 08:48:53	40012	1528678133017	22
11	20	235	2018-06-11 08:48:53	40020	1528678133050	23
3	13	216	2018-06-11 08:48:53	40013	1528678133084	24
3	12	240	2018-06-11 08:48:53	40012	1528678133142	25
3	10	237	2018-06-11 08:48:53	40010	1528678133175	26
8	3	211	2018-06-11 08:48:53	40003	1528678133209	27
3	17	228	2018-06-11 08:48:53	40017	1528678133242	28
8	3	211	2018-06-11 08:48:53	40003	1528678133276	29
11	20	234	2018-06-11 08:48:53	40020	1528678133309	30
8	9	237	2018-06-11 08:48:53	40009	1528678133342	31
3	17	229	2018-06-11 08:48:53	40017	1528678133376	32
11	16	235	2018-06-11 08:48:53	40016	1528678133409	33
32	24	217	2018-06-11 08:48:53	40024	1528678133443	34
9	39	211	2018-06-11 08:48:53	40039	1528678133476	35
11	20	235	2018-06-11 08:48:53	40020	1528678133509	36
32	24	217	2018-06-11 08:48:53	40024	1528678133543	37
3	13	215	2018-06-11 08:48:53	40013	1528678133576	38
26	38	210	2018-06-11 08:48:53	40038	1528678133610	39
8	3	212	2018-06-11 08:48:53	40003	1528678133643	40
33	32	222	2018-06-11 08:48:53	40032	1528678133676	41
64	117	214	2018-06-11 08:48:53	40117	1528678133718	42
3	10	237	2018-06-11 08:48:53	40010	1528678133760	43
13	26	214	2018-06-11 08:48:53	40026	1528678133801	44
9	39	211	2018-06-11 08:48:53	40039	1528678133843	45
8	64	213	2018-06-11 08:48:53	40064	1528678133885	46
8	67	225	2018-06-11 08:48:53	40067	1528678133927	47
70	72	237	2018-06-11 08:48:53	40072	1528678133968	48
63	66	236	2018-06-11 08:48:54	40066	1528678134010	49
63	66	235	2018-06-11 08:48:54	40066	1528678134052	50
8	67	223	2018-06-11 08:48:54	40067	1528678134093	51
3	13	216	2018-06-11 08:48:54	40013	1528678134135	52
115	127	212	2018-06-11 08:48:54	40127	1528678134202	53
71	132	222	2018-06-11 08:48:54	40132	1528678134244	54
64	118	210	2018-06-11 08:48:54	40118	1528678134286	55
38	40	213	2018-06-11 08:48:54	40040	1528678134331	56
69	75	239	2018-06-11 08:48:54	40075	1528678134369	57
8	67	225	2018-06-11 08:48:54	40067	1528678134436	58
117	127	212	2018-06-11 08:48:54	40127	1528678134477	59
69	71	224	2018-06-11 08:48:54	40071	1528678134519	60
8	67	225	2018-06-11 08:48:54	40067	1528678134561	61
13	37	235	2018-06-11 08:48:54	40037	1528678134594	62
3	10	237	2018-06-11 08:48:54	40010	1528678134628	63
3	17	228	2018-06-11 08:48:54	40017	1528678134661	64
13	33	212	2018-06-11 08:48:54	40033	1528678134694	65
10	70	210	2018-06-11 08:48:54	40070	1528678134728	66
40	48	220	2018-06-11 08:48:54	40048	1528678134761	67
38	44	228	2018-06-11 08:48:54	40044	1528678134795	68
3	12	240	2018-06-11 08:48:54	40012	1528678134828	69
8	9	237	2018-06-11 08:48:54	40009	1528678134861	70
3	17	229	2018-06-11 08:48:54	40017	1528678134895	71
40	41	241	2018-06-11 08:48:54	40041	1528678134928	72
8	67	224	2018-06-11 08:48:54	40067	1528678134962	73
69	71	224	2018-06-11 08:48:54	40071	1528678134995	74
13	26	215	2018-06-11 08:48:55	40026	1528678135028	75
26	38	210	2018-06-11 08:48:55	40038	1528678135062	76
3	11	222	2018-06-11 08:48:55	40011	1528678135095	77
8	67	224	2018-06-11 08:48:55	40067	1528678135129	78
8	3	211	2018-06-11 08:48:55	40003	1528678135162	79
3	17	229	2018-06-11 08:48:55	40017	1528678135195	80
3	21	216	2018-06-11 08:48:55	40021	1528678135229	81
10	70	211	2018-06-11 08:48:55	40070	1528678135262	82
