addr	neighbor_num	neighbor0	neighbor1	neighbor2	neighbor3	neighbor4	neighbor5	neighbor6	neighbor7	neighbor8	neighbor9	neighbor10	neighbor11	neighbor12	neighbor13	reced0	reced1	reced2	reced3	reced4	reced5	reced6	reced7	reced8	reced9	reced10	reced11	reced12	reced13	insert_time	motelabMoteID	milli_time	motelabSeqNo
3	9	8	10	11	12	13	16	17	20	21	0	0	0	0	0	8	10	8	10	1	6	10	2	6	0	0	0	0	0	2018-06-11 18:53:48	40003	1528714428793	1
12	7	3	10	17	20	21	70	80	0	0	0	0	0	0	0	10	10	10	7	10	10	10	0	0	0	0	0	0	0	2018-06-11 18:53:48	40012	1528714428964	2
20	5	3	11	12	16	21	0	0	0	0	0	0	0	0	0	8	10	7	10	10	0	0	0	0	0	0	0	0	0	2018-06-11 18:53:48	40020	1528714428997	3
13	9	3	8	9	11	21	26	33	37	38	0	0	0	0	0	6	7	9	3	6	6	3	10	1	0	0	0	0	0	2018-06-11 18:53:49	40013	1528714429031	4
10	6	3	12	17	21	70	80	0	0	0	0	0	0	0	0	10	10	10	9	9	10	0	0	0	0	0	0	0	0	2018-06-11 18:53:49	40010	1528714429089	5
16	4	3	11	13	20	0	0	0	0	0	0	0	0	0	0	8	10	7	10	0	0	0	0	0	0	0	0	0	0	2018-06-11 18:53:49	40016	1528714429122	6
21	7	3	10	12	13	17	20	37	0	0	0	0	0	0	0	2	7	8	4	9	8	6	0	0	0	0	0	0	0	2018-06-11 18:53:49	40021	1528714429156	7
11	4	3	13	16	20	0	0	0	0	0	0	0	0	0	0	8	4	10	10	0	0	0	0	0	0	0	0	0	0	2018-06-11 18:53:49	40011	1528714429189	8
17	5	3	10	12	21	80	0	0	0	0	0	0	0	0	0	10	10	10	10	10	0	0	0	0	0	0	0	0	0	2018-06-11 18:53:49	40017	1528714429256	9
9	5	8	13	39	64	67	0	0	0	0	0	0	0	0	0	10	9	10	6	6	0	0	0	0	0	0	0	0	0	2018-06-11 18:53:49	40009	1528714429314	10
8	5	3	9	13	64	67	0	0	0	0	0	0	0	0	0	8	9	8	8	7	0	0	0	0	0	0	0	0	0	2018-06-11 18:53:49	40008	1528714429348	11
66	6	63	64	67	70	77	139	0	0	0	0	0	0	0	0	10	8	5	9	9	8	0	0	0	0	0	0	0	0	2018-06-11 18:53:50	40066	1528714430236	12
24	5	32	40	41	44	56	0	0	0	0	0	0	0	0	0	10	8	10	8	10	0	0	0	0	0	0	0	0	0	2018-06-11 18:53:50	40024	1528714430264	13
67	8	8	9	64	66	115	117	123	131	0	0	0	0	0	0	10	7	10	5	4	6	10	10	0	0	0	0	0	0	2018-06-11 18:53:50	40067	1528714430362	14
39	6	9	13	26	37	38	50	0	0	0	0	0	0	0	0	10	9	10	10	10	10	0	0	0	0	0	0	0	0	2018-06-11 18:53:50	40039	1528714430508	15
40	11	38	41	43	44	47	48	50	52	53	63	77	0	0	0	10	10	10	9	10	10	10	10	9	9	9	0	0	0	2018-06-11 18:53:50	40040	1528714430565	16
33	7	13	26	32	37	38	52	56	0	0	0	0	0	0	0	9	1	8	9	8	7	8	0	0	0	0	0	0	0	2018-06-11 18:53:50	40033	1528714430598	17
32	4	24	33	41	56	0	0	0	0	0	0	0	0	0	0	7	10	10	7	0	0	0	0	0	0	0	0	0	0	2018-06-11 18:53:50	40032	1528714430631	18
26	5	13	37	38	39	56	0	0	0	0	0	0	0	0	0	9	10	3	8	6	0	0	0	0	0	0	0	0	0	2018-06-11 18:53:50	40026	1528714430665	19
115	14	67	70	117	118	119	120	121	123	124	127	129	131	135	139	4	1	10	10	7	10	10	9	3	8	10	10	10	4	2018-06-11 18:53:50	40115	1528714430698	20
37	7	13	21	26	33	38	39	56	0	0	0	0	0	0	0	10	5	7	5	7	7	6	0	0	0	0	0	0	0	2018-06-11 18:53:50	40037	1528714430731	21
38	11	13	26	33	37	39	40	41	43	44	50	56	0	0	0	5	3	5	10	10	10	1	9	10	9	4	0	0	0	2018-06-11 18:53:50	40038	1528714430765	22
132	7	71	75	118	120	122	124	139	0	0	0	0	0	0	0	9	1	6	5	1	10	10	0	0	0	0	0	0	0	2018-06-11 18:53:51	40132	1528714431077	23
77	7	40	41	43	50	53	63	66	0	0	0	0	0	0	0	10	3	10	10	10	4	10	0	0	0	0	0	0	0	2018-06-11 18:53:51	40077	1528714431107	24
70	11	10	12	50	63	64	66	69	72	78	80	120	0	0	0	10	5	8	8	9	4	8	10	10	8	7	0	0	0	2018-06-11 18:53:51	40070	1528714431163	25
123	13	64	67	115	117	118	119	120	121	122	127	129	131	135	0	9	6	8	8	7	7	9	8	5	6	10	10	10	0	2018-06-11 18:53:51	40123	1528714431273	26
127	9	115	117	119	120	121	123	129	131	135	0	0	0	0	0	8	8	9	10	10	9	6	10	10	0	0	0	0	0	2018-06-11 18:53:51	40127	1528714431307	27
118	17	64	72	78	115	117	119	120	121	122	123	124	127	129	131	1	7	4	8	10	10	10	10	4	2	3	8	2	10	2018-06-11 18:53:51	40118	1528714431340	28
41	13	32	38	40	43	44	47	48	50	52	53	56	63	77	0	5	4	10	10	10	10	10	10	10	4	7	9	7	0	2018-06-11 18:53:51	40041	1528714431373	29
64	13	8	9	43	50	63	66	67	70	117	123	129	131	135	0	9	5	1	8	9	7	9	7	7	9	7	5	7	0	2018-06-11 18:53:51	40064	1528714431407	30
56	7	26	33	37	38	40	41	52	0	0	0	0	0	0	0	3	5	9	1	1	5	6	0	0	0	0	0	0	0	2018-06-11 18:53:51	40056	1528714431440	31
44	10	38	40	41	43	47	48	50	52	53	77	0	0	0	0	10	10	10	10	10	6	6	4	7	9	0	0	0	0	2018-06-11 18:53:51	40044	1528714431474	32
71	4	69	75	124	132	0	0	0	0	0	0	0	0	0	0	10	10	10	10	0	0	0	0	0	0	0	0	0	0	2018-06-11 18:53:51	40071	1528714431507	33
119	11	117	118	120	121	123	124	127	129	131	132	135	0	0	0	9	10	10	10	1	1	9	5	3	9	5	0	0	0	2018-06-11 18:53:51	40119	1528714431540	34
50	12	38	39	40	41	43	47	52	53	63	64	70	77	0	0	8	5	10	10	10	5	4	10	10	7	4	10	0	0	2018-06-11 18:53:51	40050	1528714431574	35
75	4	69	71	124	132	0	0	0	0	0	0	0	0	0	0	7	8	7	3	0	0	0	0	0	0	0	0	0	0	2018-06-11 18:53:51	40075	1528714431632	36
124	6	71	75	118	122	132	139	0	0	0	0	0	0	0	0	7	5	7	1	10	10	0	0	0	0	0	0	0	0	2018-06-11 18:53:51	40124	1528714431666	37
63	9	40	41	50	64	66	70	72	77	139	0	0	0	0	0	8	8	10	10	9	9	2	8	2	0	0	0	0	0	2018-06-11 18:53:51	40063	1528714431699	38
69	5	70	71	75	124	132	0	0	0	0	0	0	0	0	0	9	10	10	9	10	0	0	0	0	0	0	0	0	0	2018-06-11 18:53:51	40069	1528714431732	39
131	10	64	67	115	117	118	120	123	127	129	135	0	0	0	0	9	6	8	8	7	9	10	8	10	10	0	0	0	0	2018-06-11 18:53:51	40131	1528714431766	40
78	2	70	72	0	0	0	0	0	0	0	0	0	0	0	0	9	10	0	0	0	0	0	0	0	0	0	0	0	0	2018-06-11 18:53:51	40078	1528714431824	41
117	12	64	67	115	118	119	120	121	123	127	129	131	135	0	0	7	2	10	10	7	10	9	10	7	10	10	8	0	0	2018-06-11 18:53:51	40117	1528714431858	42
135	10	64	115	117	118	119	120	123	127	129	131	0	0	0	0	9	8	8	1	1	9	10	6	10	10	0	0	0	0	2018-06-11 18:53:51	40135	1528714431891	43
72	6	63	70	78	80	118	120	0	0	0	0	0	0	0	0	1	9	10	10	6	10	0	0	0	0	0	0	0	0	2018-06-11 18:53:51	40072	1528714431924	44
121	10	80	115	117	118	119	120	123	124	127	131	0	0	0	0	10	10	10	10	10	10	9	2	10	4	0	0	0	0	2018-06-11 18:53:51	40121	1528714431958	45
139	6	66	118	122	124	129	132	0	0	0	0	0	0	0	0	10	2	10	10	10	10	0	0	0	0	0	0	0	0	2018-06-11 18:53:51	40139	1528714431991	46
122	9	117	118	120	123	124	129	131	132	139	0	0	0	0	0	10	10	6	5	9	10	5	10	10	0	0	0	0	0	2018-06-11 18:53:52	40122	1528714432025	47
43	10	38	40	41	44	47	48	50	52	53	77	0	0	0	0	8	10	10	10	10	10	10	10	7	9	0	0	0	0	2018-06-11 18:53:52	40043	1528714432058	48
80	7	10	12	17	70	72	78	121	0	0	0	0	0	0	0	10	10	10	9	10	5	6	0	0	0	0	0	0	0	2018-06-11 18:53:52	40080	1528714432091	49
47	6	40	41	43	44	48	52	0	0	0	0	0	0	0	0	10	10	10	9	10	10	0	0	0	0	0	0	0	0	2018-06-11 18:53:52	40047	1528714432125	50
120	13	70	72	115	117	118	119	121	123	127	129	131	132	135	0	1	7	4	10	10	10	10	1	9	2	10	8	6	0	2018-06-11 18:53:52	40120	1528714432158	51
129	12	64	115	117	118	119	120	122	123	127	131	135	139	0	0	4	10	10	7	7	9	10	8	7	10	10	10	0	0	2018-06-11 18:53:52	40129	1528714432191	52
48	6	40	41	43	44	47	52	0	0	0	0	0	0	0	0	9	10	10	1	10	10	0	0	0	0	0	0	0	0	2018-06-11 18:53:52	40048	1528714432225	53
53	6	40	41	43	44	50	77	0	0	0	0	0	0	0	0	8	1	5	4	10	6	0	0	0	0	0	0	0	0	2018-06-11 18:53:52	40053	1528714432258	54
52	9	33	40	41	43	47	48	50	56	77	0	0	0	0	0	9	10	10	10	9	10	7	8	2	0	0	0	0	0	2018-06-11 18:53:52	40052	1528714432292	55
