addr	neighbor_num	neighbor0	neighbor1	neighbor2	neighbor3	neighbor4	neighbor5	neighbor6	neighbor7	neighbor8	neighbor9	neighbor10	neighbor11	neighbor12	neighbor13	reced0	reced1	reced2	reced3	reced4	reced5	reced6	reced7	reced8	reced9	reced10	reced11	reced12	reced13	insert_time	motelabMoteID	milli_time	motelabSeqNo
43	9	38	40	41	44	47	50	52	63	77	0	0	0	0	0	10	10	10	10	10	10	10	10	10	0	0	0	0	0	2018-05-29 19:54:54	40043	1527594894525	1
131	9	67	115	117	118	120	123	127	129	135	0	0	0	0	0	9	10	9	9	9	10	9	10	10	0	0	0	0	0	2018-05-29 19:54:55	40131	1527594895078	2
41	12	38	40	43	44	47	48	50	52	53	56	63	77	0	0	10	10	10	9	10	10	9	10	10	10	9	10	0	0	2018-05-29 19:54:55	40041	1527594895144	3
132	5	71	120	122	124	139	0	0	0	0	0	0	0	0	0	10	6	10	10	10	0	0	0	0	0	0	0	0	0	2018-05-29 19:54:56	40132	1527594896141	4
40	12	38	41	43	44	47	48	50	52	53	56	63	77	0	0	1	10	10	10	10	10	10	10	10	7	9	9	0	0	2018-05-29 19:54:56	40040	1527594896200	5
37	6	13	26	33	38	39	56	0	0	0	0	0	0	0	0	10	10	5	10	3	10	0	0	0	0	0	0	0	0	2018-05-29 19:54:56	40037	1527594896329	6
39	4	26	37	38	50	0	0	0	0	0	0	0	0	0	0	8	6	10	6	0	0	0	0	0	0	0	0	0	0	2018-05-29 19:54:56	40039	1527594896359	7
127	6	117	119	121	123	131	135	0	0	0	0	0	0	0	0	9	9	10	10	10	8	0	0	0	0	0	0	0	0	2018-05-29 19:54:57	40127	1527594897046	8
129	12	63	64	115	117	118	120	121	122	123	131	135	139	0	0	10	9	10	10	9	10	9	10	10	10	7	10	0	0	2018-05-29 19:54:57	40129	1527594897174	9
38	7	26	37	39	41	43	44	50	0	0	0	0	0	0	0	1	10	10	10	10	10	10	0	0	0	0	0	0	0	2018-05-29 19:54:57	40038	1527594897394	10
33	5	13	30	32	37	56	0	0	0	0	0	0	0	0	0	10	10	10	10	7	0	0	0	0	0	0	0	0	0	2018-05-29 19:54:58	40033	1527594898338	11
80	6	3	10	12	17	70	121	0	0	0	0	0	0	0	0	9	9	9	8	10	3	0	0	0	0	0	0	0	0	2018-05-29 19:54:58	40080	1527594898565	12
123	12	64	67	115	117	118	120	121	127	129	131	135	139	0	0	9	7	8	9	9	9	10	8	10	10	10	7	0	0	2018-05-29 19:54:59	40123	1527594899044	13
30	6	24	32	33	40	52	56	0	0	0	0	0	0	0	0	10	10	10	2	2	10	0	0	0	0	0	0	0	0	2018-05-29 19:54:59	40030	1527594899258	14
32	4	30	33	52	56	0	0	0	0	0	0	0	0	0	0	8	8	9	6	0	0	0	0	0	0	0	0	0	0	2018-05-29 19:54:59	40032	1527594899377	15
122	5	117	124	129	132	139	0	0	0	0	0	0	0	0	0	9	10	10	10	10	0	0	0	0	0	0	0	0	0	2018-05-29 19:55:00	40122	1527594900078	16
124	5	71	118	122	132	139	0	0	0	0	0	0	0	0	0	10	3	10	10	8	0	0	0	0	0	0	0	0	0	2018-05-29 19:55:00	40124	1527594900134	17
78	2	70	72	0	0	0	0	0	0	0	0	0	0	0	0	10	10	0	0	0	0	0	0	0	0	0	0	0	0	2018-05-29 19:55:00	40078	1527594900617	18
77	7	40	41	43	50	53	63	66	0	0	0	0	0	0	0	9	7	9	8	5	1	9	0	0	0	0	0	0	0	2018-05-29 19:55:00	40077	1527594900780	19
119	8	115	117	118	120	121	123	127	129	0	0	0	0	0	0	9	10	9	9	10	2	9	6	0	0	0	0	0	0	2018-05-29 19:55:01	40119	1527594901061	20
121	9	80	115	117	118	119	120	123	127	129	0	0	0	0	0	6	10	10	9	10	9	10	9	8	0	0	0	0	0	2018-05-29 19:55:01	40121	1527594901154	21
26	4	13	37	38	39	0	0	0	0	0	0	0	0	0	0	10	10	8	10	0	0	0	0	0	0	0	0	0	0	2018-05-29 19:55:01	40026	1527594901390	22
75	2	69	71	0	0	0	0	0	0	0	0	0	0	0	0	10	10	0	0	0	0	0	0	0	0	0	0	0	0	2018-05-29 19:55:01	40075	1527594901575	23
72	3	63	70	78	0	0	0	0	0	0	0	0	0	0	0	9	10	9	0	0	0	0	0	0	0	0	0	0	0	2018-05-29 19:55:01	40072	1527594901717	24
120	12	70	115	117	118	119	121	122	123	129	131	132	135	0	0	9	10	10	9	9	10	1	10	10	10	9	9	0	0	2018-05-29 19:55:02	40120	1527594902040	25
118	11	115	117	119	120	121	123	124	129	131	135	139	0	0	0	10	10	9	9	10	10	10	10	10	10	10	0	0	0	2018-05-29 19:55:02	40118	1527594902084	26
115	13	64	117	118	119	120	121	122	123	124	129	131	135	139	0	1	10	9	7	10	10	9	10	7	10	10	9	9	0	2018-05-29 19:55:03	40115	1527594903037	27
117	12	67	115	118	119	120	121	122	123	127	129	131	135	0	0	9	10	9	8	9	10	9	10	9	10	10	10	0	0	2018-05-29 19:55:03	40117	1527594903145	28
21	5	3	10	13	17	20	0	0	0	0	0	0	0	0	0	7	7	8	7	8	0	0	0	0	0	0	0	0	0	2018-05-29 19:55:03	40021	1527594903233	29
