nodeid	seq_no	src_id	rec_time_h	rec_time_l	hop_delay_h	hop_delay_l	parent_ETD	local_ETD	delta_ETD	long_link_sender	MPD	shortcut_sender	tree_sender	insert_time	motelabMoteID	milli_time	motelabSeqNo
3	1000	20	9	65525	20	55013	3	0	65535	0	55000	0	1	2018-07-22 18:15:36	40003	1532254536267	1
13	1000	67	10	26888	0	57067	13	9	65535	0	65535	0	1	2018-07-22 18:16:02	40013	1532254562875	2
9	1000	13	10	27078	10	59372	9	14	5	0	32484	0	0	2018-07-22 18:16:02	40009	1532254562995	3
16	1000	13	10	27706	10	53966	9	6	65535	0	27078	0	0	2018-07-22 18:16:03	40016	1532254563115	4
11	1000	13	10	27457	10	56296	9	7	65535	0	29408	0	0	2018-07-22 18:16:03	40011	1532254563239	5
4	1000	3	10	27447	10	58854	0	5	5	0	31310	0	1	2018-07-22 18:16:03	40004	1532254563273	6
3	1000	13	10	27544	10	55012	9	0	65535	0	28124	0	1	2018-07-22 18:16:03	40003	1532254563306	7
10	1000	3	10	27556	10	60134	0	5	5	0	32590	0	0	2018-07-22 18:16:03	40010	1532254563339	8
8	1000	13	10	27514	10	57572	9	16	7	0	30684	0	0	2018-07-22 18:16:03	40008	1532254563373	9
12	1000	3	10	27414	10	61925	0	5	5	0	34381	0	0	2018-07-22 18:16:03	40012	1532254563473	10
17	1000	4	10	27588	10	55781	5	11	6	0	28334	0	0	2018-07-22 18:16:03	40017	1532254563556	11
80	1000	4	10	25564	10	56806	5	5	65535	0	29359	0	1	2018-07-22 18:16:03	40080	1532254563656	12
20	1000	4	10	27952	10	61672	5	5	65535	0	34225	0	0	2018-07-22 18:16:03	40020	1532254563773	13
70	1000	117	10	44334	0	56554	70	10	65535	0	65535	0	1	2018-07-22 18:16:21	40070	1532254581898	14
80	1000	70	10	44464	10	58344	10	5	65535	0	14010	0	1	2018-07-22 18:16:22	40080	1532254582040	15
63	1000	70	10	44458	10	58090	10	30	20	1	13756	0	1	2018-07-22 18:16:22	40063	1532254582076	16
10	1000	70	10	46857	10	57317	10	5	65535	0	12983	0	0	2018-07-22 18:16:22	40010	1532254582171	17
4	1000	80	10	46898	10	56043	5	5	65535	0	11579	0	1	2018-07-22 18:16:22	40004	1532254582209	18
12	1000	4	10	46814	10	61395	5	5	65535	0	14497	0	0	2018-07-22 18:16:22	40012	1532254582292	19
64	1000	63	10	45483	10	62695	30	19	65535	0	18237	0	1	2018-07-22 18:16:22	40064	1532254582334	20
17	1000	4	10	46982	10	55774	5	11	6	0	8876	0	0	2018-07-22 18:16:22	40017	1532254582417	21
9	1000	64	10	46984	10	55510	19	14	65535	0	10027	0	0	2018-07-22 18:16:22	40009	1532254582459	22
21	1000	3	10	46964	10	55775	0	7	7	0	8692	0	0	2018-07-22 18:16:22	40021	1532254582501	23
26	1000	13	10	45866	10	57067	9	14	5	0	10127	0	0	2018-07-22 18:16:22	40026	1532254582543	24
16	1000	4	10	47611	10	57571	5	6	1	0	10673	0	0	2018-07-22 18:16:22	40016	1532254582584	25
13	1000	4	10	46940	10	57575	5	9	4	0	10677	0	1	2018-07-22 18:16:22	40013	1532254582751	26
39	1000	13	10	46025	10	53977	9	18	9	0	7037	0	0	2018-07-22 18:16:22	40039	1532254582893	27
20	1000	3	10	47386	10	54222	0	5	5	0	7139	0	0	2018-07-22 18:16:23	40020	1532254583135	28
11	1000	4	10	47199	10	55266	5	7	2	0	8368	0	0	2018-07-22 18:16:23	40011	1532254583235	29
3	1000	80	10	47083	10	58091	5	0	65535	0	13627	0	1	2018-07-22 18:16:23	40003	1532254583269	30
8	1000	3	10	46994	10	56290	0	16	16	1	9207	0	0	2018-07-22 18:16:23	40008	1532254583302	31
8	0	3	11	51216	11	51437	0	16	16	1	30	1	0	2018-07-22 18:17:30	40008	1532254650564	32
9	0	8	11	51224	11	51271	16	14	65535	0	54	1	0	2018-07-22 18:17:30	40009	1532254650598	33
37	0	3	11	50048	11	51516	0	14	14	1	109	1	0	2018-07-22 18:17:30	40037	1532254650631	34
64	0	8	11	49899	11	51322	16	19	3	0	105	1	1	2018-07-22 18:17:30	40064	1532254650665	35
80	0	3	11	49181	11	51560	0	5	5	0	153	1	1	2018-07-22 18:17:30	40080	1532254650698	36
72	0	80	11	49330	11	49231	5	15	10	0	50	1	0	2018-07-22 18:17:30	40072	1532254650731	37
21	0	37	11	51433	11	50117	14	7	65535	0	69	1	0	2018-07-22 18:17:30	40021	1532254650765	38
10	0	3	11	51552	11	51683	0	5	5	0	276	0	0	2018-07-22 18:17:30	40010	1532254650798	39
16	0	3	11	51966	11	51734	0	6	6	0	327	0	0	2018-07-22 18:17:30	40016	1532254650865	40
41	0	56	11	50047	11	49386	39	30	65535	0	14	1	0	2018-07-22 18:17:30	40041	1532254650898	41
56	0	37	11	49372	11	50303	14	39	25	1	255	0	0	2018-07-22 18:17:30	40056	1532254650965	42
11	0	3	11	51737	11	51817	0	7	7	0	410	0	0	2018-07-22 18:17:30	40011	1532254650999	43
40	0	41	11	50451	11	50064	30	25	65535	0	16	1	1	2018-07-22 18:17:31	40040	1532254651032	44
20	0	21	11	51722	11	51571	7	5	65535	0	138	0	0	2018-07-22 18:17:31	40020	1532254651065	45
24	0	41	11	50717	11	50237	30	26	65535	0	189	1	0	2018-07-22 18:17:31	40024	1532254651099	46
43	0	41	11	50510	11	50294	30	30	65535	0	246	0	0	2018-07-22 18:17:31	40043	1532254651132	47
70	0	72	11	49690	11	49763	15	10	65535	0	433	0	1	2018-07-22 18:17:31	40070	1532254651199	48
38	0	37	11	50654	11	50475	14	16	2	0	427	0	1	2018-07-22 18:17:31	40038	1532254651266	49
32	0	41	11	50412	11	50144	30	23	65535	0	96	1	0	2018-07-22 18:17:31	40032	1532254651332	50
50	0	41	11	49903	11	50520	30	25	65535	0	472	0	0	2018-07-22 18:17:31	40050	1532254651366	51
48	0	41	11	49629	11	50228	30	31	1	0	180	1	0	2018-07-22 18:17:31	40048	1532254651399	52
12	0	3	11	51625	11	51898	0	5	5	0	491	0	0	2018-07-22 18:17:31	40012	1532254651550	53
44	0	41	11	50405	11	50392	30	21	65535	0	344	0	0	2018-07-22 18:17:31	40044	1532254651583	54
69	0	71	11	50108	11	50188	19	19	65535	0	65535	0	0	2018-07-22 18:17:31	40069	1532254651616	55
75	0	71	11	50135	11	50225	19	24	5	0	37	0	0	2018-07-22 18:17:31	40075	1532254651741	56
66	0	63	11	50579	11	49789	30	35	5	0	129	0	0	2018-07-22 18:17:31	40066	1532254651792	57
52	0	40	11	49882	11	50850	25	30	5	0	399	0	1	2018-07-22 18:17:31	40052	1532254651892	58
4	0	3	11	51325	11	51437	0	5	5	0	30	1	1	2018-07-22 18:17:31	40004	1532254651925	59
39	0	37	11	50265	11	50280	14	18	4	0	232	0	0	2018-07-22 18:17:31	40039	1532254651958	60
53	0	41	11	50330	11	50372	30	32	2	0	324	0	0	2018-07-22 18:17:32	40053	1532254652025	61
47	0	41	11	49881	11	50486	30	30	65535	0	438	0	0	2018-07-22 18:17:32	40047	1532254652092	62
26	0	13	11	50624	11	51700	9	14	5	0	399	0	0	2018-07-22 18:17:32	40026	1532254652125	63
63	0	40	11	49660	11	50666	25	30	5	0	215	0	1	2018-07-22 18:17:32	40063	1532254652259	64
13	0	37	11	51301	11	50165	14	9	65535	0	117	1	1	2018-07-22 18:17:32	40013	1532254652459	65
78	0	72	11	49251	11	49406	15	15	65535	0	76	0	0	2018-07-22 18:17:32	40078	1532254652628	66
77	0	40	11	49836	11	50836	25	30	5	0	385	0	0	2018-07-22 18:17:32	40077	1532254652693	67
33	0	56	11	50304	11	49372	39	14	65535	0	65535	0	1	2018-07-22 18:17:32	40033	1532254652727	68
67	0	64	11	49551	11	50269	19	24	5	0	370	0	0	2018-07-22 18:17:32	40067	1532254652845	69
17	0	80	11	51744	11	49578	5	11	6	0	397	0	0	2018-07-22 18:17:32	40017	1532254652944	70
71	0	70	11	50188	11	50102	10	19	9	0	411	0	1	2018-07-22 18:17:33	40071	1532254653327	71
8	1	3	12	6260	12	6481	0	16	16	1	131	1	0	2018-07-22 18:17:50	40008	1532254670612	72
64	1	8	12	4860	12	6283	16	19	3	0	22	1	1	2018-07-22 18:17:50	40064	1532254670662	73
24	1	37	12	5268	12	5072	14	26	12	1	32	1	0	2018-07-22 18:17:50	40024	1532254670695	74
80	1	3	12	4152	12	6531	0	5	5	0	181	1	1	2018-07-22 18:17:50	40080	1532254670728	75
26	1	37	12	5175	12	5122	14	14	65535	0	82	1	0	2018-07-22 18:17:50	40026	1532254670761	76
77	1	66	12	4319	12	5084	35	30	65535	0	1	1	0	2018-07-22 18:17:50	40077	1532254670845	77
37	1	3	12	5040	12	6508	0	14	14	1	158	1	0	2018-07-22 18:17:50	40037	1532254670878	78
56	1	37	12	4269	12	5201	14	39	25	1	161	1	0	2018-07-22 18:17:50	40056	1532254670912	79
4	1	3	12	6541	12	6653	0	5	5	0	303	0	1	2018-07-22 18:17:50	40004	1532254670953	80
41	1	63	12	5084	12	4444	30	30	65535	0	232	0	0	2018-07-22 18:17:50	40041	1532254670995	81
16	1	11	12	6896	12	6577	7	6	65535	0	87	0	0	2018-07-22 18:17:51	40016	1532254671079	82
53	1	77	12	5185	12	4600	30	32	2	0	280	0	0	2018-07-22 18:17:51	40053	1532254671120	83
