nodeid	clock_time_h	clock_time_l	dc_time_h	dc_time_l	insert_time	motelabMoteID	milli_time	motelabSeqNo
3	10	55497	9	64328	2018-07-22 18:16:30	40003	1532254590471	1
10	11	8414	10	15058	2018-07-22 18:16:48	40010	1532254608627	2
13	11	9410	10	17397	2018-07-22 18:16:49	40013	1532254609803	3
16	11	10462	10	15841	2018-07-22 18:16:50	40016	1532254610271	4
9	11	12493	10	17838	2018-07-22 18:16:52	40009	1532254612751	5
17	11	13527	10	18806	2018-07-22 18:16:53	40017	1532254613707	6
80	11	11480	10	17869	2018-07-22 18:16:53	40080	1532254613828	7
8	11	16600	10	23007	2018-07-22 18:16:56	40008	1532254616707	8
11	11	19641	10	26035	2018-07-22 18:16:59	40011	1532254619539	9
4	11	20680	10	27826	2018-07-22 18:17:00	40004	1532254620587	10
12	11	20690	10	25988	2018-07-22 18:17:00	40012	1532254620779	11
20	11	21715	10	27153	2018-07-22 18:17:01	40020	1532254621503	12
21	11	29900	10	35841	2018-07-22 18:17:09	40021	1532254629635	13
39	11	30918	10	36185	2018-07-22 18:17:11	40039	1532254631938	14
24	11	32967	10	38274	2018-07-22 18:17:13	40024	1532254633742	15
63	11	31932	10	38322	2018-07-22 18:17:13	40063	1532254633796	16
64	11	32971	10	38947	2018-07-22 18:17:14	40064	1532254634095	17
48	11	32996	10	38611	2018-07-22 18:17:14	40048	1532254634816	18
56	11	36042	10	42352	2018-07-22 18:17:17	40056	1532254637836	19
26	11	38096	10	44154	2018-07-22 18:17:18	40026	1532254638886	20
70	11	39123	10	50078	2018-07-22 18:17:20	40070	1532254640806	21
32	11	40158	10	46652	2018-07-22 18:17:20	40032	1532254640956	22
52	11	41186	10	47680	2018-07-22 18:17:22	40052	1532254642794	23
67	11	43216	10	48576	2018-07-22 18:17:24	40067	1532254644814	24
44	11	44229	10	49499	2018-07-22 18:17:25	40044	1532254645184	25
47	11	46285	10	52121	2018-07-22 18:17:27	40047	1532254647801	26
38	11	49354	10	55454	2018-07-22 18:17:29	40038	1532254649755	27
3	11	51401	10	1378	2018-07-22 18:17:30	40003	1532254650531	28
37	11	50373	10	56899	2018-07-22 18:17:31	40037	1532254651516	29
33	11	51381	10	58503	2018-07-22 18:17:33	40033	1532254653027	30
50	11	52415	10	58967	2018-07-22 18:17:33	40050	1532254653788	31
53	11	53446	10	59950	2018-07-22 18:17:34	40053	1532254654234	32
72	11	55502	10	61574	2018-07-22 18:17:36	40072	1532254656721	33
41	11	59605	10	65516	2018-07-22 18:17:40	40041	1532254660203	34
43	11	64702	11	4519	2018-07-22 18:17:44	40043	1532254664983	35
