seq_no	time_flood_h	time_flood_l	insert_time	motelabMoteID	milli_time	motelabSeqNo
0	11	51401	2018-07-22 18:17:30	40003	1532254650472	1
1	12	6345	2018-07-22 18:17:50	40003	1532254670472	2
2	12	26825	2018-07-22 18:18:10	40003	1532254690468	3
3	12	47305	2018-07-22 18:18:30	40003	1532254710472	4
4	13	2249	2018-07-22 18:18:50	40003	1532254730468	5
5	13	22729	2018-07-22 18:19:10	40003	1532254750468	6
6	13	43209	2018-07-22 18:19:30	40003	1532254770469	7
7	13	63689	2018-07-22 18:19:50	40003	1532254790469	8
8	14	18633	2018-07-22 18:20:10	40003	1532254810469	9
9	14	39113	2018-07-22 18:20:30	40003	1532254830466	10
10	14	59593	2018-07-22 18:20:50	40003	1532254850465	11
11	15	14537	2018-07-22 18:21:10	40003	1532254870467	12
12	15	35017	2018-07-22 18:21:30	40003	1532254890466	13
13	15	55497	2018-07-22 18:21:50	40003	1532254910466	14
14	16	10441	2018-07-22 18:22:10	40003	1532254930467	15
15	16	30921	2018-07-22 18:22:30	40003	1532254950466	16
16	16	51401	2018-07-22 18:22:50	40003	1532254970466	17
17	17	6345	2018-07-22 18:23:10	40003	1532254990463	18
18	17	26825	2018-07-22 18:23:30	40003	1532255010463	19
19	17	47305	2018-07-22 18:23:50	40003	1532255030463	20
20	18	2249	2018-07-22 18:24:10	40003	1532255050463	21
21	18	22729	2018-07-22 18:24:30	40003	1532255070463	22
22	18	43209	2018-07-22 18:24:50	40003	1532255090463	23
23	18	63689	2018-07-22 18:25:10	40003	1532255110464	24
24	19	18633	2018-07-22 18:25:30	40003	1532255130460	25
25	19	39113	2018-07-22 18:25:50	40003	1532255150460	26
26	19	59593	2018-07-22 18:26:10	40003	1532255170460	27
27	20	14537	2018-07-22 18:26:30	40003	1532255190461	28
28	20	35017	2018-07-22 18:26:50	40003	1532255210460	29
29	20	55497	2018-07-22 18:27:10	40003	1532255230461	30
30	21	10441	2018-07-22 18:27:30	40003	1532255250457	31
31	21	30921	2018-07-22 18:27:50	40003	1532255270457	32
32	21	51401	2018-07-22 18:28:10	40003	1532255290457	33
33	22	6345	2018-07-22 18:28:30	40003	1532255310457	34
34	22	26825	2018-07-22 18:28:50	40003	1532255330457	35
35	22	47305	2018-07-22 18:29:10	40003	1532255350458	36
36	23	2249	2018-07-22 18:29:30	40003	1532255370458	37
37	23	22729	2018-07-22 18:29:50	40003	1532255390454	38
38	23	43209	2018-07-22 18:30:10	40003	1532255410457	39
39	23	63689	2018-07-22 18:30:30	40003	1532255430454	40
40	24	18633	2018-07-22 18:30:50	40003	1532255450454	41
41	24	39113	2018-07-22 18:31:10	40003	1532255470455	42
42	24	59593	2018-07-22 18:31:30	40003	1532255490456	43
43	25	14537	2018-07-22 18:31:50	40003	1532255510451	44
44	25	35017	2018-07-22 18:32:10	40003	1532255530451	45
45	25	55497	2018-07-22 18:32:30	40003	1532255550451	46
46	26	10441	2018-07-22 18:32:50	40003	1532255570451	47
