id	ebw	path_ebw	elder_id	delay	children_num	is_sender	insert_time	motelabMoteID	milli_time	motelabSeqNo
3	20	0	3	14	8	1	2018-07-22 18:15:30	40003	1532254530467	1
10	55	20	3	11	0	0	2018-07-22 18:15:48	40010	1532254548623	2
13	47	20	3	14	7	1	2018-07-22 18:15:49	40013	1532254549799	3
16	1000	20	3	10	0	0	2018-07-22 18:15:50	40016	1532254550263	4
9	111	67	13	11	0	0	2018-07-22 18:15:52	40009	1532254552747	5
17	1000	67	4	11	0	0	2018-07-22 18:15:53	40017	1532254553705	6
80	50	20	3	10	1	1	2018-07-22 18:15:53	40080	1532254553825	7
8	125	67	13	12	0	0	2018-07-22 18:15:56	40008	1532254556703	8
11	1000	20	3	14	0	0	2018-07-22 18:15:59	40011	1532254559535	9
4	47	20	3	14	1	1	2018-07-22 18:16:00	40004	1532254560583	10
12	100	20	3	10	0	0	2018-07-22 18:16:00	40012	1532254560751	11
20	1000	20	3	10	0	0	2018-07-22 18:16:01	40020	1532254561499	12
21	71	20	3	14	0	0	2018-07-22 18:16:09	40021	1532254569631	13
39	100	67	13	10	0	0	2018-07-22 18:16:11	40039	1532254571925	14
24	62	120	44	12	0	0	2018-07-22 18:16:13	40024	1532254573739	15
63	50	112	40	10	1	1	2018-07-22 18:16:13	40063	1532254573789	16
64	50	117	70	10	1	1	2018-07-22 18:16:14	40064	1532254574098	17
48	1000	112	40	10	0	0	2018-07-22 18:16:14	40048	1532254574803	18
56	1000	174	52	14	0	0	2018-07-22 18:16:17	40056	1532254577829	19
26	1000	67	13	0	0	0	2018-07-22 18:16:18	40026	1532254578873	20
70	47	70	80	14	5	1	2018-07-22 18:16:20	40070	1532254580799	21
32	1000	138	33	11	0	0	2018-07-22 18:16:20	40032	1532254580948	22
52	62	112	40	12	1	1	2018-07-22 18:16:23	40052	1532254583102	23
67	1000	167	64	10	0	0	2018-07-22 18:16:24	40067	1532254584801	24
44	25	95	38	10	0	0	2018-07-22 18:16:25	40044	1532254585175	25
47	1000	112	40	10	0	0	2018-07-22 18:16:27	40047	1532254587798	26
38	28	67	13	14	3	1	2018-07-22 18:16:29	40038	1532254589738	27
37	125	67	13	12	0	0	2018-07-22 18:16:30	40037	1532254590916	28
33	71	67	13	14	1	1	2018-07-22 18:16:31	40033	1532254591917	29
50	20	95	38	12	0	0	2018-07-22 18:16:33	40050	1532254593789	30
53	1000	112	40	12	0	0	2018-07-22 18:16:34	40053	1532254594233	31
72	1000	117	70	10	0	0	2018-07-22 18:16:36	40072	1532254596722	32
41	62	112	40	12	0	0	2018-07-22 18:16:40	40041	1532254600206	33
43	1000	112	40	11	0	0	2018-07-22 18:16:44	40043	1532254604967	34
40	17	95	38	14	8	1	2018-07-22 18:16:47	40040	1532254607837	35
66	1000	162	63	0	0	0	2018-07-22 18:16:49	40066	1532254609035	36
69	100	117	70	10	0	0	2018-07-22 18:16:50	40069	1532254610792	37
77	100	112	40	10	0	0	2018-07-22 18:16:51	40077	1532254611809	38
78	1000	117	70	10	0	0	2018-07-22 18:16:53	40078	1532254613891	39
71	100	117	70	10	1	1	2018-07-22 18:17:00	40071	1532254620729	40
75	1000	217	71	10	0	0	2018-07-22 18:17:14	40075	1532254634846	41
