nodeid	seq_no	tail_time_h	tail_time_l	insert_time	motelabMoteID	milli_time	motelabSeqNo
3	1000	9	65517	2018-07-22 18:15:37	40003	1532254537007	1
9	1000	10	27066	2018-07-22 18:16:03	40009	1532254563031	2
10	1000	10	27492	2018-07-22 18:16:03	40010	1532254563406	3
11	1000	10	27451	2018-07-22 18:16:03	40011	1532254563440	4
12	1000	10	27403	2018-07-22 18:16:03	40012	1532254563523	5
17	1000	10	27576	2018-07-22 18:16:03	40017	1532254563590	6
8	1000	10	27505	2018-07-22 18:16:03	40008	1532254563623	7
13	1000	10	26878	2018-07-22 18:16:03	40013	1532254563690	8
16	1000	10	27667	2018-07-22 18:16:03	40016	1532254563740	9
20	1000	10	27940	2018-07-22 18:16:03	40020	1532254563807	10
3	1000	10	27538	2018-07-22 18:16:03	40003	1532254563903	11
4	1000	10	27438	2018-07-22 18:16:03	40004	1532254563949	12
80	1000	10	25529	2018-07-22 18:16:04	40080	1532254564122	13
10	1000	10	46846	2018-07-22 18:16:22	40010	1532254582250	14
12	1000	10	46807	2018-07-22 18:16:22	40012	1532254582381	15
21	1000	10	46838	2018-07-22 18:16:22	40021	1532254582626	16
70	1000	10	44310	2018-07-22 18:16:22	40070	1532254582668	17
26	1000	10	45858	2018-07-22 18:16:22	40026	1532254582710	18
17	1000	10	46968	2018-07-22 18:16:22	40017	1532254582793	19
9	1000	10	46978	2018-07-22 18:16:22	40009	1532254582851	20
80	1000	10	44450	2018-07-22 18:16:22	40080	1532254582935	21
39	1000	10	46015	2018-07-22 18:16:22	40039	1532254582976	22
16	1000	10	47604	2018-07-22 18:16:23	40016	1532254583035	23
64	1000	10	45448	2018-07-22 18:16:23	40064	1532254583068	24
63	1000	10	44447	2018-07-22 18:16:23	40063	1532254583168	25
20	1000	10	47378	2018-07-22 18:16:23	40020	1532254583202	26
13	1000	10	46879	2018-07-22 18:16:23	40013	1532254583335	27
4	1000	10	46885	2018-07-22 18:16:23	40004	1532254583369	28
3	1000	10	47076	2018-07-22 18:16:23	40003	1532254583402	29
11	1000	10	47191	2018-07-22 18:16:23	40011	1532254583436	30
8	1000	10	46987	2018-07-22 18:16:23	40008	1532254583469	31
10	0	11	51487	2018-07-22 18:17:30	40010	1532254650831	32
16	0	11	51927	2018-07-22 18:17:30	40016	1532254650932	33
8	0	11	51205	2018-07-22 18:17:31	40008	1532254651166	34
72	0	11	49293	2018-07-22 18:17:31	40072	1532254651232	35
64	0	11	49856	2018-07-22 18:17:31	40064	1532254651299	36
9	0	11	51207	2018-07-22 18:17:31	40009	1532254651433	37
80	0	11	49167	2018-07-22 18:17:31	40080	1532254651466	38
37	0	11	49964	2018-07-22 18:17:31	40037	1532254651650	39
48	0	11	49618	2018-07-22 18:17:31	40048	1532254651683	40
11	0	11	51701	2018-07-22 18:17:31	40011	1532254651825	41
40	0	11	50435	2018-07-22 18:17:31	40040	1532254651858	42
12	0	11	51614	2018-07-22 18:17:31	40012	1532254651992	43
32	0	11	50399	2018-07-22 18:17:32	40032	1532254652059	44
20	0	11	51684	2018-07-22 18:17:32	40020	1532254652159	45
39	0	11	50173	2018-07-22 18:17:32	40039	1532254652192	46
21	0	11	51420	2018-07-22 18:17:32	40021	1532254652226	47
24	0	11	50707	2018-07-22 18:17:32	40024	1532254652292	48
56	0	11	49361	2018-07-22 18:17:32	40056	1532254652326	49
69	0	11	50072	2018-07-22 18:17:32	40069	1532254652359	50
63	0	11	49648	2018-07-22 18:17:32	40063	1532254652392	51
44	0	11	50394	2018-07-22 18:17:32	40044	1532254652426	52
70	0	11	49676	2018-07-22 18:17:32	40070	1532254652493	53
13	0	11	51260	2018-07-22 18:17:32	40013	1532254652526	54
52	0	11	49864	2018-07-22 18:17:32	40052	1532254652559	55
47	0	11	49869	2018-07-22 18:17:32	40047	1532254652593	56
38	0	11	50607	2018-07-22 18:17:32	40038	1532254652660	57
77	0	11	49821	2018-07-22 18:17:32	40077	1532254652760	58
53	0	11	50290	2018-07-22 18:17:32	40053	1532254652810	59
75	0	11	50122	2018-07-22 18:17:32	40075	1532254652877	60
33	0	11	50253	2018-07-22 18:17:32	40033	1532254652910	61
43	0	11	50456	2018-07-22 18:17:32	40043	1532254652997	62
4	0	11	51301	2018-07-22 18:17:33	40004	1532254653060	63
67	0	11	49457	2018-07-22 18:17:33	40067	1532254653094	64
26	0	11	50534	2018-07-22 18:17:33	40026	1532254653127	65
41	0	11	50038	2018-07-22 18:17:33	40041	1532254653160	66
78	0	11	49238	2018-07-22 18:17:33	40078	1532254653194	67
50	0	11	49839	2018-07-22 18:17:33	40050	1532254653227	68
66	0	11	50564	2018-07-22 18:17:33	40066	1532254653261	69
17	0	11	51652	2018-07-22 18:17:33	40017	1532254653294	70
71	0	11	50170	2018-07-22 18:17:33	40071	1532254653361	71
26	1	12	5165	2018-07-22 18:17:51	40026	1532254671037	72
53	1	12	5169	2018-07-22 18:17:51	40053	1532254671329	73
8	1	12	6247	2018-07-22 18:17:51	40008	1532254671371	74
80	1	12	4136	2018-07-22 18:17:51	40080	1532254671412	75
41	1	12	5075	2018-07-22 18:17:51	40041	1532254671447	76
77	1	12	4239	2018-07-22 18:17:51	40077	1532254671480	77
16	1	12	6884	2018-07-22 18:17:51	40016	1532254671514	78
20	1	12	6641	2018-07-22 18:17:51	40020	1532254671581	79
4	1	12	6531	2018-07-22 18:17:51	40004	1532254671681	80
56	1	12	4255	2018-07-22 18:17:51	40056	1532254671714	81
50	1	12	4653	2018-07-22 18:17:51	40050	1532254671931	82
75	1	12	4908	2018-07-22 18:17:52	40075	1532254672223	83
52	1	12	4757	2018-07-22 18:17:52	40052	1532254672290	84
32	1	12	5814	2018-07-22 18:17:52	40032	1532254672323	85
66	1	12	5074	2018-07-22 18:17:52	40066	1532254672357	86
39	1	12	5187	2018-07-22 18:17:52	40039	1532254672524	87
10	1	12	6433	2018-07-22 18:17:52	40010	1532254672557	88
24	1	12	5255	2018-07-22 18:17:52	40024	1532254672591	89
44	1	12	5388	2018-07-22 18:17:52	40044	1532254672624	90
40	1	12	5564	2018-07-22 18:17:52	40040	1532254672691	91
67	1	12	4475	2018-07-22 18:17:52	40067	1532254672724	92
47	1	12	4779	2018-07-22 18:17:52	40047	1532254672758	93
38	1	12	5801	2018-07-22 18:17:52	40038	1532254672858	94
43	1	12	5402	2018-07-22 18:17:52	40043	1532254672891	95
9	1	12	6717	2018-07-22 18:17:52	40009	1532254672924	96
69	1	12	5396	2018-07-22 18:17:52	40069	1532254672991	97
70	1	12	4644	2018-07-22 18:17:53	40070	1532254673025	98
72	1	12	4900	2018-07-22 18:17:53	40072	1532254673058	99
33	1	12	5212	2018-07-22 18:17:53	40033	1532254673125	100
13	1	12	6345	2018-07-22 18:17:53	40013	1532254673175	101
37	1	12	5002	2018-07-22 18:17:53	40037	1532254673208	102
63	1	12	4199	2018-07-22 18:17:53	40063	1532254673242	103
12	1	12	6521	2018-07-22 18:17:53	40012	1532254673275	104
64	1	12	4850	2018-07-22 18:17:53	40064	1532254673359	105
11	1	12	6474	2018-07-22 18:17:53	40011	1532254673392	106
78	1	12	5221	2018-07-22 18:17:53	40078	1532254673425	107
21	1	12	6332	2018-07-22 18:17:53	40021	1532254673459	108
48	1	12	5095	2018-07-22 18:17:53	40048	1532254673492	109
71	1	12	4956	2018-07-22 18:17:53	40071	1532254673525	110
17	1	12	6646	2018-07-22 18:17:53	40017	1532254673559	111
12	2	12	26702	2018-07-22 18:18:10	40012	1532254690676	112
72	2	12	24883	2018-07-22 18:18:10	40072	1532254690885	113
21	2	12	27148	2018-07-22 18:18:11	40021	1532254691035	114
20	2	12	27148	2018-07-22 18:18:11	40020	1532254691127	115
80	2	12	24601	2018-07-22 18:18:11	40080	1532254691186	116
16	2	12	27336	2018-07-22 18:18:11	40016	1532254691227	117
4	2	12	27013	2018-07-22 18:18:11	40004	1532254691561	118
70	2	12	24876	2018-07-22 18:18:11	40070	1532254691686	119
11	2	12	27033	2018-07-22 18:18:11	40011	1532254691770	120
32	2	12	26195	2018-07-22 18:18:11	40032	1532254691937	121
67	2	12	25442	2018-07-22 18:18:12	40067	1532254692120	122
24	2	12	26477	2018-07-22 18:18:12	40024	1532254692187	123
47	2	12	25372	2018-07-22 18:18:12	40047	1532254692237	124
10	2	12	26958	2018-07-22 18:18:12	40010	1532254692271	125
48	2	12	25638	2018-07-22 18:18:12	40048	1532254692371	126
77	2	12	25375	2018-07-22 18:18:12	40077	1532254692404	127
53	2	12	26068	2018-07-22 18:18:12	40053	1532254692531	128
41	2	12	26046	2018-07-22 18:18:12	40041	1532254692564	129
26	2	12	26267	2018-07-22 18:18:12	40026	1532254692597	130
64	2	12	25936	2018-07-22 18:18:12	40064	1532254692631	131
33	2	12	26218	2018-07-22 18:18:12	40033	1532254692731	132
56	2	12	25692	2018-07-22 18:18:12	40056	1532254692798	133
38	2	12	26470	2018-07-22 18:18:12	40038	1532254692831	134
50	2	12	25122	2018-07-22 18:18:12	40050	1532254692864	135
40	2	12	26323	2018-07-22 18:18:12	40040	1532254692898	136
78	2	12	25197	2018-07-22 18:18:12	40078	1532254692931	137
69	2	12	25234	2018-07-22 18:18:12	40069	1532254692998	138
8	2	12	27448	2018-07-22 18:18:13	40008	1532254693065	139
52	2	12	25233	2018-07-22 18:18:13	40052	1532254693131	140
37	2	12	26201	2018-07-22 18:18:13	40037	1532254693165	141
66	2	12	26188	2018-07-22 18:18:13	40066	1532254693198	142
44	2	12	25872	2018-07-22 18:18:13	40044	1532254693232	143
39	2	12	26172	2018-07-22 18:18:13	40039	1532254693265	144
17	2	12	27110	2018-07-22 18:18:13	40017	1532254693298	145
13	2	12	26876	2018-07-22 18:18:13	40013	1532254693332	146
43	2	12	26388	2018-07-22 18:18:13	40043	1532254693365	147
9	2	12	27682	2018-07-22 18:18:13	40009	1532254693398	148
63	2	12	25234	2018-07-22 18:18:13	40063	1532254693465	149
9	3	12	47089	2018-07-22 18:18:30	40009	1532254710708	150
10	3	12	47344	2018-07-22 18:18:30	40010	1532254710742	151
16	3	12	47779	2018-07-22 18:18:30	40016	1532254710909	152
11	3	12	47344	2018-07-22 18:18:30	40011	1532254710975	153
21	3	12	47428	2018-07-22 18:18:31	40021	1532254711326	154
17	3	12	47550	2018-07-22 18:18:31	40017	1532254711360	155
80	3	12	45060	2018-07-22 18:18:31	40080	1532254711426	156
37	3	12	46089	2018-07-22 18:18:31	40037	1532254711618	157
4	3	12	47196	2018-07-22 18:18:31	40004	1532254711752	158
47	3	12	45691	2018-07-22 18:18:31	40047	1532254711793	159
75	3	12	46091	2018-07-22 18:18:31	40075	1532254711877	160
43	3	12	46305	2018-07-22 18:18:31	40043	1532254711919	161
38	3	12	46625	2018-07-22 18:18:31	40038	1532254711960	162
20	3	12	47658	2018-07-22 18:18:32	40020	1532254712002	163
70	3	12	45404	2018-07-22 18:18:32	40070	1532254712085	164
64	3	12	45974	2018-07-22 18:18:32	40064	1532254712127	165
40	3	12	46835	2018-07-22 18:18:32	40040	1532254712169	166
72	3	12	45325	2018-07-22 18:18:32	40072	1532254712294	167
69	3	12	46091	2018-07-22 18:18:32	40069	1532254712336	168
12	3	12	47204	2018-07-22 18:18:32	40012	1532254712377	169
66	3	12	46284	2018-07-22 18:18:32	40066	1532254712419	170
41	3	12	46028	2018-07-22 18:18:32	40041	1532254712452	171
32	3	12	46566	2018-07-22 18:18:32	40032	1532254712486	172
8	3	12	47129	2018-07-22 18:18:32	40008	1532254712703	173
50	3	12	45617	2018-07-22 18:18:32	40050	1532254712820	174
26	3	12	46706	2018-07-22 18:18:32	40026	1532254712853	175
33	3	12	47052	2018-07-22 18:18:32	40033	1532254712886	176
63	3	12	45362	2018-07-22 18:18:32	40063	1532254712920	177
53	3	12	46460	2018-07-22 18:18:32	40053	1532254712953	178
48	3	12	45923	2018-07-22 18:18:32	40048	1532254712987	179
44	3	12	46340	2018-07-22 18:18:33	40044	1532254713020	180
78	3	12	45694	2018-07-22 18:18:33	40078	1532254713087	181
77	3	12	45854	2018-07-22 18:18:33	40077	1532254713187	182
24	3	12	46617	2018-07-22 18:18:33	40024	1532254713220	183
13	3	12	47465	2018-07-22 18:18:33	40013	1532254713287	184
39	3	12	47163	2018-07-22 18:18:33	40039	1532254713355	185
71	3	12	45702	2018-07-22 18:18:33	40071	1532254713389	186
67	3	12	45361	2018-07-22 18:18:33	40067	1532254713422	187
56	3	12	46095	2018-07-22 18:18:33	40056	1532254713489	188
52	3	12	45662	2018-07-22 18:18:33	40052	1532254713522	189
16	4	13	2747	2018-07-22 18:18:50	40016	1532254730907	190
10	4	13	2119	2018-07-22 18:18:51	40010	1532254731140	191
11	4	13	2189	2018-07-22 18:18:51	40011	1532254731307	192
80	4	12	65521	2018-07-22 18:18:51	40080	1532254731374	193
13	4	13	2009	2018-07-22 18:18:51	40013	1532254731408	194
69	4	13	347	2018-07-22 18:18:51	40069	1532254731508	195
78	4	13	129	2018-07-22 18:18:51	40078	1532254731641	196
9	4	13	2573	2018-07-22 18:18:51	40009	1532254731691	197
43	4	13	1795	2018-07-22 18:18:51	40043	1532254731725	198
37	4	13	989	2018-07-22 18:18:51	40037	1532254731758	199
72	4	13	392	2018-07-22 18:18:51	40072	1532254731792	200
48	4	13	875	2018-07-22 18:18:51	40048	1532254731825	201
70	4	13	36	2018-07-22 18:18:51	40070	1532254731858	202
44	4	13	1264	2018-07-22 18:18:51	40044	1532254731942	203
24	4	13	1539	2018-07-22 18:18:52	40024	1532254732067	204
17	4	13	2477	2018-07-22 18:18:52	40017	1532254732109	205
56	4	13	178	2018-07-22 18:18:52	40056	1532254732192	206
64	4	13	935	2018-07-22 18:18:52	40064	1532254732276	207
67	4	13	463	2018-07-22 18:18:52	40067	1532254732317	208
53	4	13	1406	2018-07-22 18:18:52	40053	1532254732359	209
38	4	13	1272	2018-07-22 18:18:52	40038	1532254732526	210
33	4	13	1336	2018-07-22 18:18:52	40033	1532254732568	211
40	4	13	1468	2018-07-22 18:18:52	40040	1532254732609	212
12	4	13	2274	2018-07-22 18:18:52	40012	1532254732651	213
47	4	13	733	2018-07-22 18:18:52	40047	1532254732693	214
39	4	13	1016	2018-07-22 18:18:52	40039	1532254732735	215
8	4	13	2542	2018-07-22 18:18:52	40008	1532254732843	216
26	4	13	1247	2018-07-22 18:18:52	40026	1532254732910	217
32	4	13	1405	2018-07-22 18:18:53	40032	1532254733060	218
63	4	13	439	2018-07-22 18:18:53	40063	1532254733093	219
77	4	13	813	2018-07-22 18:18:53	40077	1532254733127	220
66	4	13	1413	2018-07-22 18:18:53	40066	1532254733177	221
21	4	13	2603	2018-07-22 18:18:53	40021	1532254733210	222
20	4	13	2639	2018-07-22 18:18:53	40020	1532254733244	223
4	4	13	2342	2018-07-22 18:18:53	40004	1532254733277	224
52	4	13	555	2018-07-22 18:18:53	40052	1532254733310	225
50	4	13	436	2018-07-22 18:18:53	40050	1532254733344	226
41	4	13	1066	2018-07-22 18:18:53	40041	1532254733411	227
11	5	13	22779	2018-07-22 18:19:10	40011	1532254750671	228
21	5	13	22812	2018-07-22 18:19:10	40021	1532254750788	229
10	5	13	23106	2018-07-22 18:19:11	40010	1532254751230	230
16	5	13	23278	2018-07-22 18:19:11	40016	1532254751330	231
78	5	13	20652	2018-07-22 18:19:11	40078	1532254751430	232
70	5	13	20296	2018-07-22 18:19:11	40070	1532254751564	233
37	5	13	21471	2018-07-22 18:19:11	40037	1532254751631	234
71	5	13	20814	2018-07-22 18:19:11	40071	1532254751697	235
9	5	13	22574	2018-07-22 18:19:11	40009	1532254751731	236
43	5	13	22232	2018-07-22 18:19:12	40043	1532254752082	237
47	5	13	21230	2018-07-22 18:19:12	40047	1532254752115	238
8	5	13	22579	2018-07-22 18:19:12	40008	1532254752182	239
32	5	13	22374	2018-07-22 18:19:12	40032	1532254752298	240
80	5	13	20517	2018-07-22 18:19:12	40080	1532254752332	241
4	5	13	22618	2018-07-22 18:19:12	40004	1532254752399	242
67	5	13	20905	2018-07-22 18:19:12	40067	1532254752432	243
77	5	13	21251	2018-07-22 18:19:12	40077	1532254752465	244
53	5	13	21725	2018-07-22 18:19:12	40053	1532254752499	245
50	5	13	20933	2018-07-22 18:19:12	40050	1532254752532	246
40	5	13	22135	2018-07-22 18:19:12	40040	1532254752566	247
48	5	13	21314	2018-07-22 18:19:12	40048	1532254752649	248
44	5	13	21702	2018-07-22 18:19:12	40044	1532254752691	249
13	5	13	22598	2018-07-22 18:19:12	40013	1532254752732	250
56	5	13	20745	2018-07-22 18:19:12	40056	1532254752774	251
33	5	13	21925	2018-07-22 18:19:12	40033	1532254752899	252
52	5	13	20984	2018-07-22 18:19:12	40052	1532254752941	253
17	5	13	22918	2018-07-22 18:19:12	40017	1532254752983	254
69	5	13	20729	2018-07-22 18:19:13	40069	1532254753024	255
66	5	13	22124	2018-07-22 18:19:13	40066	1532254753066	256
64	5	13	21518	2018-07-22 18:19:13	40064	1532254753191	257
38	5	13	21792	2018-07-22 18:19:13	40038	1532254753233	258
24	5	13	22007	2018-07-22 18:19:13	40024	1532254753275	259
26	5	13	21665	2018-07-22 18:19:13	40026	1532254753333	260
63	5	13	21037	2018-07-22 18:19:13	40063	1532254753375	261
41	5	13	21505	2018-07-22 18:19:13	40041	1532254753417	262
72	5	13	20852	2018-07-22 18:19:13	40072	1532254753450	263
20	5	13	23128	2018-07-22 18:19:13	40020	1532254753483	264
39	5	13	21505	2018-07-22 18:19:13	40039	1532254753575	265
12	5	13	22708	2018-07-22 18:19:13	40012	1532254753609	266
75	5	13	20717	2018-07-22 18:19:13	40075	1532254753642	267
12	6	13	43154	2018-07-22 18:19:30	40012	1532254770752	268
4	6	13	43298	2018-07-22 18:19:31	40004	1532254771453	269
21	6	13	43347	2018-07-22 18:19:31	40021	1532254771553	270
16	6	13	43772	2018-07-22 18:19:31	40016	1532254771587	271
78	6	13	41180	2018-07-22 18:19:31	40078	1532254771704	272
63	6	13	41195	2018-07-22 18:19:31	40063	1532254771738	273
9	6	13	43732	2018-07-22 18:19:31	40009	1532254771771	274
17	6	13	43439	2018-07-22 18:19:31	40017	1532254771804	275
75	6	13	41602	2018-07-22 18:19:31	40075	1532254771838	276
70	6	13	41118	2018-07-22 18:19:31	40070	1532254771871	277
56	6	13	41483	2018-07-22 18:19:31	40056	1532254771938	278
64	6	13	42141	2018-07-22 18:19:32	40064	1532254772105	279
40	6	13	42311	2018-07-22 18:19:32	40040	1532254772138	280
33	6	13	42212	2018-07-22 18:19:32	40033	1532254772172	281
66	6	13	42202	2018-07-22 18:19:32	40066	1532254772372	282
41	6	13	42081	2018-07-22 18:19:32	40041	1532254772422	283
8	6	13	43242	2018-07-22 18:19:32	40008	1532254772456	284
11	6	13	43629	2018-07-22 18:19:32	40011	1532254772523	285
10	6	13	43466	2018-07-22 18:19:32	40010	1532254772673	286
