addr	neighbor_num	neighbor0	neighbor1	neighbor2	neighbor3	neighbor4	neighbor5	neighbor6	neighbor7	neighbor8	neighbor9	neighbor10	neighbor11	neighbor12	neighbor13	reced0	reced1	reced2	reced3	reced4	reced5	reced6	reced7	reced8	reced9	reced10	reced11	reced12	reced13	insert_time	motelabMoteID	milli_time	motelabSeqNo
16	5	3	4	11	13	20	0	0	0	0	0	0	0	0	0	9	10	10	4	10	0	0	0	0	0	0	0	0	0	2018-07-22 18:08:06	40016	1532254086131	1
3	10	4	8	10	11	12	13	16	17	21	80	0	0	0	0	7	7	9	7	10	4	5	5	7	7	0	0	0	0	2018-07-22 18:08:06	40003	1532254086350	2
20	7	3	4	10	11	12	16	21	0	0	0	0	0	0	0	10	10	10	10	10	10	10	0	0	0	0	0	0	0	2018-07-22 18:08:06	40020	1532254086407	3
10	8	3	4	12	17	20	21	70	80	0	0	0	0	0	0	10	9	10	10	5	6	9	10	0	0	0	0	0	0	2018-07-22 18:08:06	40010	1532254086448	4
11	5	3	4	13	16	20	0	0	0	0	0	0	0	0	0	8	7	6	10	9	0	0	0	0	0	0	0	0	0	2018-07-22 18:08:06	40011	1532254086490	5
4	12	3	10	11	12	13	16	17	20	21	37	70	80	0	0	10	10	9	10	6	8	7	10	10	10	8	7	0	0	2018-07-22 18:08:06	40004	1532254086540	6
21	9	3	4	10	12	13	17	20	37	80	0	0	0	0	0	8	10	7	8	6	7	10	9	5	0	0	0	0	0	2018-07-22 18:08:06	40021	1532254086582	7
9	5	8	13	39	64	67	0	0	0	0	0	0	0	0	0	10	10	10	4	9	0	0	0	0	0	0	0	0	0	2018-07-22 18:08:06	40009	1532254086640	8
17	6	3	4	10	12	21	80	0	0	0	0	0	0	0	0	4	9	10	10	10	10	0	0	0	0	0	0	0	0	2018-07-22 18:08:06	40017	1532254086674	9
8	5	3	9	13	64	67	0	0	0	0	0	0	0	0	0	5	10	8	6	8	0	0	0	0	0	0	0	0	0	2018-07-22 18:08:06	40008	1532254086707	10
12	8	3	4	10	11	17	20	21	80	0	0	0	0	0	0	10	10	10	3	10	7	8	10	0	0	0	0	0	0	2018-07-22 18:08:06	40012	1532254086740	11
13	14	3	4	8	9	10	11	16	21	26	33	37	38	39	67	7	7	6	10	2	8	2	5	6	6	10	7	5	6	2018-07-22 18:08:06	40013	1532254086774	12
24	8	32	33	37	38	40	41	44	56	0	0	0	0	0	0	8	6	9	3	5	10	10	9	0	0	0	0	0	0	2018-07-22 18:08:07	40024	1532254087572	13
38	10	13	26	33	37	39	40	43	44	50	56	0	0	0	0	8	9	1	10	10	9	8	10	8	7	0	0	0	0	2018-07-22 18:08:07	40038	1532254087624	14
40	12	38	41	43	44	47	48	50	52	53	56	63	77	0	0	7	10	10	10	10	10	8	10	7	6	10	10	0	0	2018-07-22 18:08:07	40040	1532254087730	15
26	4	13	37	38	39	0	0	0	0	0	0	0	0	0	0	10	8	9	10	0	0	0	0	0	0	0	0	0	0	2018-07-22 18:08:07	40026	1532254087767	16
33	5	13	32	37	52	56	0	0	0	0	0	0	0	0	0	10	5	8	8	7	0	0	0	0	0	0	0	0	0	2018-07-22 18:08:07	40033	1532254087799	17
37	9	3	4	13	21	26	33	38	39	56	0	0	0	0	0	5	7	10	5	4	7	9	6	8	0	0	0	0	0	2018-07-22 18:08:07	40037	1532254087866	18
39	7	8	9	13	26	37	38	50	0	0	0	0	0	0	0	2	10	7	10	10	10	10	0	0	0	0	0	0	0	2018-07-22 18:08:07	40039	1532254087924	19
32	3	33	41	52	0	0	0	0	0	0	0	0	0	0	0	7	9	9	0	0	0	0	0	0	0	0	0	0	0	2018-07-22 18:08:07	40032	1532254087958	20
43	10	38	40	41	44	47	48	50	52	63	77	0	0	0	0	1	10	10	10	9	10	10	10	9	10	0	0	0	0	2018-07-22 18:08:07	40043	1532254087991	21
66	3	63	64	77	0	0	0	0	0	0	0	0	0	0	0	10	9	9	0	0	0	0	0	0	0	0	0	0	0	2018-07-22 18:08:08	40066	1532254088024	22
64	7	8	9	50	63	66	67	70	0	0	0	0	0	0	0	10	8	2	10	10	10	7	0	0	0	0	0	0	0	2018-07-22 18:08:08	40064	1532254088058	23
41	14	24	32	38	40	43	44	47	48	50	52	53	56	63	77	4	8	6	10	10	10	10	10	10	10	8	9	8	5	2018-07-22 18:08:08	40041	1532254088108	24
44	10	38	40	41	43	47	48	50	52	63	77	0	0	0	0	10	9	10	10	10	6	10	1	4	10	0	0	0	0	2018-07-22 18:08:08	40044	1532254088141	25
53	6	40	41	43	44	50	77	0	0	0	0	0	0	0	0	8	2	8	1	10	7	0	0	0	0	0	0	0	0	2018-07-22 18:08:08	40053	1532254088174	26
71	3	69	70	75	0	0	0	0	0	0	0	0	0	0	0	8	7	10	0	0	0	0	0	0	0	0	0	0	0	2018-07-22 18:08:08	40071	1532254088564	27
72	4	63	70	78	80	0	0	0	0	0	0	0	0	0	0	7	10	10	5	0	0	0	0	0	0	0	0	0	0	2018-07-22 18:08:08	40072	1532254088597	28
52	11	32	33	40	41	43	44	47	48	50	56	77	0	0	0	8	7	10	10	8	7	8	7	9	9	4	0	0	0	2018-07-22 18:08:08	40052	1532254088633	29
50	12	38	39	40	41	43	44	47	52	53	63	70	77	0	0	7	7	10	10	10	8	8	2	10	9	5	10	0	0	2018-07-22 18:08:08	40050	1532254088666	30
80	9	3	4	10	12	17	21	70	72	78	0	0	0	0	0	10	10	10	10	10	1	10	5	6	0	0	0	0	0	2018-07-22 18:08:08	40080	1532254088700	31
69	3	70	71	75	0	0	0	0	0	0	0	0	0	0	0	7	10	10	0	0	0	0	0	0	0	0	0	0	0	2018-07-22 18:08:08	40069	1532254088733	32
70	10	4	10	50	63	64	69	71	72	78	80	0	0	0	0	5	7	1	9	6	2	4	10	7	10	0	0	0	0	2018-07-22 18:08:08	40070	1532254088767	33
56	7	33	37	38	40	41	47	52	0	0	0	0	0	0	0	6	10	6	6	6	6	7	0	0	0	0	0	0	0	2018-07-22 18:08:08	40056	1532254088800	34
67	3	8	9	64	0	0	0	0	0	0	0	0	0	0	0	10	9	10	0	0	0	0	0	0	0	0	0	0	0	2018-07-22 18:08:08	40067	1532254088833	35
47	8	40	41	43	44	48	50	52	56	0	0	0	0	0	0	10	10	6	10	10	10	10	2	0	0	0	0	0	0	2018-07-22 18:08:08	40047	1532254088867	36
75	2	69	71	0	0	0	0	0	0	0	0	0	0	0	0	8	10	0	0	0	0	0	0	0	0	0	0	0	0	2018-07-22 18:08:08	40075	1532254088900	37
77	8	40	41	43	44	50	53	63	66	0	0	0	0	0	0	10	5	10	3	10	10	8	10	0	0	0	0	0	0	2018-07-22 18:08:08	40077	1532254088934	38
48	7	40	41	43	44	47	50	52	0	0	0	0	0	0	0	9	10	10	3	10	2	10	0	0	0	0	0	0	0	2018-07-22 18:08:08	40048	1532254088967	39
78	2	70	72	0	0	0	0	0	0	0	0	0	0	0	0	10	10	0	0	0	0	0	0	0	0	0	0	0	0	2018-07-22 18:08:09	40078	1532254089000	40
63	11	40	41	43	47	50	52	64	66	70	72	77	0	0	0	10	8	10	4	10	1	10	10	10	2	5	0	0	0	2018-07-22 18:08:09	40063	1532254089034	41
