id	ebw	path_ebw	elder_id	delay	children_num	is_sender	insert_time	motelabMoteID	milli_time	motelabSeqNo
3	15	0	3	14	8	1	2018-07-23 05:38:32	40003	1532295512936	1
8	25	15	3	10	4	1	2018-07-23 05:38:41	40008	1532295521844	2
16	1000	15	3	10	0	0	2018-07-23 05:38:42	40016	1532295522976	3
11	142	15	3	14	0	0	2018-07-23 05:38:43	40011	1532295523116	4
64	37	40	8	11	2	1	2018-07-23 05:38:44	40064	1532295524333	5
13	47	40	8	14	4	1	2018-07-23 05:38:45	40013	1532295525804	6
17	1000	52	80	11	0	0	2018-07-23 05:38:45	40017	1532295525964	7
80	37	15	3	11	2	1	2018-07-23 05:38:46	40080	1532295526078	8
9	100	40	8	10	0	0	2018-07-23 05:38:46	40009	1532295526107	9
10	100	15	3	10	0	0	2018-07-23 05:38:47	40010	1532295527856	10
50	25	104	63	12	0	0	2018-07-23 05:38:50	40050	1532295530907	11
66	100	77	64	10	0	0	2018-07-23 05:38:51	40066	1532295531131	12
4	47	15	3	14	0	0	2018-07-23 05:38:52	40004	1532295532668	13
12	100	15	3	10	0	0	2018-07-23 05:38:52	40012	1532295532840	14
20	1000	15	3	12	0	0	2018-07-23 05:38:53	40020	1532295533884	15
70	41	52	80	12	4	1	2018-07-23 05:38:56	40070	1532295536196	16
63	27	77	64	11	4	1	2018-07-23 05:38:56	40063	1532295536342	17
44	100	122	41	10	0	0	2018-07-23 05:38:56	40044	1532295536520	18
21	47	15	3	14	1	1	2018-07-23 05:38:57	40021	1532295537112	19
39	100	87	13	10	0	0	2018-07-23 05:39:04	40039	1532295544201	20
47	1000	122	41	11	0	0	2018-07-23 05:39:05	40047	1532295545643	21
24	1000	122	41	11	0	0	2018-07-23 05:39:06	40024	1532295546230	22
32	1000	122	41	10	0	0	2018-07-23 05:39:06	40032	1532295546270	23
72	1000	93	70	0	0	0	2018-07-23 05:39:07	40072	1532295547075	24
48	1000	122	41	10	0	0	2018-07-23 05:39:07	40048	1532295547399	25
40	20	104	63	12	1	1	2018-07-23 05:39:07	40040	1532295547729	26
33	47	87	13	14	0	0	2018-07-23 05:39:08	40033	1532295548231	27
71	100	93	70	10	0	0	2018-07-23 05:39:09	40071	1532295549021	28
41	18	104	63	11	6	1	2018-07-23 05:39:10	40041	1532295550769	29
26	1000	87	13	10	0	0	2018-07-23 05:39:11	40026	1532295551216	30
37	28	62	21	14	1	1	2018-07-23 05:39:14	40037	1532295554129	31
52	125	122	41	12	0	0	2018-07-23 05:39:15	40052	1532295555642	32
67	1000	40	8	10	0	0	2018-07-23 05:39:16	40067	1532295556336	33
43	20	104	63	12	0	0	2018-07-23 05:39:16	40043	1532295556410	34
69	100	93	70	10	1	1	2018-07-23 05:39:17	40069	1532295557489	35
77	1000	124	40	10	0	0	2018-07-23 05:39:21	40077	1532295561469	36
38	47	87	13	14	0	0	2018-07-23 05:39:22	40038	1532295562149	37
53	125	122	41	12	0	0	2018-07-23 05:39:22	40053	1532295562556	38
78	1000	93	70	10	0	0	2018-07-23 05:39:24	40078	1532295564119	39
56	142	90	37	14	0	0	2018-07-23 05:39:32	40056	1532295572775	40
75	1000	193	69	0	0	0	2018-07-23 05:39:37	40075	1532295577056	41
