nodeid	seq_no	src_id	rec_time_h	rec_time_l	hop_delay_h	hop_delay_l	parent_ETD	local_ETD	delta_ETD	long_link_sender	MPD	shortcut_sender	tree_sender	insert_time	motelabMoteID	milli_time	motelabSeqNo
52	1000	227	10	57860	56	54496	52	31	65535	0	54444	0	1	2018-07-23 09:13:44	40052	1532308424756	1
47	1000	52	10	57874	10	61673	31	31	65535	0	3813	0	0	2018-07-23 09:13:44	40047	1532308424798	2
64	1000	63	10	58109	10	61927	31	15	65535	0	3729	0	0	2018-07-23 09:13:44	40064	1532308424881	3
70	1000	63	10	58252	10	56809	31	38	7	0	65535	0	1	2018-07-23 09:13:44	40070	1532308424965	4
44	1000	52	10	58289	10	54981	31	22	65535	0	65535	0	0	2018-07-23 09:13:45	40044	1532308425006	5
10	1000	70	10	60478	10	57322	38	6	65535	0	65535	0	0	2018-07-23 09:13:45	40010	1532308425090	6
63	1000	52	10	58198	10	56012	31	31	65535	0	65535	0	1	2018-07-23 09:13:45	40063	1532308425173	7
11	1000	4	10	60518	10	55005	5	6	1	0	65535	0	0	2018-07-23 09:13:45	40011	1532308425257	8
80	1000	4	10	58591	10	56807	5	5	65535	0	65535	0	0	2018-07-23 09:13:45	40080	1532308425290	9
48	1000	52	10	58738	10	59882	31	31	65535	0	2022	0	0	2018-07-23 09:13:45	40048	1532308425323	10
50	1000	63	10	58363	10	58600	31	32	1	0	402	0	0	2018-07-23 09:13:45	40050	1532308425357	11
3	1000	4	10	61194	10	59368	5	0	65535	0	65535	0	1	2018-07-23 09:13:45	40003	1532308425390	12
4	1000	70	10	60617	10	54757	38	5	65535	0	65535	0	1	2018-07-23 09:13:45	40004	1532308425424	13
17	1000	4	10	60785	10	56035	5	5	65535	0	65535	0	0	2018-07-23 09:13:45	40017	1532308425616	14
20	1000	4	10	60924	10	61414	5	10	5	0	797	0	0	2018-07-23 09:13:45	40020	1532308425697	15
12	1000	4	10	60658	10	61161	5	5	65535	0	544	0	0	2018-07-23 09:13:45	40012	1532308425733	16
21	1000	3	10	61194	10	56037	0	6	6	0	65535	0	0	2018-07-23 09:13:45	40021	1532308425833	17
8	1000	3	10	60806	10	56291	0	5	5	0	65535	0	1	2018-07-23 09:13:45	40008	1532308425866	18
16	1000	3	10	60713	10	55008	0	10	10	0	65535	0	0	2018-07-23 09:13:45	40016	1532308425899	19
67	1000	8	10	59369	10	58858	5	10	5	0	65535	0	1	2018-07-23 09:13:46	40067	1532308426033	20
9	1000	8	10	61101	10	63208	5	10	5	0	2402	0	0	2018-07-23 09:13:46	40009	1532308426267	21
80	0	3	11	60200	11	62681	0	5	5	0	11	1	0	2018-07-23 09:14:50	40080	1532308490903	22
16	0	3	11	62302	11	62784	0	10	10	0	114	1	0	2018-07-23 09:14:50	40016	1532308490969	23
4	0	3	11	62484	11	62824	0	5	5	0	154	0	1	2018-07-23 09:14:51	40004	1532308491003	24
11	0	4	11	62379	11	62513	5	6	1	0	29	1	0	2018-07-23 09:14:51	40011	1532308491070	25
10	0	4	11	62482	11	62513	5	6	1	0	29	1	0	2018-07-23 09:14:51	40010	1532308491103	26
17	0	3	11	62459	11	62958	0	5	5	0	288	0	0	2018-07-23 09:14:51	40017	1532308491136	27
21	0	4	11	62650	11	62484	5	6	1	0	65535	0	0	2018-07-23 09:14:51	40021	1532308491170	28
12	0	4	11	62375	11	62484	5	5	65535	0	65535	0	0	2018-07-23 09:14:51	40012	1532308491203	29
20	0	3	11	62511	11	62958	0	10	10	0	288	0	0	2018-07-23 09:14:51	40020	1532308491303	30
70	0	4	11	60718	11	62839	5	38	33	1	355	0	1	2018-07-23 09:14:51	40070	1532308491370	31
8	0	13	11	62485	11	62670	7	5	65535	0	44	1	1	2018-07-23 09:14:51	40008	1532308491420	32
13	0	4	11	62625	11	62603	5	7	2	0	119	1	1	2018-07-23 09:14:51	40013	1532308491454	33
67	0	8	11	60659	11	62564	5	10	5	0	79	1	1	2018-07-23 09:14:51	40067	1532308491487	34
9	0	13	11	62991	11	62935	7	10	3	0	309	0	0	2018-07-23 09:14:51	40009	1532308491520	35
63	0	70	11	60931	11	60833	38	31	65535	0	115	1	1	2018-07-23 09:14:51	40063	1532308491554	36
37	0	13	11	61346	11	62935	7	12	5	0	309	0	1	2018-07-23 09:14:51	40037	1532308491587	37
41	0	52	11	60857	11	60853	31	31	65535	0	36	1	0	2018-07-23 09:14:51	40041	1532308491646	38
56	0	37	11	60646	11	61346	12	18	6	0	65535	0	0	2018-07-23 09:14:51	40056	1532308491679	39
71	0	70	11	60919	11	60890	38	47	9	0	172	0	1	2018-07-23 09:14:51	40071	1532308491746	40
52	0	63	11	60817	11	61051	31	31	65535	0	119	0	1	2018-07-23 09:14:51	40052	1532308491779	41
69	0	70	11	60792	11	60775	38	45	7	0	57	1	0	2018-07-23 09:14:51	40069	1532308491846	42
64	0	8	11	60626	11	62638	5	15	10	0	153	1	0	2018-07-23 09:14:51	40064	1532308491879	43
40	0	63	11	61963	11	61365	31	26	65535	0	433	0	1	2018-07-23 09:14:51	40040	1532308491913	44
39	0	37	11	61429	11	61441	12	18	6	0	95	1	0	2018-07-23 09:14:51	40039	1532308491980	45
47	0	40	11	61218	11	62061	26	31	5	0	98	1	0	2018-07-23 09:14:52	40047	1532308492013	46
33	0	52	11	61599	11	60880	31	38	7	0	63	1	0	2018-07-23 09:14:52	40033	1532308492080	47
48	0	52	11	61837	11	61338	31	31	65535	0	521	0	0	2018-07-23 09:14:52	40048	1532308492113	48
72	0	70	11	60817	11	60907	38	43	5	0	189	0	0	2018-07-23 09:14:52	40072	1532308492146	49
26	0	13	11	61232	11	62775	7	13	6	0	149	0	0	2018-07-23 09:14:52	40026	1532308492247	50
78	0	70	11	60806	11	60840	38	45	7	0	122	1	0	2018-07-23 09:14:52	40078	1532308492313	51
75	0	71	11	61421	11	61445	47	52	5	0	526	0	0	2018-07-23 09:14:52	40075	1532308492347	52
32	0	52	11	61905	11	61173	31	38	7	0	356	0	0	2018-07-23 09:14:52	40032	1532308492547	53
77	0	40	11	61736	11	62486	26	31	5	0	523	0	0	2018-07-23 09:14:52	40077	1532308492614	54
50	0	63	11	60718	11	60958	31	32	1	0	26	1	0	2018-07-23 09:14:52	40050	1532308492706	55
24	0	52	11	62308	11	60999	31	28	65535	0	182	0	0	2018-07-23 09:14:52	40024	1532308492807	56
44	0	38	11	61953	11	62293	17	22	5	0	470	0	0	2018-07-23 09:14:52	40044	1532308492999	57
38	0	37	11	61823	11	61808	12	17	5	0	462	0	1	2018-07-23 09:14:53	40038	1532308493032	58
43	0	52	11	61156	11	61127	31	31	65535	0	310	0	0	2018-07-23 09:14:53	40043	1532308493433	59
11	1	3	12	17219	12	17700	0	6	6	0	87	1	0	2018-07-23 09:15:10	40011	1532308510911	60
12	1	3	12	17422	12	17885	0	5	5	0	272	0	0	2018-07-23 09:15:11	40012	1532308511091	61
10	1	3	12	17512	12	17891	0	6	6	0	278	0	0	2018-07-23 09:15:11	40010	1532308511127	62
4	1	3	12	17574	12	17914	0	5	5	0	301	0	1	2018-07-23 09:15:11	40004	1532308511160	63
17	1	3	12	17392	12	17891	0	5	5	0	278	0	0	2018-07-23 09:15:11	40017	1532308511193	64
8	1	3	12	17460	12	17976	0	5	5	0	363	0	1	2018-07-23 09:15:11	40008	1532308511293	65
13	1	4	12	17765	12	17743	5	7	2	0	169	0	1	2018-07-23 09:15:11	40013	1532308511327	66
21	1	3	12	17714	12	17901	0	6	6	0	288	0	0	2018-07-23 09:15:11	40021	1532308511427	67
9	1	8	12	17957	12	17709	5	10	5	0	249	0	0	2018-07-23 09:15:11	40009	1532308511460	68
70	1	4	12	15534	12	17655	5	38	33	1	81	0	1	2018-07-23 09:15:11	40070	1532308511494	69
80	1	3	12	15706	12	18187	0	5	5	0	574	0	0	2018-07-23 09:15:11	40080	1532308511527	70
64	1	63	12	15809	12	15954	31	15	65535	0	65535	0	0	2018-07-23 09:15:11	40064	1532308511560	71
16	1	13	12	17836	12	17986	7	10	3	0	220	0	0	2018-07-23 09:15:11	40016	1532308511594	72
78	1	70	12	15808	12	15843	38	45	7	0	309	0	0	2018-07-23 09:15:11	40078	1532308511661	73
37	1	13	12	16476	12	18065	7	12	5	0	299	0	1	2018-07-23 09:15:11	40037	1532308511694	74
71	1	70	12	15816	12	15788	38	47	9	0	254	0	1	2018-07-23 09:15:11	40071	1532308511778	75
66	1	63	12	16116	12	16252	31	36	5	0	298	0	0	2018-07-23 09:15:11	40066	1532308511844	76
75	1	71	12	16202	12	16226	47	52	5	0	410	0	0	2018-07-23 09:15:11	40075	1532308511878	77
26	1	13	12	16803	12	18346	7	13	6	0	580	0	0	2018-07-23 09:15:11	40026	1532308511944	78
50	1	40	12	16087	12	16918	26	32	6	0	32	0	0	2018-07-23 09:15:12	40050	1532308512003	79
52	1	63	12	16184	12	16418	31	31	65535	0	464	0	1	2018-07-23 09:15:12	40052	1532308512070	80
63	1	70	12	15954	12	15856	38	31	65535	0	322	0	1	2018-07-23 09:15:12	40063	1532308512136	81
41	1	52	12	16358	12	16354	31	31	65535	0	170	0	0	2018-07-23 09:15:12	40041	1532308512170	82
38	1	37	12	16956	12	16941	12	17	5	0	464	0	1	2018-07-23 09:15:12	40038	1532308512203	83
56	1	33	12	16043	12	16763	38	18	65535	0	44	1	0	2018-07-23 09:15:12	40056	1532308512237	84
43	1	63	12	15947	12	16159	31	31	65535	0	205	1	0	2018-07-23 09:15:12	40043	1532308512404	85
47	1	40	12	16568	12	17411	26	31	5	0	525	0	0	2018-07-23 09:15:12	40047	1532308512504	86
24	1	33	12	17775	12	17178	38	28	65535	0	459	0	0	2018-07-23 09:15:12	40024	1532308512571	87
69	1	70	12	15641	12	15624	38	45	7	0	90	0	0	2018-07-23 09:15:12	40069	1532308512621	88
72	1	70	12	15753	12	15843	38	43	5	0	309	0	0	2018-07-23 09:15:12	40072	1532308512787	89
39	1	38	12	17457	12	17477	17	18	1	0	521	0	0	2018-07-23 09:15:13	40039	1532308513072	90
20	1	4	12	17939	12	18038	5	10	5	0	464	0	0	2018-07-23 09:15:13	40020	1532308513274	91
67	1	8	12	16120	12	18025	5	10	5	0	565	0	1	2018-07-23 09:15:13	40067	1532308513374	92
77	1	40	12	16159	12	16909	26	31	5	0	23	1	0	2018-07-23 09:15:13	40077	1532308513407	93
44	1	38	12	16872	12	17213	17	22	5	0	257	0	0	2018-07-23 09:15:13	40044	1532308513474	94
33	1	37	12	16719	12	16698	12	38	26	1	221	0	0	2018-07-23 09:15:13	40033	1532308513641	95
32	1	52	12	17249	12	16518	31	38	7	0	334	0	0	2018-07-23 09:15:13	40032	1532308513774	96
40	1	63	12	16886	12	16288	31	26	65535	0	334	0	1	2018-07-23 09:15:13	40040	1532308513908	97
53	1	40	12	16295	12	17144	26	33	7	0	258	0	0	2018-07-23 09:15:13	40053	1532308513941	98
48	1	40	12	16637	12	16971	26	31	5	0	85	1	0	2018-07-23 09:15:14	40048	1532308514042	99
8	2	3	12	37623	12	38139	0	5	5	0	46	0	1	2018-07-23 09:15:30	40008	1532308530875	100
80	2	3	12	35622	12	38103	0	5	5	0	10	1	0	2018-07-23 09:15:30	40080	1532308530909	101
16	2	3	12	37749	12	38231	0	10	10	0	138	0	0	2018-07-23 09:15:30	40016	1532308530975	102
21	2	3	12	38031	12	38218	0	6	6	0	125	0	0	2018-07-23 09:15:31	40021	1532308531009	103
20	2	3	12	37855	12	38301	0	10	10	0	208	0	0	2018-07-23 09:15:31	40020	1532308531067	104
17	2	3	12	37917	12	38416	0	5	5	0	323	0	0	2018-07-23 09:15:31	40017	1532308531167	105
13	2	4	12	38014	12	37985	5	7	2	0	65535	0	1	2018-07-23 09:15:31	40013	1532308531201	106
4	2	3	12	37985	12	38325	0	5	5	0	232	0	1	2018-07-23 09:15:31	40004	1532308531234	107
12	2	3	12	37885	12	38348	0	5	5	0	255	0	0	2018-07-23 09:15:31	40012	1532308531267	108
67	2	8	12	36123	12	38028	5	10	5	0	405	0	1	2018-07-23 09:15:31	40067	1532308531301	109
