nodeid	clock_time_h	clock_time_l	dc_time_h	dc_time_l	insert_time	motelabMoteID	milli_time	motelabSeqNo
3	11	1235	10	8672	2018-07-23 09:13:50	40003	1532308430826	1
11	11	10429	10	16910	2018-07-23 09:14:00	40011	1532308440282	2
80	11	11480	10	16792	2018-07-23 09:14:03	40080	1532308443271	3
17	11	13527	10	19043	2018-07-23 09:14:03	40017	1532308443327	4
8	11	15568	10	21749	2018-07-23 09:14:05	40008	1532308445334	5
10	11	18641	10	25894	2018-07-23 09:14:08	40010	1532308448198	6
21	11	20686	10	26707	2018-07-23 09:14:10	40021	1532308450010	7
4	11	20680	10	27314	2018-07-23 09:14:10	40004	1532308450154	8
12	11	20688	10	27174	2018-07-23 09:14:10	40012	1532308450282	9
20	11	21717	10	27017	2018-07-23 09:14:11	40020	1532308451272	10
16	11	29872	10	35154	2018-07-23 09:14:19	40016	1532308459266	11
63	11	31931	10	38385	2018-07-23 09:14:23	40063	1532308463141	12
48	11	32995	10	38541	2018-07-23 09:14:23	40048	1532308463926	13
9	11	36022	10	41501	2018-07-23 09:14:25	40009	1532308465070	14
64	11	38089	10	45088	2018-07-23 09:14:29	40064	1532308469305	15
47	11	41161	10	46531	2018-07-23 09:14:32	40047	1532308472400	16
67	11	43216	10	49107	2018-07-23 09:14:34	40067	1532308474209	17
44	11	44229	10	49498	2018-07-23 09:14:35	40044	1532308475037	18
70	11	44256	10	54608	2018-07-23 09:14:35	40070	1532308475257	19
52	11	47341	10	54335	2018-07-23 09:14:38	40052	1532308478416	20
50	11	49342	10	56160	2018-07-23 09:14:40	40050	1532308480383	21
39	11	53447	10	58942	2018-07-23 09:14:43	40039	1532308483715	22
38	11	54476	10	60342	2018-07-23 09:14:44	40038	1532308484695	23
24	11	55496	10	60851	2018-07-23 09:14:45	40024	1532308485118	24
40	11	55519	10	60910	2018-07-23 09:14:45	40040	1532308485592	25
72	11	55501	10	60941	2018-07-23 09:14:46	40072	1532308486330	26
26	11	56518	10	62422	2018-07-23 09:14:46	40026	1532308486662	27
32	11	59620	11	608	2018-07-23 09:14:49	40032	1532308489700	28
3	11	62664	10	11896	2018-07-23 09:14:50	40003	1532308490869	29
43	11	64700	11	4726	2018-07-23 09:14:55	40043	1532308495343	30
41	12	228	11	6459	2018-07-23 09:14:56	40041	1532308496420	31
66	12	3265	11	9847	2018-07-23 09:14:59	40066	1532308499275	32
13	12	6347	11	13841	2018-07-23 09:15:00	40013	1532308500139	33
11	12	6333	10	19343	2018-07-23 09:15:00	40011	1532308500279	34
77	12	5332	11	11020	2018-07-23 09:15:01	40077	1532308501318	35
53	12	6353	11	13019	2018-07-23 09:15:02	40053	1532308502413	36
80	12	7384	10	18042	2018-07-23 09:15:03	40080	1532308503259	37
17	12	9431	10	20297	2018-07-23 09:15:03	40017	1532308503326	38
78	12	7393	11	12788	2018-07-23 09:15:03	40078	1532308503367	39
8	12	11472	10	23507	2018-07-23 09:15:05	40008	1532308505331	40
10	12	14545	10	29702	2018-07-23 09:15:08	40010	1532308508199	41
21	12	16590	10	28445	2018-07-23 09:15:10	40021	1532308510011	42
4	12	16584	10	29369	2018-07-23 09:15:10	40004	1532308510151	43
12	12	16592	10	30211	2018-07-23 09:15:10	40012	1532308510279	44
20	12	17621	10	28206	2018-07-23 09:15:11	40020	1532308511393	45
56	12	15562	11	21909	2018-07-23 09:15:11	40056	1532308511627	46
33	12	16593	11	22525	2018-07-23 09:15:13	40033	1532308513507	47
37	12	18618	11	26775	2018-07-23 09:15:14	40037	1532308514167	48
69	12	19662	11	26325	2018-07-23 09:15:15	40069	1532308515229	49
16	12	25776	10	36478	2018-07-23 09:15:19	40016	1532308519267	50
63	12	27835	10	41402	2018-07-23 09:15:23	40063	1532308523130	51
71	12	27863	11	35574	2018-07-23 09:15:23	40071	1532308523236	52
48	12	28900	10	40709	2018-07-23 09:15:23	40048	1532308523933	53
9	12	31926	10	43137	2018-07-23 09:15:25	40009	1532308525071	54
64	12	33993	10	50397	2018-07-23 09:15:29	40064	1532308529297	55
47	12	37065	10	48361	2018-07-23 09:15:33	40047	1532308533613	56
67	12	39120	10	52135	2018-07-23 09:15:34	40067	1532308534207	57
44	12	40133	10	50762	2018-07-23 09:15:35	40044	1532308535028	58
70	12	40160	10	62073	2018-07-23 09:15:35	40070	1532308535264	59
52	12	43245	10	58397	2018-07-23 09:15:38	40052	1532308538424	60
50	12	45246	10	58957	2018-07-23 09:15:40	40050	1532308540382	61
39	12	49351	10	60319	2018-07-23 09:15:43	40039	1532308543721	62
38	12	50380	10	63675	2018-07-23 09:15:44	40038	1532308544699	63
24	12	51400	10	62899	2018-07-23 09:15:45	40024	1532308545115	64
40	12	51423	10	64740	2018-07-23 09:15:45	40040	1532308545584	65
75	12	51416	11	57990	2018-07-23 09:15:46	40075	1532308546260	66
72	12	51405	10	62300	2018-07-23 09:15:46	40072	1532308546330	67
26	12	52422	10	64291	2018-07-23 09:15:46	40026	1532308546657	68
32	12	55524	11	3109	2018-07-23 09:15:49	40032	1532308549698	69
3	12	58568	10	16695	2018-07-23 09:15:50	40003	1532308550873	70
43	12	60604	11	6368	2018-07-23 09:15:55	40043	1532308555356	71
41	12	61668	11	8653	2018-07-23 09:15:56	40041	1532308556418	72
66	12	64705	11	12178	2018-07-23 09:15:59	40066	1532308559277	73
13	13	2251	11	18498	2018-07-23 09:16:00	40013	1532308560139	74
11	13	2237	10	21788	2018-07-23 09:16:00	40011	1532308560279	75
77	13	1236	11	12340	2018-07-23 09:16:01	40077	1532308561323	76
53	13	2257	11	15601	2018-07-23 09:16:02	40053	1532308562416	77
80	13	3288	10	19313	2018-07-23 09:16:03	40080	1532308563262	78
17	13	5335	10	21642	2018-07-23 09:16:03	40017	1532308563320	79
78	13	3297	11	14073	2018-07-23 09:16:03	40078	1532308563354	80
8	13	7376	10	26702	2018-07-23 09:16:05	40008	1532308565331	81
10	13	10449	10	33119	2018-07-23 09:16:08	40010	1532308568199	82
21	13	12494	10	30605	2018-07-23 09:16:10	40021	1532308570007	83
4	13	12488	10	33293	2018-07-23 09:16:10	40004	1532308570151	84
12	13	12496	10	32949	2018-07-23 09:16:10	40012	1532308570279	85
20	13	13525	10	29472	2018-07-23 09:16:11	40020	1532308571631	86
56	13	11466	11	24406	2018-07-23 09:16:12	40056	1532308572040	87
33	13	12497	11	26513	2018-07-23 09:16:13	40033	1532308573058	88
37	13	14522	11	31634	2018-07-23 09:16:13	40037	1532308573677	89
69	13	15566	11	28841	2018-07-23 09:16:15	40069	1532308575229	90
16	13	21680	10	37845	2018-07-23 09:16:19	40016	1532308579267	91
63	13	23739	10	45142	2018-07-23 09:16:23	40063	1532308583133	92
71	13	23767	11	39209	2018-07-23 09:16:23	40071	1532308583227	93
48	13	24803	10	41983	2018-07-23 09:16:23	40048	1532308583924	94
9	13	27830	10	44950	2018-07-23 09:16:25	40009	1532308585071	95
