nodeid	seq_no	tail_time_h	tail_time_l	insert_time	motelabMoteID	milli_time	motelabSeqNo
47	1000	10	57868	2018-07-23 09:13:44	40047	1532308424839	1
64	1000	10	58098	2018-07-23 09:13:44	40064	1532308424923	2
44	1000	10	58278	2018-07-23 09:13:45	40044	1532308425048	3
10	1000	10	60470	2018-07-23 09:13:45	40010	1532308425206	4
70	1000	10	58229	2018-07-23 09:13:45	40070	1532308425482	5
11	1000	10	60510	2018-07-23 09:13:45	40011	1532308425515	6
63	1000	10	58191	2018-07-23 09:13:45	40063	1532308425549	7
80	1000	10	58581	2018-07-23 09:13:45	40080	1532308425582	8
17	1000	10	60747	2018-07-23 09:13:45	40017	1532308425649	9
52	1000	10	57842	2018-07-23 09:13:45	40052	1532308425766	10
12	1000	10	60623	2018-07-23 09:13:45	40012	1532308425799	11
50	1000	10	58354	2018-07-23 09:13:45	40050	1532308425966	12
20	1000	10	60918	2018-07-23 09:13:45	40020	1532308425999	13
4	1000	10	60604	2018-07-23 09:13:46	40004	1532308426066	14
8	1000	10	60788	2018-07-23 09:13:46	40008	1532308426105	15
16	1000	10	60701	2018-07-23 09:13:46	40016	1532308426133	16
48	1000	10	58730	2018-07-23 09:13:46	40048	1532308426166	17
3	1000	10	61187	2018-07-23 09:13:46	40003	1532308426200	18
21	1000	10	61179	2018-07-23 09:13:46	40021	1532308426233	19
9	1000	10	61087	2018-07-23 09:13:46	40009	1532308426300	20
67	1000	10	59361	2018-07-23 09:13:46	40067	1532308426517	21
80	0	11	60185	2018-07-23 09:14:50	40080	1532308490936	22
16	0	11	62259	2018-07-23 09:14:51	40016	1532308491036	23
10	0	11	62467	2018-07-23 09:14:51	40010	1532308491236	24
12	0	11	62358	2018-07-23 09:14:51	40012	1532308491270	25
17	0	11	62444	2018-07-23 09:14:51	40017	1532308491337	26
13	0	11	62616	2018-07-23 09:14:51	40013	1532308491712	27
4	0	11	62471	2018-07-23 09:14:51	40004	1532308491812	28
20	0	11	62502	2018-07-23 09:14:51	40020	1532308491946	29
56	0	11	60637	2018-07-23 09:14:52	40056	1532308492046	30
71	0	11	60907	2018-07-23 09:14:52	40071	1532308492180	31
70	0	11	60706	2018-07-23 09:14:52	40070	1532308492213	32
63	0	11	60883	2018-07-23 09:14:52	40063	1532308492280	33
41	0	11	60846	2018-07-23 09:14:52	40041	1532308492380	34
9	0	11	62982	2018-07-23 09:14:52	40009	1532308492414	35
48	0	11	61827	2018-07-23 09:14:52	40048	1532308492447	36
39	0	11	61420	2018-07-23 09:14:52	40039	1532308492480	37
26	0	11	61221	2018-07-23 09:14:52	40026	1532308492514	38
69	0	11	60782	2018-07-23 09:14:52	40069	1532308492581	39
72	0	11	60802	2018-07-23 09:14:52	40072	1532308492647	40
33	0	11	61563	2018-07-23 09:14:52	40033	1532308492739	41
75	0	11	61404	2018-07-23 09:14:52	40075	1532308492774	42
37	0	11	61335	2018-07-23 09:14:52	40037	1532308492840	43
78	0	11	60791	2018-07-23 09:14:52	40078	1532308492899	44
77	0	11	61722	2018-07-23 09:14:52	40077	1532308492932	45
47	0	11	61208	2018-07-23 09:14:52	40047	1532308492966	46
24	0	11	62294	2018-07-23 09:14:53	40024	1532308493066	47
11	0	11	62363	2018-07-23 09:14:53	40011	1532308493099	48
32	0	11	61859	2018-07-23 09:14:53	40032	1532308493132	49
8	0	11	62476	2018-07-23 09:14:53	40008	1532308493166	50
38	0	11	61802	2018-07-23 09:14:53	40038	1532308493199	51
21	0	11	62640	2018-07-23 09:14:53	40021	1532308493233	52
64	0	11	60586	2018-07-23 09:14:53	40064	1532308493266	53
50	0	11	60592	2018-07-23 09:14:53	40050	1532308493299	54
40	0	11	61921	2018-07-23 09:14:53	40040	1532308493333	55
44	0	11	61913	2018-07-23 09:14:53	40044	1532308493366	56
52	0	11	60798	2018-07-23 09:14:53	40052	1532308493400	57
43	0	11	61147	2018-07-23 09:14:53	40043	1532308493466	58
67	0	11	60647	2018-07-23 09:14:53	40067	1532308493500	59
11	1	12	17196	2018-07-23 09:15:10	40011	1532308510943	60
17	1	12	17383	2018-07-23 09:15:11	40017	1532308511227	61
12	1	12	17383	2018-07-23 09:15:11	40012	1532308511260	62
10	1	12	17500	2018-07-23 09:15:11	40010	1532308511360	63
9	1	12	17912	2018-07-23 09:15:11	40009	1532308511728	64
8	1	12	17450	2018-07-23 09:15:11	40008	1532308511811	65
21	1	12	17704	2018-07-23 09:15:11	40021	1532308511911	66
50	1	12	16047	2018-07-23 09:15:12	40050	1532308512036	67
71	1	12	15793	2018-07-23 09:15:12	40071	1532308512103	68
75	1	12	16190	2018-07-23 09:15:12	40075	1532308512270	69
56	1	12	16000	2018-07-23 09:15:12	40056	1532308512303	70
37	1	12	16430	2018-07-23 09:15:12	40037	1532308512337	71
41	1	12	16313	2018-07-23 09:15:12	40041	1532308512370	72
16	1	12	17743	2018-07-23 09:15:12	40016	1532308512437	73
13	1	12	17673	2018-07-23 09:15:12	40013	1532308512470	74
26	1	12	16764	2018-07-23 09:15:12	40026	1532308512537	75
43	1	12	15899	2018-07-23 09:15:12	40043	1532308512654	76
70	1	12	15401	2018-07-23 09:15:12	40070	1532308512721	77
78	1	12	15796	2018-07-23 09:15:12	40078	1532308512922	78
64	1	12	15600	2018-07-23 09:15:13	40064	1532308513156	79
4	1	12	17559	2018-07-23 09:15:13	40004	1532308513189	80
80	1	12	15640	2018-07-23 09:15:13	40080	1532308513240	81
39	1	12	17445	2018-07-23 09:15:13	40039	1532308513307	82
20	1	12	17927	2018-07-23 09:15:13	40020	1532308513340	83
63	1	12	15937	2018-07-23 09:15:13	40063	1532308513440	84
24	1	12	17761	2018-07-23 09:15:13	40024	1532308513541	85
52	1	12	16142	2018-07-23 09:15:13	40052	1532308513574	86
66	1	12	16105	2018-07-23 09:15:13	40066	1532308513607	87
33	1	12	16616	2018-07-23 09:15:13	40033	1532308513674	88
67	1	12	16104	2018-07-23 09:15:13	40067	1532308513708	89
69	1	12	15628	2018-07-23 09:15:13	40069	1532308513741	90
38	1	12	16882	2018-07-23 09:15:13	40038	1532308513808	91
77	1	12	16116	2018-07-23 09:15:13	40077	1532308513841	92
44	1	12	16858	2018-07-23 09:15:13	40044	1532308513875	93
53	1	12	16283	2018-07-23 09:15:13	40053	1532308513975	94
47	1	12	16531	2018-07-23 09:15:14	40047	1532308514008	95
32	1	12	17239	2018-07-23 09:15:14	40032	1532308514083	96
40	1	12	16848	2018-07-23 09:15:14	40040	1532308514125	97
72	1	12	15740	2018-07-23 09:15:14	40072	1532308514208	98
48	1	12	16625	2018-07-23 09:15:14	40048	1532308514250	99
80	2	12	35610	2018-07-23 09:15:30	40080	1532308530944	100
20	2	12	37842	2018-07-23 09:15:31	40020	1532308531101	101
16	2	12	37739	2018-07-23 09:15:31	40016	1532308531134	102
12	2	12	37854	2018-07-23 09:15:31	40012	1532308531435	103
21	2	12	38021	2018-07-23 09:15:31	40021	1532308531468	104
70	2	12	35984	2018-07-23 09:15:31	40070	1532308531768	105
