seq_no	time_flood_h	time_flood_l	insert_time	motelabMoteID	milli_time	motelabSeqNo
0	11	62666	2018-07-23 08:36:30	40003	1532306190803	1
1	12	17610	2018-07-23 08:36:50	40003	1532306210805	2
2	12	38090	2018-07-23 08:37:10	40003	1532306230804	3
3	12	58570	2018-07-23 08:37:30	40003	1532306250804	4
4	13	13514	2018-07-23 08:37:50	40003	1532306270804	5
5	13	33994	2018-07-23 08:38:10	40003	1532306290800	6
6	13	54474	2018-07-23 08:38:30	40003	1532306310800	7
7	14	9418	2018-07-23 08:38:50	40003	1532306330800	8
8	14	29898	2018-07-23 08:39:10	40003	1532306350801	9
9	14	50378	2018-07-23 08:39:30	40003	1532306370801	10
10	15	5322	2018-07-23 08:39:50	40003	1532306390801	11
11	15	25802	2018-07-23 08:40:10	40003	1532306410801	12
12	15	46282	2018-07-23 08:40:30	40003	1532306430797	13
13	16	1226	2018-07-23 08:40:50	40003	1532306450797	14
14	16	21715	2018-07-23 08:41:10	40003	1532306470808	15
15	16	42202	2018-07-23 08:41:30	40003	1532306490854	16
16	16	62682	2018-07-23 08:41:50	40003	1532306510814	17
17	17	17633	2018-07-23 08:42:10	40003	1532306530818	18
18	17	38113	2018-07-23 08:42:30	40003	1532306550841	19
19	17	58593	2018-07-23 08:42:50	40003	1532306570818	20
20	18	13537	2018-07-23 08:43:10	40003	1532306590819	21
21	18	34017	2018-07-23 08:43:30	40003	1532306610858	22
22	18	54497	2018-07-23 08:43:50	40003	1532306630819	23
23	19	9441	2018-07-23 08:44:10	40003	1532306650815	24
24	19	29921	2018-07-23 08:44:30	40003	1532306670859	25
25	19	50401	2018-07-23 08:44:50	40003	1532306690815	26
26	20	5347	2018-07-23 08:45:10	40003	1532306710820	27
27	20	25827	2018-07-23 08:45:30	40003	1532306730823	28
28	20	46307	2018-07-23 08:45:50	40003	1532306750816	29
29	21	1251	2018-07-23 08:46:10	40003	1532306770816	30
30	21	21731	2018-07-23 08:46:30	40003	1532306790848	31
31	21	42211	2018-07-23 08:46:50	40003	1532306810816	32
32	21	62691	2018-07-23 08:47:10	40003	1532306830817	33
33	22	17635	2018-07-23 08:47:30	40003	1532306850858	34
34	22	38115	2018-07-23 08:47:50	40003	1532306870813	35
35	22	58595	2018-07-23 08:48:10	40003	1532306890813	36
36	23	13539	2018-07-23 08:48:31	40003	1532306911042	37
37	23	34019	2018-07-23 08:48:50	40003	1532306930813	38
38	23	54499	2018-07-23 08:49:10	40003	1532306950814	39
39	24	9447	2018-07-23 08:49:30	40003	1532306970870	40
40	24	29930	2018-07-23 08:49:50	40003	1532306990818	41
41	24	50410	2018-07-23 08:50:10	40003	1532307010818	42
42	25	5354	2018-07-23 08:50:30	40003	1532307030820	43
43	25	25834	2018-07-23 08:50:50	40003	1532307050818	44
44	25	46314	2018-07-23 08:51:10	40003	1532307070819	45
45	26	1258	2018-07-23 08:51:30	40003	1532307090846	46
