addr	neighbor_num	neighbor0	neighbor1	neighbor2	neighbor3	neighbor4	neighbor5	neighbor6	neighbor7	neighbor8	neighbor9	neighbor10	neighbor11	neighbor12	neighbor13	reced0	reced1	reced2	reced3	reced4	reced5	reced6	reced7	reced8	reced9	reced10	reced11	reced12	reced13	insert_time	motelabMoteID	milli_time	motelabSeqNo
3	10	4	8	10	11	12	13	16	17	21	80	0	0	0	0	10	6	8	8	10	8	5	6	8	6	0	0	0	0	2018-07-23 08:26:55	40003	1532305615683	1
17	6	3	4	10	12	21	80	0	0	0	0	0	0	0	0	10	10	10	10	10	10	0	0	0	0	0	0	0	0	2018-07-23 08:26:55	40017	1532305615854	2
11	5	3	4	13	16	20	0	0	0	0	0	0	0	0	0	8	8	8	9	10	0	0	0	0	0	0	0	0	0	2018-07-23 08:26:55	40011	1532305615885	3
4	12	3	10	11	12	13	16	17	20	21	37	70	80	0	0	10	10	8	10	8	9	6	10	10	10	7	7	0	0	2018-07-23 08:26:55	40004	1532305615943	4
21	9	3	4	10	12	13	17	20	37	80	0	0	0	0	0	8	10	3	9	8	6	10	10	2	0	0	0	0	0	2018-07-23 08:26:55	40021	1532305615977	5
8	5	3	9	13	64	67	0	0	0	0	0	0	0	0	0	10	10	10	10	10	0	0	0	0	0	0	0	0	0	2018-07-23 08:26:56	40008	1532305616010	6
12	8	3	4	10	11	17	20	21	80	0	0	0	0	0	0	10	10	10	4	10	10	8	10	0	0	0	0	0	0	2018-07-23 08:26:56	40012	1532305616044	7
10	8	3	4	12	17	20	21	70	80	0	0	0	0	0	0	8	9	10	10	6	3	7	9	0	0	0	0	0	0	2018-07-23 08:26:56	40010	1532305616077	8
20	7	3	4	10	11	12	16	21	0	0	0	0	0	0	0	8	10	9	10	10	10	10	0	0	0	0	0	0	0	2018-07-23 08:26:56	40020	1532305616127	9
9	5	8	13	39	64	67	0	0	0	0	0	0	0	0	0	10	10	9	5	10	0	0	0	0	0	0	0	0	0	2018-07-23 08:26:56	40009	1532305616160	10
13	14	3	4	8	9	10	11	16	21	26	33	37	38	39	67	8	7	6	8	2	7	5	8	7	5	10	7	1	5	2018-07-23 08:26:56	40013	1532305616194	11
