nodeid	clock_time_h	clock_time_l	dc_time_h	dc_time_l	insert_time	motelabMoteID	milli_time	motelabSeqNo
3	10	62692	10	2428	2018-07-23 15:08:31	40003	1532329711819	1
8	11	9429	10	15150	2018-07-23 15:08:44	40008	1532329724435	2
16	11	10460	10	15726	2018-07-23 15:08:45	40016	1532329725083	3
63	11	9403	10	15079	2018-07-23 15:08:45	40063	1532329725367	4
64	11	10445	10	16221	2018-07-23 15:08:47	40064	1532329727598	5
72	11	10447	10	15800	2018-07-23 15:08:47	40072	1532329727666	6
80	11	11480	10	16793	2018-07-23 15:08:47	40080	1532329727954	7
17	11	13527	10	18846	2018-07-23 15:08:48	40017	1532329728031	8
11	11	19645	10	24972	2018-07-23 15:08:54	40011	1532329734051	9
4	11	20680	10	25962	2018-07-23 15:08:54	40004	1532329734879	10
12	11	20691	10	25969	2018-07-23 15:08:55	40012	1532329735399	11
20	11	21715	10	27001	2018-07-23 15:08:55	40020	1532329735915	12
21	11	24772	10	30042	2018-07-23 15:08:58	40021	1532329738703	13
44	11	21702	10	27030	2018-07-23 15:08:58	40044	1532329738847	14
10	11	25809	10	33002	2018-07-23 15:08:59	40010	1532329739795	15
70	11	27865	10	36261	2018-07-23 15:09:04	40070	1532329744596	16
50	11	28857	10	36906	2018-07-23 15:09:05	40050	1532329745756	17
13	11	31948	10	38824	2018-07-23 15:09:06	40013	1532329746083	18
39	11	30918	10	36606	2018-07-23 15:09:06	40039	1532329746429	19
9	11	36021	10	41587	2018-07-23 15:09:10	40009	1532329750351	20
43	11	34008	10	40935	2018-07-23 15:09:10	40043	1532329750862	21
69	11	35028	10	41831	2018-07-23 15:09:11	40069	1532329751588	22
41	11	36042	10	42479	2018-07-23 15:09:12	40041	1532329752186	23
48	11	37067	10	43014	2018-07-23 15:09:13	40048	1532329753785	24
56	11	37058	10	44208	2018-07-23 15:09:13	40056	1532329753850	25
26	11	39127	10	45416	2018-07-23 15:09:14	40026	1532329754402	26
37	11	39114	10	46557	2018-07-23 15:09:14	40037	1532329754449	27
71	11	40155	10	47163	2018-07-23 15:09:16	40071	1532329756036	28
24	11	41151	10	47144	2018-07-23 15:09:16	40024	1532329756394	29
66	11	43236	10	49955	2018-07-23 15:09:18	40066	1532329758503	30
40	11	42222	10	48247	2018-07-23 15:09:18	40040	1532329758898	31
67	11	43216	10	48602	2018-07-23 15:09:19	40067	1532329759594	32
53	11	45291	11	15960	2018-07-23 15:09:21	40053	1532329761902	33
47	11	46283	10	52855	2018-07-23 15:09:22	40047	1532329762764	34
32	11	48340	10	55521	2018-07-23 15:09:23	40032	1532329763374	35
77	11	48340	10	53612	2018-07-23 15:09:24	40077	1532329764039	36
38	11	49355	10	55667	2018-07-23 15:09:24	40038	1532329764473	37
78	11	50400	10	55791	2018-07-23 15:09:25	40078	1532329765942	38
52	11	52450	10	59070	2018-07-23 15:09:28	40052	1532329768791	39
3	11	58596	10	3612	2018-07-23 15:09:31	40003	1532329771876	40
75	11	63673	11	5162	2018-07-23 15:09:39	40075	1532329779576	41
8	12	5333	10	17286	2018-07-23 15:09:44	40008	1532329784435	42
16	12	6364	10	16894	2018-07-23 15:09:45	40016	1532329785083	43
63	12	5307	10	17393	2018-07-23 15:09:45	40063	1532329785356	44
64	12	6349	10	17705	2018-07-23 15:09:47	40064	1532329787593	45
72	12	6351	10	17022	2018-07-23 15:09:47	40072	1532329787657	46
80	12	7384	10	18696	2018-07-23 15:09:47	40080	1532329787939	47
17	12	9431	10	20151	2018-07-23 15:09:48	40017	1532329788027	48
33	12	8369	11	15198	2018-07-23 15:09:48	40033	1532329788483	49
11	12	15549	10	26147	2018-07-23 15:09:54	40011	1532329794160	50
4	12	16584	10	28356	2018-07-23 15:09:55	40004	1532329795112	51
12	12	16595	10	27264	2018-07-23 15:09:55	40012	1532329795399	52
20	12	17619	10	28186	2018-07-23 15:09:55	40020	1532329795915	53
21	12	20676	10	31276	2018-07-23 15:09:58	40021	1532329798703	54
44	12	17606	10	28277	2018-07-23 15:09:58	40044	1532329798855	55
10	12	21713	10	35872	2018-07-23 15:09:59	40010	1532329799791	56
70	12	23769	10	43071	2018-07-23 15:10:04	40070	1532329804587	57
50	12	24761	10	42891	2018-07-23 15:10:05	40050	1532329805757	58
13	12	27852	10	42958	2018-07-23 15:10:06	40013	1532329806083	59
39	12	26826	10	38029	2018-07-23 15:10:06	40039	1532329806430	60
9	12	31925	10	42868	2018-07-23 15:10:10	40009	1532329810347	61
43	12	29911	10	45337	2018-07-23 15:10:10	40043	1532329810862	62
69	12	30932	10	46359	2018-07-23 15:10:11	40069	1532329811572	63
41	12	31946	10	46278	2018-07-23 15:10:12	40041	1532329812237	64
56	12	32962	10	47040	2018-07-23 15:10:13	40056	1532329813875	65
48	12	32971	10	44851	2018-07-23 15:10:14	40048	1532329814492	66
