nodeid	seq_no	src_id	rec_time_h	rec_time_l	hop_delay_h	hop_delay_l	parent_ETD	local_ETD	delta_ETD	long_link_sender	MPD	shortcut_sender	tree_sender	insert_time	motelabMoteID	milli_time	motelabSeqNo
37	0	3	11	57012	11	58624	0	14	14	1	21	1	1	2018-07-23 15:57:15	40037	1532332635783	1
26	0	37	11	56380	11	57076	14	20	6	0	64	1	0	2018-07-23 15:57:15	40026	1532332635816	2
16	0	3	11	58204	11	58651	0	5	5	0	48	0	0	2018-07-23 15:57:15	40016	1532332635849	3
38	0	37	11	57129	11	57187	14	19	5	0	175	0	1	2018-07-23 15:57:15	40038	1532332635916	4
33	0	37	11	56395	11	57153	14	16	2	0	141	0	0	2018-07-23 15:57:15	40033	1532332635950	5
20	0	3	11	58388	11	58804	0	5	5	0	201	0	0	2018-07-23 15:57:16	40020	1532332636016	6
21	0	37	11	58305	11	57112	14	5	65535	0	100	1	0	2018-07-23 15:57:16	40021	1532332636050	7
4	0	3	11	58283	11	58986	0	5	5	0	383	0	1	2018-07-23 15:57:16	40004	1532332636117	8
39	0	37	11	57278	11	57236	14	21	7	0	224	0	0	2018-07-23 15:57:16	40039	1532332636150	9
80	0	3	11	56433	11	59058	0	5	5	0	455	0	1	2018-07-23 15:57:16	40080	1532332636183	10
17	0	3	11	58246	11	58818	0	5	5	0	215	0	0	2018-07-23 15:57:16	40017	1532332636217	11
56	0	37	11	55982	11	57082	14	20	6	0	70	0	0	2018-07-23 15:57:16	40056	1532332636250	12
10	0	80	11	59094	11	56577	5	7	2	0	144	1	0	2018-07-23 15:57:16	40010	1532332636317	13
50	0	38	11	56737	11	57475	19	20	1	0	346	0	0	2018-07-23 15:57:16	40050	1532332636384	14
13	0	3	11	58936	11	59114	0	10	10	0	511	0	1	2018-07-23 15:57:16	40013	1532332636430	15
72	0	80	11	56779	11	56539	5	15	10	0	106	1	0	2018-07-23 15:57:16	40072	1532332636493	16
44	0	38	11	56303	11	57516	19	24	5	0	387	0	0	2018-07-23 15:57:16	40044	1532332636526	17
11	0	3	11	58401	11	58928	0	5	5	0	325	0	0	2018-07-23 15:57:16	40011	1532332636609	18
40	0	38	11	56634	11	57758	19	22	3	0	629	0	0	2018-07-23 15:57:16	40040	1532332636676	19
70	0	80	11	56810	11	56843	5	10	5	0	410	0	1	2018-07-23 15:57:16	40070	1532332636710	20
63	0	64	11	57156	11	57108	11	15	4	0	14	1	1	2018-07-23 15:57:16	40063	1532332636759	21
71	0	69	11	56996	11	57236	19	19	65535	0	194	0	0	2018-07-23 15:57:16	40071	1532332636793	22
12	0	3	11	58348	11	58937	0	5	5	0	334	0	0	2018-07-23 15:57:16	40012	1532332636859	23
69	0	70	11	57042	11	56828	10	19	9	0	18	1	1	2018-07-23 15:57:16	40069	1532332636893	24
41	0	52	11	57041	11	57058	31	22	65535	0	108	0	0	2018-07-23 15:57:16	40041	1532332636960	25
43	0	52	11	57787	11	57192	31	24	65535	0	242	1	1	2018-07-23 15:57:17	40043	1532332637093	26
75	0	69	11	56863	11	57042	19	24	5	0	65535	0	0	2018-07-23 15:57:17	40075	1532332637194	27
53	0	43	11	57624	11	57830	24	31	7	0	43	1	0	2018-07-23 15:57:17	40053	1532332637227	28
66	0	63	11	57298	11	57340	15	17	2	0	184	0	0	2018-07-23 15:57:17	40066	1532332637260	29
77	0	52	11	57334	11	57146	31	29	65535	0	196	0	0	2018-07-23 15:57:17	40077	1532332637293	30
78	0	70	11	57215	11	57176	10	12	2	0	366	0	0	2018-07-23 15:57:17	40078	1532332637335	31
67	0	8	11	57842	11	59928	5	10	5	0	319	0	0	2018-07-23 15:57:17	40067	1532332637460	32
9	0	64	11	59004	11	57116	11	10	65535	0	22	1	0	2018-07-23 15:57:17	40009	1532332637627	33
8	0	64	11	59609	11	57512	11	5	65535	0	418	0	1	2018-07-23 15:57:17	40008	1532332637879	34
48	0	52	11	57087	11	57096	31	31	65535	0	146	0	0	2018-07-23 15:57:17	40048	1532332637979	35
64	0	70	11	57093	11	56900	10	11	1	0	90	1	1	2018-07-23 15:57:18	40064	1532332638104	36
47	0	52	11	57303	11	57350	31	31	65535	0	400	0	0	2018-07-23 15:57:18	40047	1532332638204	37
52	0	63	11	56950	11	57311	15	31	16	1	155	1	0	2018-07-23 15:57:18	40052	1532332638304	38
20	1	3	12	13314	12	13730	0	5	5	0	184	0	0	2018-07-23 15:57:35	40020	1532332655888	39
13	1	3	12	13624	12	13802	0	10	10	0	256	0	1	2018-07-23 15:57:35	40013	1532332655980	40
11	1	13	12	13334	12	13676	10	5	65535	0	52	1	0	2018-07-23 15:57:36	40011	1532332656014	41
56	1	37	12	11171	12	12271	14	20	6	0	111	1	0	2018-07-23 15:57:36	40056	1532332656047	42
4	1	13	12	13221	12	13739	10	5	65535	0	115	1	1	2018-07-23 15:57:36	40004	1532332656081	43
33	1	38	12	11587	12	12280	19	16	65535	0	108	0	0	2018-07-23 15:57:36	40033	1532332656147	44
10	1	3	12	13900	12	14015	0	7	7	0	469	0	0	2018-07-23 15:57:36	40010	1532332656181	45
8	1	13	12	13490	12	13694	10	5	65535	0	70	1	1	2018-07-23 15:57:36	40008	1532332656214	46
24	1	37	12	12395	12	12456	14	25	11	1	296	0	0	2018-07-23 15:57:36	40024	1532332656247	47
17	1	3	12	13171	12	13743	0	5	5	0	197	0	0	2018-07-23 15:57:36	40017	1532332656281	48
