nodeid	seq_no	tail_time_h	tail_time_l	insert_time	motelabMoteID	milli_time	motelabSeqNo
16	0	11	58188	2018-07-23 15:57:15	40016	1532332635883	1
26	0	11	56363	2018-07-23 15:57:15	40026	1532332635983	2
33	0	11	56309	2018-07-23 15:57:16	40033	1532332636083	3
21	0	11	58296	2018-07-23 15:57:16	40021	1532332636283	4
39	0	11	57234	2018-07-23 15:57:16	40039	1532332636350	5
20	0	11	58373	2018-07-23 15:57:16	40020	1532332636459	6
72	0	11	56707	2018-07-23 15:57:16	40072	1532332636576	7
4	0	11	58273	2018-07-23 15:57:16	40004	1532332636642	8
40	0	11	56618	2018-07-23 15:57:16	40040	1532332636826	9
56	0	11	55973	2018-07-23 15:57:16	40056	1532332636926	10
37	0	11	56998	2018-07-23 15:57:16	40037	1532332636993	11
44	0	11	56180	2018-07-23 15:57:17	40044	1532332637026	12
12	0	11	58338	2018-07-23 15:57:17	40012	1532332637060	13
41	0	11	57027	2018-07-23 15:57:17	40041	1532332637126	14
17	0	11	58231	2018-07-23 15:57:17	40017	1532332637163	15
11	0	11	58391	2018-07-23 15:57:17	40011	1532332637377	16
75	0	11	56849	2018-07-23 15:57:17	40075	1532332637419	17
63	0	11	57143	2018-07-23 15:57:17	40063	1532332637502	18
50	0	11	56704	2018-07-23 15:57:17	40050	1532332637544	19
78	0	11	57202	2018-07-23 15:57:17	40078	1532332637585	20
10	0	11	58945	2018-07-23 15:57:17	40010	1532332637669	21
53	0	11	57586	2018-07-23 15:57:17	40053	1532332637711	22
13	0	11	58870	2018-07-23 15:57:17	40013	1532332637753	23
80	0	11	56420	2018-07-23 15:57:17	40080	1532332637794	24
38	0	11	57112	2018-07-23 15:57:17	40038	1532332637844	25
9	0	11	58993	2018-07-23 15:57:17	40009	1532332637912	26
69	0	11	57031	2018-07-23 15:57:17	40069	1532332637946	27
48	0	11	57078	2018-07-23 15:57:18	40048	1532332638037	28
70	0	11	56771	2018-07-23 15:57:18	40070	1532332638071	29
77	0	11	57322	2018-07-23 15:57:18	40077	1532332638137	30
64	0	11	57054	2018-07-23 15:57:18	40064	1532332638171	31
71	0	11	56986	2018-07-23 15:57:18	40071	1532332638238	32
8	0	11	59598	2018-07-23 15:57:18	40008	1532332638271	33
67	0	11	57791	2018-07-23 15:57:18	40067	1532332638338	34
52	0	11	56924	2018-07-23 15:57:18	40052	1532332638371	35
66	0	11	57288	2018-07-23 15:57:18	40066	1532332638538	36
47	0	11	57293	2018-07-23 15:57:18	40047	1532332638646	37
43	0	11	57777	2018-07-23 15:57:18	40043	1532332638727	38
20	1	12	13298	2018-07-23 15:57:35	40020	1532332655947	39
56	1	12	11157	2018-07-23 15:57:36	40056	1532332656114	40
10	1	12	13885	2018-07-23 15:57:36	40010	1532332656314	41
24	1	12	12378	2018-07-23 15:57:36	40024	1532332656414	42
26	1	12	11971	2018-07-23 15:57:36	40026	1532332656548	43
44	1	12	11255	2018-07-23 15:57:36	40044	1532332656782	44
4	1	12	13208	2018-07-23 15:57:36	40004	1532332656849	45
12	1	12	13243	2018-07-23 15:57:36	40012	1532332656899	46
16	1	12	13757	2018-07-23 15:57:37	40016	1532332657066	47
67	1	12	12252	2018-07-23 15:57:37	40067	1532332657157	48
8	1	12	13479	2018-07-23 15:57:37	40008	1532332657224	49
71	1	12	11750	2018-07-23 15:57:37	40071	1532332657257	50
52	1	12	11762	2018-07-23 15:57:37	40052	1532332657291	51
48	1	12	11991	2018-07-23 15:57:37	40048	1532332657358	52
41	1	12	11821	2018-07-23 15:57:37	40041	1532332657424	53
47	1	12	11771	2018-07-23 15:57:37	40047	1532332657491	54
63	1	12	11733	2018-07-23 15:57:37	40063	1532332657525	55
40	1	12	11535	2018-07-23 15:57:37	40040	1532332657625	56
21	1	12	13727	2018-07-23 15:57:37	40021	1532332657658	57
70	1	12	11336	2018-07-23 15:57:37	40070	1532332657692	58
9	1	12	13415	2018-07-23 15:57:37	40009	1532332657758	59
43	1	12	12767	2018-07-23 15:57:37	40043	1532332657825	60
37	1	12	12137	2018-07-23 15:57:37	40037	1532332657892	61
66	1	12	11731	2018-07-23 15:57:37	40066	1532332657925	62
72	1	12	11798	2018-07-23 15:57:37	40072	1532332657959	63
64	1	12	11790	2018-07-23 15:57:38	40064	1532332658025	64
50	1	12	11485	2018-07-23 15:57:38	40050	1532332658059	65
39	1	12	12188	2018-07-23 15:57:38	40039	1532332658092	66
17	1	12	13150	2018-07-23 15:57:38	40017	1532332658192	67
53	1	12	12963	2018-07-23 15:57:38	40053	1532332658234	68
33	1	12	11529	2018-07-23 15:57:38	40033	1532332658276	69
38	1	12	12159	2018-07-23 15:57:38	40038	1532332658317	70
13	1	12	13615	2018-07-23 15:57:38	40013	1532332658361	71
11	1	12	13291	2018-07-23 15:57:38	40011	1532332658418	72
80	1	12	11869	2018-07-23 15:57:38	40080	1532332658459	73
77	1	12	12788	2018-07-23 15:57:38	40077	1532332658543	74
17	2	12	33601	2018-07-23 15:57:55	40017	1532332675895	75
20	2	12	33806	2018-07-23 15:57:55	40020	1532332675978	76
33	2	12	32095	2018-07-23 15:57:56	40033	1532332676337	77
13	2	12	33981	2018-07-23 15:57:56	40013	1532332676537	78
11	2	12	33804	2018-07-23 15:57:56	40011	1532332676571	79
37	2	12	32689	2018-07-23 15:57:56	40037	1532332676638	80
9	2	12	33885	2018-07-23 15:57:56	40009	1532332676671	81
12	2	12	33697	2018-07-23 15:57:56	40012	1532332676738	82
38	2	12	32738	2018-07-23 15:57:56	40038	1532332676771	83
4	2	12	33676	2018-07-23 15:57:56	40004	1532332676905	84
8	2	12	33946	2018-07-23 15:57:57	40008	1532332677038	85
41	2	12	32078	2018-07-23 15:57:57	40041	1532332677072	86
39	2	12	32779	2018-07-23 15:57:57	40039	1532332677105	87
71	2	12	32761	2018-07-23 15:57:57	40071	1532332677205	88
16	2	12	34254	2018-07-23 15:57:57	40016	1532332677322	89
10	2	12	34213	2018-07-23 15:57:57	40010	1532332677389	90
26	2	12	32205	2018-07-23 15:57:57	40026	1532332677422	91
67	2	12	32182	2018-07-23 15:57:57	40067	1532332677514	92
64	2	12	32610	2018-07-23 15:57:57	40064	1532332677648	93
75	2	12	33190	2018-07-23 15:57:57	40075	1532332677681	94
80	2	12	31833	2018-07-23 15:57:57	40080	1532332677781	95
52	2	12	32656	2018-07-23 15:57:57	40052	1532332677815	96
63	2	12	32708	2018-07-23 15:57:57	40063	1532332677848	97
72	2	12	32964	2018-07-23 15:57:57	40072	1532332677915	98
53	2	12	33495	2018-07-23 15:57:57	40053	1532332677948	99
50	2	12	32293	2018-07-23 15:57:57	40050	1532332677981	100
69	2	12	32929	2018-07-23 15:57:58	40069	1532332678015	101
44	2	12	32748	2018-07-23 15:57:58	40044	1532332678048	102
48	2	12	32988	2018-07-23 15:57:58	40048	1532332678082	103
43	2	12	33315	2018-07-23 15:57:58	40043	1532332678115	104
24	2	12	33013	2018-07-23 15:57:58	40024	1532332678148	105
77	2	12	32898	2018-07-23 15:57:58	40077	1532332678182	106
40	2	12	32005	2018-07-23 15:57:58	40040	1532332678249	107
66	2	12	32758	2018-07-23 15:57:58	40066	1532332678349	108
70	2	12	32209	2018-07-23 15:57:58	40070	1532332678382	109
21	2	12	33758	2018-07-23 15:57:58	40021	1532332678416	110
56	2	12	32069	2018-07-23 15:57:58	40056	1532332678449	111
10	3	12	54524	2018-07-23 15:58:15	40010	1532332695958	112
17	3	12	54048	2018-07-23 15:58:16	40017	1532332696033	113
12	3	12	54165	2018-07-23 15:58:16	40012	1532332696100	114
9	3	12	54324	2018-07-23 15:58:16	40009	1532332696200	115
16	3	12	54199	2018-07-23 15:58:16	40016	1532332696267	116
11	3	12	54248	2018-07-23 15:58:16	40011	1532332696609	117
80	3	12	52325	2018-07-23 15:58:16	40080	1532332696709	118
64	3	12	52422	2018-07-23 15:58:16	40064	1532332696909	119
13	3	12	54657	2018-07-23 15:58:16	40013	1532332696976	120
26	3	12	52640	2018-07-23 15:58:17	40026	1532332697009	121
4	3	12	54138	2018-07-23 15:58:17	40004	1532332697043	122
77	3	12	52856	2018-07-23 15:58:17	40077	1532332697178	123
63	3	12	52568	2018-07-23 15:58:17	40063	1532332697211	124
33	3	12	52644	2018-07-23 15:58:17	40033	1532332697244	125
