id	ebw	path_ebw	elder_id	delay	children_num	is_sender	insert_time	motelabMoteID	milli_time	motelabSeqNo
3	11	0	3	11	9	1	2018-07-23 17:01:22	40003	1532336482248	1
8	25	11	3	10	3	1	2018-07-23 17:01:34	40008	1532336494372	2
16	125	11	3	12	0	0	2018-07-23 17:01:35	40016	1532336495300	3
63	25	83	64	12	5	1	2018-07-23 17:01:37	40063	1532336497013	4
72	100	61	80	10	1	1	2018-07-23 17:01:38	40072	1532336498014	5
64	47	36	8	14	2	1	2018-07-23 17:01:38	40064	1532336498089	6
17	1000	11	3	10	0	0	2018-07-23 17:01:38	40017	1532336498432	7
66	125	83	64	12	0	0	2018-07-23 17:01:39	40066	1532336499036	8
80	50	11	3	10	2	1	2018-07-23 17:01:39	40080	1532336499111	9
10	125	11	3	12	0	0	2018-07-23 17:01:43	40010	1532336503228	10
70	47	61	80	14	1	1	2018-07-23 17:01:44	40070	1532336504078	11
11	100	11	3	10	0	0	2018-07-23 17:01:44	40011	1532336504253	12
12	125	11	3	12	0	0	2018-07-23 17:01:45	40012	1532336505260	13
4	33	11	3	10	2	1	2018-07-23 17:01:45	40004	1532336505336	14
20	1000	11	3	10	0	0	2018-07-23 17:01:46	40020	1532336506341	15
44	50	122	38	10	0	0	2018-07-23 17:01:48	40044	1532336508942	16
21	55	11	3	11	0	0	2018-07-23 17:01:49	40021	1532336509388	17
50	33	108	63	10	0	0	2018-07-23 17:01:53	40050	1532336513905	18
40	35	108	63	14	0	0	2018-07-23 17:01:58	40040	1532336518566	19
56	1000	75	37	0	0	0	2018-07-23 17:01:59	40056	1532336519944	20
43	28	108	63	14	2	1	2018-07-23 17:02:00	40043	1532336520229	21
47	1000	136	41	10	0	0	2018-07-23 17:02:00	40047	1532336520898	22
53	1000	136	43	14	0	0	2018-07-23 17:02:04	40053	1532336524841	23
52	28	108	63	14	2	1	2018-07-23 17:02:04	40052	1532336524937	24
26	1000	75	37	10	0	0	2018-07-23 17:02:05	40026	1532336525196	25
48	1000	136	41	10	0	0	2018-07-23 17:02:06	40048	1532336526747	26
67	1000	36	8	0	0	0	2018-07-23 17:02:10	40067	1532336530044	27
9	50	36	8	10	0	0	2018-07-23 17:02:11	40009	1532336531244	28
13	100	44	4	10	0	0	2018-07-23 17:02:13	40013	1532336533106	29
41	28	108	63	14	2	1	2018-07-23 17:02:14	40041	1532336534724	30
77	1000	136	43	10	0	0	2018-07-23 17:02:15	40077	1532336535028	31
71	55	108	70	11	2	1	2018-07-23 17:02:15	40071	1532336535074	32
38	47	75	37	14	1	1	2018-07-23 17:02:15	40038	1532336535209	33
37	31	44	4	12	4	1	2018-07-23 17:02:16	40037	1532336536173	34
78	1000	161	72	0	0	0	2018-07-23 17:02:17	40078	1532336537060	35
39	1000	75	37	0	0	0	2018-07-23 17:02:19	40039	1532336539173	36
32	1000	136	52	11	0	0	2018-07-23 17:02:28	40032	1532336548108	37
24	1000	136	52	14	0	0	2018-07-23 17:02:29	40024	1532336549204	38
69	1000	163	71	0	0	0	2018-07-23 17:02:35	40069	1532336555214	39
75	1000	163	71	10	0	0	2018-07-23 17:02:37	40075	1532336557066	40
33	1000	136	52	0	0	0	2018-07-23 17:02:59	40033	1532336579202	41
