addr	neighbor_num	neighbor0	neighbor1	neighbor2	neighbor3	neighbor4	neighbor5	neighbor6	neighbor7	neighbor8	neighbor9	neighbor10	neighbor11	neighbor12	neighbor13	reced0	reced1	reced2	reced3	reced4	reced5	reced6	reced7	reced8	reced9	reced10	reced11	reced12	reced13	insert_time	motelabMoteID	milli_time	motelabSeqNo
13	12	3	4	8	9	11	16	21	26	33	37	56	67	0	0	2	8	5	10	7	1	5	10	3	10	1	3	0	0	2018-07-23 16:53:50	40013	1532336030983	1
3	11	4	8	10	11	12	13	16	17	21	37	80	0	0	0	10	10	10	10	10	9	10	10	10	1	10	0	0	0	2018-07-23 16:53:51	40003	1532336031064	2
10	8	3	4	12	17	20	21	70	80	0	0	0	0	0	0	10	7	10	10	1	3	8	10	0	0	0	0	0	0	2018-07-23 16:53:51	40010	1532336031098	3
12	8	3	4	10	17	20	21	70	80	0	0	0	0	0	0	10	10	10	10	8	7	8	10	0	0	0	0	0	0	2018-07-23 16:53:51	40012	1532336031130	4
11	5	3	4	13	16	20	0	0	0	0	0	0	0	0	0	10	10	10	10	10	0	0	0	0	0	0	0	0	0	2018-07-23 16:53:51	40011	1532336031161	5
9	5	8	13	39	64	67	0	0	0	0	0	0	0	0	0	10	10	10	2	8	0	0	0	0	0	0	0	0	0	2018-07-23 16:53:51	40009	1532336031194	6
16	5	3	4	11	13	20	0	0	0	0	0	0	0	0	0	10	10	10	8	10	0	0	0	0	0	0	0	0	0	2018-07-23 16:53:51	40016	1532336031227	7
4	11	3	10	11	12	13	16	20	21	37	70	80	0	0	0	10	10	10	10	10	10	10	10	10	10	10	0	0	0	2018-07-23 16:53:51	40004	1532336031261	8
17	5	3	10	12	21	80	0	0	0	0	0	0	0	0	0	10	10	10	10	10	0	0	0	0	0	0	0	0	0	2018-07-23 16:53:51	40017	1532336031294	9
21	8	3	4	10	12	13	17	20	37	0	0	0	0	0	0	10	10	1	10	10	10	10	9	0	0	0	0	0	0	2018-07-23 16:53:51	40021	1532336031327	10
8	5	3	9	13	64	67	0	0	0	0	0	0	0	0	0	10	10	10	10	10	0	0	0	0	0	0	0	0	0	2018-07-23 16:53:51	40008	1532336031361	11
20	7	3	4	10	11	12	16	21	0	0	0	0	0	0	0	10	10	10	10	10	10	10	0	0	0	0	0	0	0	2018-07-23 16:53:51	40020	1532336031394	12
40	11	38	41	43	44	47	48	50	52	53	63	77	0	0	0	7	10	10	10	10	6	9	10	7	10	10	0	0	0	2018-07-23 16:53:52	40040	1532336032390	13
32	4	24	33	41	52	0	0	0	0	0	0	0	0	0	0	4	9	6	8	0	0	0	0	0	0	0	0	0	0	2018-07-23 16:53:52	40032	1532336032982	14
26	4	13	37	38	39	0	0	0	0	0	0	0	0	0	0	8	10	10	5	0	0	0	0	0	0	0	0	0	0	2018-07-23 16:53:53	40026	1532336033063	15
38	10	13	26	33	37	39	40	41	43	44	50	0	0	0	0	8	10	8	10	10	6	7	1	10	6	0	0	0	0	2018-07-23 16:53:53	40038	1532336033112	16
43	10	40	41	44	47	48	50	52	53	63	77	0	0	0	0	10	10	10	10	10	10	10	7	10	10	0	0	0	0	2018-07-23 16:53:53	40043	1532336033144	17
33	6	13	32	37	38	52	56	0	0	0	0	0	0	0	0	6	7	6	4	7	10	0	0	0	0	0	0	0	0	2018-07-23 16:53:53	40033	1532336033178	18
69	3	70	71	75	0	0	0	0	0	0	0	0	0	0	0	5	10	9	0	0	0	0	0	0	0	0	0	0	0	2018-07-23 16:53:53	40069	1532336033211	19
37	9	3	4	13	21	26	33	38	39	56	0	0	0	0	0	5	8	10	6	8	9	9	6	10	0	0	0	0	0	2018-07-23 16:53:53	40037	1532336033245	20
39	5	9	26	37	38	50	0	0	0	0	0	0	0	0	0	10	10	10	10	4	0	0	0	0	0	0	0	0	0	2018-07-23 16:53:53	40039	1532336033295	21
24	8	32	33	37	38	40	41	52	56	0	0	0	0	0	0	7	7	6	2	2	7	8	7	0	0	0	0	0	0	2018-07-23 16:53:53	40024	1532336033328	22
48	5	40	41	43	47	52	0	0	0	0	0	0	0	0	0	5	10	10	10	10	0	0	0	0	0	0	0	0	0	2018-07-23 16:53:53	40048	1532336033565	23
41	12	32	38	40	43	44	47	48	50	52	56	63	77	0	0	8	3	10	10	10	10	7	10	10	6	7	8	0	0	2018-07-23 16:53:53	40041	1532336033609	24
53	5	40	41	43	50	77	0	0	0	0	0	0	0	0	0	8	5	7	10	7	0	0	0	0	0	0	0	0	0	2018-07-23 16:53:53	40053	1532336033688	25
47	8	40	41	43	44	48	50	52	56	0	0	0	0	0	0	10	10	9	5	10	1	10	5	0	0	0	0	0	0	2018-07-23 16:53:53	40047	1532336033782	26
50	12	38	39	40	41	43	44	47	52	53	63	70	77	0	0	7	5	10	10	10	10	1	10	10	10	1	10	0	0	2018-07-23 16:53:53	40050	1532336033812	27
44	9	38	40	41	43	47	50	52	53	77	0	0	0	0	0	10	10	10	10	10	10	10	3	10	0	0	0	0	0	2018-07-23 16:53:53	40044	1532336033845	28
63	10	40	41	43	50	52	64	66	70	72	77	0	0	0	0	10	4	10	10	10	10	10	10	2	8	0	0	0	0	2018-07-23 16:53:53	40063	1532336033878	29
72	4	63	70	78	80	0	0	0	0	0	0	0	0	0	0	5	10	10	9	0	0	0	0	0	0	0	0	0	0	2018-07-23 16:53:53	40072	1532336033912	30
78	2	70	72	0	0	0	0	0	0	0	0	0	0	0	0	6	10	0	0	0	0	0	0	0	0	0	0	0	0	2018-07-23 16:53:53	40078	1532336033945	31
77	9	40	41	43	44	50	52	53	63	66	0	0	0	0	0	10	9	10	1	10	10	10	6	10	0	0	0	0	0	2018-07-23 16:53:53	40077	1532336033979	32
67	4	8	9	13	64	0	0	0	0	0	0	0	0	0	0	10	1	2	10	0	0	0	0	0	0	0	0	0	0	2018-07-23 16:53:54	40067	1532336034012	33
52	12	32	33	40	41	43	44	47	48	50	56	63	77	0	0	8	8	9	10	10	5	10	7	9	7	7	8	0	0	2018-07-23 16:53:54	40052	1532336034045	34
64	5	8	63	66	67	70	0	0	0	0	0	0	0	0	0	8	10	8	9	7	0	0	0	0	0	0	0	0	0	2018-07-23 16:53:54	40064	1532336034079	35
70	11	4	10	12	63	64	66	69	71	72	78	80	0	0	0	6	8	5	7	7	6	6	10	10	9	10	0	0	0	2018-07-23 16:53:54	40070	1532336034112	36
75	2	69	71	0	0	0	0	0	0	0	0	0	0	0	0	10	10	0	0	0	0	0	0	0	0	0	0	0	0	2018-07-23 16:53:54	40075	1532336034146	37
80	8	3	4	10	12	17	70	72	78	0	0	0	0	0	0	10	9	10	10	10	10	10	2	0	0	0	0	0	0	2018-07-23 16:53:54	40080	1532336034179	38
66	4	63	64	70	77	0	0	0	0	0	0	0	0	0	0	10	10	10	8	0	0	0	0	0	0	0	0	0	0	2018-07-23 16:53:54	40066	1532336034212	39
56	6	13	33	37	40	47	52	0	0	0	0	0	0	0	0	1	6	10	1	1	4	0	0	0	0	0	0	0	0	2018-07-23 16:53:54	40056	1532336034246	40
71	3	69	70	75	0	0	0	0	0	0	0	0	0	0	0	10	7	9	0	0	0	0	0	0	0	0	0	0	0	2018-07-23 16:53:54	40071	1532336034279	41
