seq_no	time_flood_h	time_flood_l	insert_time	motelabMoteID	milli_time	motelabSeqNo
0	11	58597	2018-07-23 21:41:57	40003	1532353317850	1
1	12	13548	2018-07-23 21:42:17	40003	1532353337854	2
2	12	34028	2018-07-23 21:42:37	40003	1532353357854	3
3	12	54508	2018-07-23 21:42:57	40003	1532353377982	4
4	13	9452	2018-07-23 21:43:17	40003	1532353397856	5
5	13	29932	2018-07-23 21:43:37	40003	1532353417851	6
6	13	50412	2018-07-23 21:43:58	40003	1532353438388	7
7	14	5356	2018-07-23 21:44:17	40003	1532353457851	8
8	14	25836	2018-07-23 21:44:37	40003	1532353477852	9
9	14	46316	2018-07-23 21:44:57	40003	1532353497900	10
10	15	1260	2018-07-23 21:45:17	40003	1532353517861	11
11	15	21740	2018-07-23 21:45:37	40003	1532353537852	12
12	15	42220	2018-07-23 21:45:57	40003	1532353557905	13
13	15	62704	2018-07-23 21:46:17	40003	1532353577865	14
14	16	17648	2018-07-23 21:46:37	40003	1532353597854	15
