nodeid	seq_no	src_id	rec_time_h	rec_time_l	hop_delay_h	hop_delay_l	parent_ETD	local_ETD	delta_ETD	long_link_sender	MPD	shortcut_sender	tree_sender	insert_time	motelabMoteID	milli_time	motelabSeqNo
3	35	28	10	11788	13	58344	3	0	65535	0	58332	0	1	2018-07-23 10:21:21	40003	1532312481017	1
10	142	63	10	32903	21	62443	4	5	1	0	62426	0	0	2018-07-23 10:21:42	40010	1532312502161	2
4	0	3	11	52168	11	52490	0	5	5	0	50	1	1	2018-07-23 10:23:04	40004	1532312584808	3
8	0	3	11	52147	11	52567	0	5	5	0	127	1	1	2018-07-23 10:23:04	40008	1532312584850	4
21	0	4	11	52413	11	52276	5	6	1	0	107	0	0	2018-07-23 10:23:04	40021	1532312584892	5
17	0	3	11	52316	11	52687	0	5	5	0	247	0	0	2018-07-23 10:23:04	40017	1532312584975	6
80	0	3	11	50207	11	52707	0	10	10	0	267	0	0	2018-07-23 10:23:05	40080	1532312585017	7
12	0	3	11	52313	11	52765	0	5	5	0	325	0	0	2018-07-23 10:23:05	40012	1532312585058	8
70	0	64	11	50259	11	50931	11	12	1	0	39	1	1	2018-07-23 10:23:05	40070	1532312585100	9
64	0	8	11	50892	11	52306	5	11	6	0	159	0	1	2018-07-23 10:23:05	40064	1532312585142	10
78	0	70	11	50371	11	50372	12	17	5	0	113	1	0	2018-07-23 10:23:05	40078	1532312585184	11
20	0	3	11	52541	11	52855	0	5	5	0	415	0	0	2018-07-23 10:23:05	40020	1532312585225	12
38	0	37	11	51221	11	51189	14	19	5	0	96	1	1	2018-07-23 10:23:05	40038	1532312585267	13
67	0	64	11	50463	11	51156	11	10	65535	0	264	0	0	2018-07-23 10:23:05	40067	1532312585309	14
9	0	8	11	52849	11	52652	5	10	5	0	505	0	0	2018-07-23 10:23:05	40009	1532312585362	15
44	0	38	11	50494	11	51331	19	24	5	0	109	0	1	2018-07-23 10:23:05	40044	1532312585393	16
50	0	38	11	51207	11	51331	19	33	14	0	109	1	0	2018-07-23 10:23:05	40050	1532312585426	17
24	0	37	11	51264	11	51217	14	38	24	1	124	1	0	2018-07-23 10:23:05	40024	1532312585459	18
43	0	44	11	50744	11	50660	24	29	5	0	166	0	0	2018-07-23 10:23:05	40043	1532312585559	19
39	0	38	11	51416	11	51395	19	19	65535	0	173	0	0	2018-07-23 10:23:05	40039	1532312585626	20
26	0	37	11	51615	11	51504	14	19	5	0	411	0	0	2018-07-23 10:23:05	40026	1532312585659	21
66	0	64	11	50525	11	51222	11	18	7	0	330	0	0	2018-07-23 10:23:05	40066	1532312585729	22
52	0	41	11	50923	11	51847	29	34	5	0	144	1	0	2018-07-23 10:23:05	40052	1532312585812	23
32	0	41	11	51585	11	51733	29	36	7	0	30	1	0	2018-07-23 10:23:05	40032	1532312585879	24
11	0	3	11	52224	11	52824	0	6	6	0	384	0	0	2018-07-23 10:23:05	40011	1532312585946	25
48	0	41	11	51019	11	51954	29	34	5	0	251	0	0	2018-07-23 10:23:05	40048	1532312585979	26
10	0	4	11	52356	11	52556	5	5	65535	0	387	0	0	2018-07-23 10:23:06	40010	1532312586205	27
13	0	4	11	52316	11	52349	5	19	14	0	180	1	0	2018-07-23 10:23:06	40013	1532312586272	28
