nodeid	clock_time_h	clock_time_l	dc_time_h	dc_time_l	insert_time	motelabMoteID	milli_time	motelabSeqNo
3	10	56530	9	64248	2018-07-23 10:22:04	40003	1532312524709	1
16	11	10460	10	15747	2018-07-23 10:22:23	40016	1532312543885	2
17	11	13528	10	19325	2018-07-23 10:22:27	40017	1532312547081	3
8	11	15578	10	21121	2018-07-23 10:22:29	40008	1532312549133	4
10	11	17642	10	44895	2018-07-23 10:22:31	40010	1532312551253	5
4	11	20680	10	26203	2018-07-23 10:22:34	40004	1532312554017	6
20	11	21715	10	27019	2018-07-23 10:22:35	40020	1532312555021	7
21	11	24773	10	30520	2018-07-23 10:22:37	40021	1532312557889	8
11	11	24769	10	31306	2018-07-23 10:22:38	40011	1532312558285	9
12	11	27866	10	39504	2018-07-23 10:22:41	40012	1532312561161	10
13	11	30921	10	41054	2018-07-23 10:22:44	40013	1532312564057	11
47	11	30929	10	37652	2018-07-23 10:22:46	40047	1532312566233	12
38	11	31955	10	38218	2018-07-23 10:22:46	40038	1532312566452	13
33	11	31948	10	38724	2018-07-23 10:22:46	40033	1532312566503	14
24	11	32967	10	38327	2018-07-23 10:22:47	40024	1532312567435	15
32	11	32991	10	39628	2018-07-23 10:22:47	40032	1532312567491	16
9	11	35022	10	42709	2018-07-23 10:22:47	40009	1532312567933	17
48	11	32995	10	39112	2018-07-23 10:22:48	40048	1532312568233	18
26	11	33987	10	43871	2018-07-23 10:22:48	40026	1532312568364	19
80	11	34008	10	39348	2018-07-23 10:22:49	40080	1532312569163	20
56	11	37073	10	44558	2018-07-23 10:22:52	40056	1532312572258	21
64	11	38096	10	46963	2018-07-23 10:22:52	40064	1532312572516	22
52	11	38111	10	44981	2018-07-23 10:22:53	40052	1532312573224	23
37	11	39124	10	46624	2018-07-23 10:22:53	40037	1532312573482	24
70	11	39123	10	50480	2018-07-23 10:22:54	40070	1532312574179	25
66	11	39102	10	44836	2018-07-23 10:22:54	40066	1532312574208	26
67	11	43216	10	48520	2018-07-23 10:22:58	40067	1532312578191	27
44	11	44230	10	49596	2018-07-23 10:22:59	40044	1532312579269	28
50	11	45277	10	55274	2018-07-23 10:22:59	40050	1532312579587	29
63	11	48323	10	58853	2018-07-23 10:23:02	40063	1532312582422	30
3	11	52434	10	1413	2018-07-23 10:23:04	40003	1532312584767	31
39	11	53446	10	59935	2018-07-23 10:23:07	40039	1532312587432	32
40	11	55520	10	62886	2018-07-23 10:23:10	40040	1532312590254	33
43	11	64704	11	7738	2018-07-23 10:23:19	40043	1532312599187	34
16	12	6364	10	16937	2018-07-23 10:23:23	40016	1532312603886	35
53	12	6324	11	14351	2018-07-23 10:23:27	40053	1532312607002	36
77	12	5332	11	10768	2018-07-23 10:23:27	40077	1532312607102	37
17	12	9432	10	20937	2018-07-23 10:23:27	40017	1532312607202	38
78	12	7393	11	12851	2018-07-23 10:23:27	40078	1532312607369	39
8	12	11482	10	24653	2018-07-23 10:23:29	40008	1532312609130	40
72	12	9401	11	16323	2018-07-23 10:23:29	40072	1532312609221	41
10	12	13540	10	55087	2018-07-23 10:23:31	40010	1532312611246	42
4	12	16584	10	29306	2018-07-23 10:23:34	40004	1532312614018	43
20	12	17619	10	28226	2018-07-23 10:23:35	40020	1532312615022	44
21	12	20677	10	32254	2018-07-23 10:23:37	40021	1532312617886	45
11	12	20673	10	33803	2018-07-23 10:23:38	40011	1532312618282	46
12	12	23770	10	43840	2018-07-23 10:23:41	40012	1532312621162	47
13	12	26834	10	47888	2018-07-23 10:23:44	40013	1532312624066	48
33	12	27852	10	41247	2018-07-23 10:23:46	40033	1532312626542	49
38	12	27859	10	40765	2018-07-23 10:23:46	40038	1532312626924	50
47	12	26833	10	39878	2018-07-23 10:23:47	40047	1532312627057	51
24	12	28871	10	41278	2018-07-23 10:23:47	40024	1532312627592	52
32	12	28895	10	42240	2018-07-23 10:23:47	40032	1532312627759	53
9	12	30926	10	44628	2018-07-23 10:23:47	40009	1532312627934	54
48	12	28899	10	40994	2018-07-23 10:23:48	40048	1532312628240	55
26	12	29891	10	47051	2018-07-23 10:23:48	40026	1532312628361	56
80	12	29912	10	40566	2018-07-23 10:23:49	40080	1532312629165	57
56	12	32977	10	48438	2018-07-23 10:23:52	40056	1532312632258	58
64	12	34000	11	3365	2018-07-23 10:23:52	40064	1532312632511	59
52	12	34015	10	47596	2018-07-23 10:23:53	40052	1532312633216	60
37	12	35028	10	51645	2018-07-23 10:23:53	40037	1532312633479	61
66	12	35006	10	47026	2018-07-23 10:23:54	40066	1532312634184	62
70	12	35027	10	57779	2018-07-23 10:23:54	40070	1532312634234	63
67	12	39120	10	50159	2018-07-23 10:23:58	40067	1532312638205	64
44	12	40134	10	52649	2018-07-23 10:23:59	40044	1532312639260	65
50	12	41181	10	61467	2018-07-23 10:23:59	40050	1532312639586	66
63	12	44227	10	64019	2018-07-23 10:24:02	40063	1532312642412	67
3	12	48338	10	6513	2018-07-23 10:24:04	40003	1532312644826	68
39	12	49350	10	61671	2018-07-23 10:24:07	40039	1532312647439	69
40	12	51424	11	1119	2018-07-23 10:24:10	40040	1532312650247	70
43	12	60608	11	9503	2018-07-23 10:24:19	40043	1532312659187	71
41	12	61656	11	13521	2018-07-23 10:24:19	40041	1532312659312	72
16	13	2268	10	18138	2018-07-23 10:24:23	40016	1532312663882	73
