id	ebw	path_ebw	elder_id	delay	children_num	is_sender	insert_time	motelabMoteID	milli_time	motelabSeqNo
3	28	0	3	14	8	1	2018-07-23 10:21:04	40003	1532312464705	1
16	125	28	3	12	0	0	2018-07-23 10:21:23	40016	1532312483881	2
17	100	28	3	10	0	0	2018-07-23 10:21:27	40017	1532312487077	3
8	25	28	3	10	3	1	2018-07-23 10:21:29	40008	1532312489129	4
10	100	28	3	10	0	0	2018-07-23 10:21:31	40010	1532312491241	5
4	35	28	3	14	3	1	2018-07-23 10:21:34	40004	1532312494013	6
20	1000	28	3	10	0	0	2018-07-23 10:21:35	40020	1532312495017	7
21	62	28	3	12	0	0	2018-07-23 10:21:37	40021	1532312497885	8
11	111	28	3	11	0	0	2018-07-23 10:21:38	40011	1532312498281	9
12	100	28	3	10	0	0	2018-07-23 10:21:41	40012	1532312501157	10
13	1000	125	37	12	0	0	2018-07-23 10:21:44	40013	1532312504055	11
47	1000	206	40	10	0	0	2018-07-23 10:21:46	40047	1532312506232	12
38	41	125	37	12	1	1	2018-07-23 10:21:46	40038	1532312506451	13
33	1000	125	37	0	0	0	2018-07-23 10:21:46	40033	1532312506509	14
24	1000	206	40	14	0	0	2018-07-23 10:21:47	40024	1532312507423	15
32	1000	216	41	11	0	0	2018-07-23 10:21:47	40032	1532312507481	16
9	100	53	8	10	0	0	2018-07-23 10:21:47	40009	1532312507929	17
48	1000	206	40	10	0	0	2018-07-23 10:21:48	40048	1532312508226	18
26	1000	125	37	12	0	0	2018-07-23 10:21:48	40026	1532312508354	19
80	142	63	4	14	0	0	2018-07-23 10:21:49	40080	1532312509160	20
56	1000	125	37	0	0	0	2018-07-23 10:21:52	40056	1532312512259	21
64	125	53	8	12	2	1	2018-07-23 10:21:52	40064	1532312512504	22
52	1000	206	40	11	0	0	2018-07-23 10:21:53	40052	1532312513216	23
37	62	63	4	12	6	1	2018-07-23 10:21:53	40037	1532312513470	24
70	100	63	4	10	2	1	2018-07-23 10:21:54	40070	1532312514172	25
66	125	178	64	12	0	0	2018-07-23 10:21:54	40066	1532312514207	26
67	1000	53	8	10	0	0	2018-07-23 10:21:58	40067	1532312518193	27
44	15	166	38	11	4	1	2018-07-23 10:21:59	40044	1532312519264	28
50	50	181	44	10	0	0	2018-07-23 10:21:59	40050	1532312519587	29
63	31	178	64	12	0	0	2018-07-23 10:22:02	40063	1532312522416	30
39	111	125	37	11	0	0	2018-07-23 10:22:07	40039	1532312527415	31
40	25	181	44	12	5	1	2018-07-23 10:22:10	40040	1532312530247	32
43	25	181	44	10	0	0	2018-07-23 10:22:19	40043	1532312539171	33
77	1000	206	40	10	0	0	2018-07-23 10:22:25	40077	1532312545151	34
53	1000	206	40	12	0	0	2018-07-23 10:22:26	40053	1532312546225	35
78	1000	163	70	10	0	0	2018-07-23 10:22:27	40078	1532312547197	36
72	1000	163	70	0	0	0	2018-07-23 10:22:29	40072	1532312549224	37
