addr	neighbor_num	neighbor0	neighbor1	neighbor2	neighbor3	neighbor4	neighbor5	neighbor6	neighbor7	neighbor8	neighbor9	neighbor10	neighbor11	neighbor12	neighbor13	reced0	reced1	reced2	reced3	reced4	reced5	reced6	reced7	reced8	reced9	reced10	reced11	reced12	reced13	insert_time	motelabMoteID	milli_time	motelabSeqNo
3	10	4	8	10	11	12	13	16	17	21	80	0	0	0	0	10	3	10	9	10	6	4	6	6	7	0	0	0	0	2018-07-23 10:13:39	40003	1532312019550	1
21	9	3	4	10	12	13	17	20	37	80	0	0	0	0	0	9	10	10	1	9	10	10	6	8	0	0	0	0	0	2018-07-23 10:13:39	40021	1532312019729	2
9	5	8	13	39	64	67	0	0	0	0	0	0	0	0	0	10	10	6	8	10	0	0	0	0	0	0	0	0	0	2018-07-23 10:13:39	40009	1532312019778	3
16	5	3	4	11	13	20	0	0	0	0	0	0	0	0	0	10	10	9	8	10	0	0	0	0	0	0	0	0	0	2018-07-23 10:13:39	40016	1532312019811	4
20	6	3	4	11	12	16	21	0	0	0	0	0	0	0	0	10	10	10	10	10	10	0	0	0	0	0	0	0	0	2018-07-23 10:13:39	40020	1532312019853	5
13	10	3	4	8	9	11	21	26	37	38	67	0	0	0	0	3	3	2	8	7	4	5	10	4	2	0	0	0	0	2018-07-23 10:13:39	40013	1532312019893	6
4	12	3	10	11	12	13	16	17	20	21	37	70	80	0	0	10	10	9	10	9	10	9	10	10	10	7	10	0	0	2018-07-23 10:13:39	40004	1532312019953	7
12	7	3	4	10	17	20	70	80	0	0	0	0	0	0	0	10	10	10	9	3	5	10	0	0	0	0	0	0	0	2018-07-23 10:13:39	40012	1532312019986	8
17	6	3	4	10	12	21	80	0	0	0	0	0	0	0	0	10	10	10	10	10	10	0	0	0	0	0	0	0	0	2018-07-23 10:13:40	40017	1532312020020	9
8	5	3	9	13	64	67	0	0	0	0	0	0	0	0	0	10	10	10	10	10	0	0	0	0	0	0	0	0	0	2018-07-23 10:13:40	40008	1532312020053	10
10	7	3	4	12	17	21	70	80	0	0	0	0	0	0	0	10	9	10	10	3	4	10	0	0	0	0	0	0	0	2018-07-23 10:13:40	40010	1532312020098	11
11	5	3	4	13	16	20	0	0	0	0	0	0	0	0	0	9	9	9	10	10	0	0	0	0	0	0	0	0	0	2018-07-23 10:13:40	40011	1532312020166	12
26	5	13	37	38	39	56	0	0	0	0	0	0	0	0	0	6	10	8	8	4	0	0	0	0	0	0	0	0	0	2018-07-23 10:13:41	40026	1532312021209	13
38	10	13	26	33	37	39	40	41	44	50	56	0	0	0	0	3	7	3	10	10	8	4	10	8	4	0	0	0	0	2018-07-23 10:13:41	40038	1532312021288	14
32	4	33	41	52	56	0	0	0	0	0	0	0	0	0	0	9	8	9	6	0	0	0	0	0	0	0	0	0	0	2018-07-23 10:13:41	40032	1532312021350	15
63	10	40	41	43	50	52	64	66	70	72	77	0	0	0	0	8	9	8	4	9	10	10	6	2	2	0	0	0	0	2018-07-23 10:13:41	40063	1532312021379	16
33	6	13	32	37	38	52	56	0	0	0	0	0	0	0	0	5	5	10	3	4	6	0	0	0	0	0	0	0	0	2018-07-23 10:13:41	40033	1532312021412	17
64	5	8	63	66	67	70	0	0	0	0	0	0	0	0	0	9	8	2	7	3	0	0	0	0	0	0	0	0	0	2018-07-23 10:13:41	40064	1532312021445	18
50	13	38	39	40	41	43	44	47	52	53	63	64	70	77	0	6	5	6	10	10	7	5	6	10	10	1	2	10	0	2018-07-23 10:13:41	40050	1532312021478	19
37	9	3	4	13	21	26	33	38	39	56	0	0	0	0	0	2	7	9	7	5	4	6	5	8	0	0	0	0	0	2018-07-23 10:13:41	40037	1532312021512	20
24	9	32	33	37	38	40	41	44	52	56	0	0	0	0	0	6	8	5	1	7	8	4	4	6	0	0	0	0	0	2018-07-23 10:13:41	40024	1532312021545	21
39	5	9	26	37	38	50	0	0	0	0	0	0	0	0	0	9	4	10	10	9	0	0	0	0	0	0	0	0	0	2018-07-23 10:13:41	40039	1532312021579	22
72	3	63	70	78	0	0	0	0	0	0	0	0	0	0	0	2	10	10	0	0	0	0	0	0	0	0	0	0	0	2018-07-23 10:13:42	40072	1532312022006	23
43	11	40	41	44	47	48	50	52	53	63	64	77	0	0	0	10	10	10	10	10	10	10	4	10	1	10	0	0	0	2018-07-23 10:13:42	40043	1532312022037	24
77	7	40	41	43	50	52	53	66	0	0	0	0	0	0	0	10	5	10	10	9	10	9	0	0	0	0	0	0	0	2018-07-23 10:13:42	40077	1532312022071	25
66	4	63	64	70	77	0	0	0	0	0	0	0	0	0	0	10	8	1	8	0	0	0	0	0	0	0	0	0	0	2018-07-23 10:13:42	40066	1532312022104	26
69	3	70	71	75	0	0	0	0	0	0	0	0	0	0	0	6	10	10	0	0	0	0	0	0	0	0	0	0	0	2018-07-23 10:13:42	40069	1532312022137	27
52	12	32	33	40	41	43	44	47	48	50	56	63	77	0	0	6	9	10	10	5	2	10	10	8	6	8	9	0	0	2018-07-23 10:13:42	40052	1532312022171	28
75	2	69	71	0	0	0	0	0	0	0	0	0	0	0	0	10	10	0	0	0	0	0	0	0	0	0	0	0	0	2018-07-23 10:13:42	40075	1532312022204	29
40	12	38	41	43	44	47	48	50	52	53	56	63	77	0	0	6	10	10	10	10	10	7	10	8	1	9	9	0	0	2018-07-23 10:13:42	40040	1532312022237	30
53	5	40	41	43	50	77	0	0	0	0	0	0	0	0	0	7	1	3	10	8	0	0	0	0	0	0	0	0	0	2018-07-23 10:13:42	40053	1532312022288	31
44	9	38	40	41	43	47	48	50	53	77	0	0	0	0	0	10	10	10	10	10	9	10	5	10	0	0	0	0	0	2018-07-23 10:13:42	40044	1532312022321	32
48	6	40	41	43	44	47	52	0	0	0	0	0	0	0	0	10	8	7	3	10	10	0	0	0	0	0	0	0	0	2018-07-23 10:13:42	40048	1532312022354	33
56	8	13	32	33	37	38	41	47	52	0	0	0	0	0	0	1	2	2	7	1	6	5	3	0	0	0	0	0	0	2018-07-23 10:13:42	40056	1532312022388	34
47	8	40	41	43	44	48	50	52	56	0	0	0	0	0	0	10	10	7	4	10	7	10	5	0	0	0	0	0	0	2018-07-23 10:13:42	40047	1532312022421	35
67	3	8	9	64	0	0	0	0	0	0	0	0	0	0	0	10	3	10	0	0	0	0	0	0	0	0	0	0	0	2018-07-23 10:13:42	40067	1532312022471	36
80	8	4	10	12	17	21	70	72	78	0	0	0	0	0	0	10	10	10	10	3	10	1	7	0	0	0	0	0	0	2018-07-23 10:13:42	40080	1532312022505	37
78	3	70	72	80	0	0	0	0	0	0	0	0	0	0	0	10	10	6	0	0	0	0	0	0	0	0	0	0	0	2018-07-23 10:13:42	40078	1532312022538	38
71	3	69	70	75	0	0	0	0	0	0	0	0	0	0	0	10	5	10	0	0	0	0	0	0	0	0	0	0	0	2018-07-23 10:13:42	40071	1532312022571	39
70	13	3	4	10	12	50	63	64	66	69	71	72	78	80	0	1	8	5	4	5	4	8	2	1	2	10	6	9	0	2018-07-23 10:13:42	40070	1532312022605	40
