seq_no	time_flood_h	time_flood_l	insert_time	motelabMoteID	milli_time	motelabSeqNo
0	11	52449	2018-07-23 11:04:18	40003	1532315058059	1
1	12	7393	2018-07-23 11:04:38	40003	1532315078059	2
2	12	27873	2018-07-23 11:04:58	40003	1532315098059	3
3	12	48353	2018-07-23 11:05:18	40003	1532315118055	4
4	13	3297	2018-07-23 11:05:38	40003	1532315138055	5
5	13	23777	2018-07-23 11:05:58	40003	1532315158055	6
6	13	44257	2018-07-23 11:06:18	40003	1532315178056	7
7	13	64737	2018-07-23 11:06:38	40003	1532315198056	8
8	14	19681	2018-07-23 11:06:58	40003	1532315218056	9
9	14	40161	2018-07-23 11:07:18	40003	1532315238056	10
10	14	60641	2018-07-23 11:07:38	40003	1532315258052	11
11	15	15585	2018-07-23 11:07:58	40003	1532315278052	12
12	15	36065	2018-07-23 11:08:18	40003	1532315298053	13
13	15	56545	2018-07-23 11:08:38	40003	1532315318053	14
14	16	11489	2018-07-23 11:08:58	40003	1532315338054	15
15	16	31969	2018-07-23 11:09:18	40003	1532315358055	16
16	16	52449	2018-07-23 11:09:38	40003	1532315378053	17
17	17	7393	2018-07-23 11:09:58	40003	1532315398049	18
18	17	27873	2018-07-23 11:10:18	40003	1532315418050	19
19	17	48353	2018-07-23 11:10:38	40003	1532315438050	20
20	18	3297	2018-07-23 11:10:58	40003	1532315458050	21
21	18	23777	2018-07-23 11:11:18	40003	1532315478050	22
22	18	44257	2018-07-23 11:11:38	40003	1532315498050	23
23	18	64737	2018-07-23 11:11:58	40003	1532315518046	24
24	19	19681	2018-07-23 11:12:18	40003	1532315538047	25
25	19	40161	2018-07-23 11:12:38	40003	1532315558047	26
26	19	60641	2018-07-23 11:12:58	40003	1532315578047	27
27	20	15585	2018-07-23 11:13:18	40003	1532315598047	28
28	20	36065	2018-07-23 11:13:38	40003	1532315618047	29
29	20	56545	2018-07-23 11:13:58	40003	1532315638043	30
30	21	11489	2018-07-23 11:14:18	40003	1532315658044	31
31	21	31969	2018-07-23 11:14:38	40003	1532315678044	32
32	21	52449	2018-07-23 11:14:58	40003	1532315698044	33
33	22	7393	2018-07-23 11:15:18	40003	1532315718044	34
34	22	27873	2018-07-23 11:15:38	40003	1532315738044	35
35	22	48353	2018-07-23 11:15:58	40003	1532315758044	36
36	23	3297	2018-07-23 11:16:18	40003	1532315778045	37
37	23	23777	2018-07-23 11:16:38	40003	1532315798041	38
38	23	44257	2018-07-23 11:16:58	40003	1532315818041	39
39	23	64737	2018-07-23 11:17:18	40003	1532315838041	40
40	24	19681	2018-07-23 11:17:38	40003	1532315858041	41
41	24	40161	2018-07-23 11:17:58	40003	1532315878041	42
42	24	60641	2018-07-23 11:18:18	40003	1532315898042	43
43	25	15585	2018-07-23 11:18:38	40003	1532315918042	44
44	25	36065	2018-07-23 11:18:58	40003	1532315938038	45
45	25	56545	2018-07-23 11:19:18	40003	1532315958038	46
46	26	11489	2018-07-23 11:19:38	40003	1532315978038	47
