nodeid	seq_no	tail_time_h	tail_time_l	insert_time	motelabMoteID	milli_time	motelabSeqNo
10	47	10	28707	2018-07-23 11:02:51	40010	1532314971077	1
11	47	10	28945	2018-07-23 11:02:51	40011	1532314971255	2
12	47	10	29004	2018-07-23 11:02:51	40012	1532314971319	3
20	47	10	29497	2018-07-23 11:02:51	40020	1532314971436	4
16	47	10	29254	2018-07-23 11:02:51	40016	1532314971503	5
17	47	10	29133	2018-07-23 11:02:51	40017	1532314971770	6
4	47	10	29091	2018-07-23 11:02:51	40004	1532314971803	7
3	47	10	29090	2018-07-23 11:02:52	40003	1532314972014	8
8	47	10	29540	2018-07-23 11:02:52	40008	1532314972330	9
80	0	11	50190	2018-07-23 11:04:18	40080	1532315058155	10
11	0	11	52431	2018-07-23 11:04:18	40011	1532315058255	11
10	0	11	52514	2018-07-23 11:04:18	40010	1532315058322	12
12	0	11	52677	2018-07-23 11:04:18	40012	1532315058422	13
26	0	11	51651	2018-07-23 11:04:18	40026	1532315058631	14
20	0	11	53167	2018-07-23 11:04:18	40020	1532315058701	15
64	0	11	50567	2018-07-23 11:04:18	40064	1532315058731	16
67	0	11	50579	2018-07-23 11:04:18	40067	1532315058889	17
21	0	11	53056	2018-07-23 11:04:19	40021	1532315059023	18
8	0	11	52799	2018-07-23 11:04:19	40008	1532315059107	19
38	0	11	51620	2018-07-23 11:04:19	40038	1532315059140	20
13	0	11	52819	2018-07-23 11:04:19	40013	1532315059173	21
39	0	11	51555	2018-07-23 11:04:19	40039	1532315059207	22
16	0	11	53226	2018-07-23 11:04:19	40016	1532315059273	23
37	0	11	51276	2018-07-23 11:04:19	40037	1532315059307	24
17	0	11	52773	2018-07-23 11:04:19	40017	1532315059340	25
9	0	11	53135	2018-07-23 11:04:19	40009	1532315059407	26
4	0	11	53159	2018-07-23 11:04:19	40004	1532315059440	27
56	0	11	50806	2018-07-23 11:04:19	40056	1532315059474	28
33	0	11	51411	2018-07-23 11:04:19	40033	1532315059507	29
80	1	12	5131	2018-07-23 11:04:38	40080	1532315078225	30
10	1	12	7265	2018-07-23 11:04:38	40010	1532315078258	31
67	1	12	4961	2018-07-23 11:04:38	40067	1532315078358	32
12	1	12	7406	2018-07-23 11:04:38	40012	1532315078525	33
64	1	12	5405	2018-07-23 11:04:38	40064	1532315078592	34
21	1	12	7881	2018-07-23 11:04:38	40021	1532315078692	35
8	1	12	7421	2018-07-23 11:04:38	40008	1532315078759	36
20	1	12	8074	2018-07-23 11:04:38	40020	1532315078792	37
38	1	12	6118	2018-07-23 11:04:38	40038	1532315078826	38
33	1	12	6075	2018-07-23 11:04:38	40033	1532315078926	39
17	1	12	7770	2018-07-23 11:04:38	40017	1532315078959	40
16	1	12	8173	2018-07-23 11:04:39	40016	1532315079059	41
13	1	12	7640	2018-07-23 11:04:39	40013	1532315079126	42
9	1	12	7859	2018-07-23 11:04:39	40009	1532315079210	43
4	1	12	8098	2018-07-23 11:04:39	40004	1532315079268	44
26	1	12	6963	2018-07-23 11:04:39	40026	1532315079301	45
11	1	12	7816	2018-07-23 11:04:39	40011	1532315079335	46
72	1	12	6146	2018-07-23 11:04:39	40072	1532315079585	47
37	1	12	6573	2018-07-23 11:04:39	40037	1532315079669	48
71	1	12	6209	2018-07-23 11:04:39	40071	1532315079752	49
70	1	12	5729	2018-07-23 11:04:39	40070	1532315079794	50
56	1	12	5977	2018-07-23 11:04:39	40056	1532315079919	51
52	1	12	6691	2018-07-23 11:04:40	40052	1532315080086	52
69	1	12	6149	2018-07-23 11:04:40	40069	1532315080169	53
50	1	12	6417	2018-07-23 11:04:40	40050	1532315080211	54
53	1	12	6441	2018-07-23 11:04:40	40053	1532315080244	55
24	1	12	6651	2018-07-23 11:04:40	40024	1532315080311	56
77	1	12	6669	2018-07-23 11:04:40	40077	1532315080345	57
63	1	12	6153	2018-07-23 11:04:40	40063	1532315080378	58
44	1	12	6974	2018-07-23 11:04:40	40044	1532315080446	59
66	1	12	6085	2018-07-23 11:04:40	40066	1532315080496	60
43	1	12	6763	2018-07-23 11:04:40	40043	1532315080563	61
47	1	12	6370	2018-07-23 11:04:40	40047	1532315080713	62
41	1	12	7517	2018-07-23 11:04:40	40041	1532315080780	63
48	1	12	6977	2018-07-23 11:04:40	40048	1532315080813	64
40	1	12	6546	2018-07-23 11:04:40	40040	1532315080847	65
75	1	12	6190	2018-07-23 11:04:40	40075	1532315080880	66
39	1	12	6610	2018-07-23 11:04:40	40039	1532315080947	67
10	2	12	27650	2018-07-23 11:04:58	40010	1532315098389	68
64	2	12	25987	2018-07-23 11:04:58	40064	1532315098707	69
16	2	12	28220	2018-07-23 11:04:58	40016	1532315098740	70
4	2	12	28126	2018-07-23 11:04:58	40004	1532315098807	71
9	2	12	27872	2018-07-23 11:04:59	40009	1532315099007	72
66	2	12	25860	2018-07-23 11:04:59	40066	1532315099040	73
56	2	12	25787	2018-07-23 11:04:59	40056	1532315099074	74
26	2	12	27347	2018-07-23 11:04:59	40026	1532315099107	75
38	2	12	26904	2018-07-23 11:04:59	40038	1532315099174	76
50	2	12	26030	2018-07-23 11:04:59	40050	1532315099274	77
67	2	12	25514	2018-07-23 11:04:59	40067	1532315099308	78
53	2	12	25742	2018-07-23 11:04:59	40053	1532315099374	79
20	2	12	28567	2018-07-23 11:04:59	40020	1532315099475	80
44	2	12	25853	2018-07-23 11:04:59	40044	1532315099508	81
8	2	12	27874	2018-07-23 11:04:59	40008	1532315099591	82
33	2	12	26891	2018-07-23 11:04:59	40033	1532315099692	83
48	2	12	25948	2018-07-23 11:04:59	40048	1532315099775	84
72	2	12	25775	2018-07-23 11:04:59	40072	1532315099808	85
40	2	12	25445	2018-07-23 11:04:59	40040	1532315099975	86
47	2	12	25924	2018-07-23 11:05:00	40047	1532315100017	87
21	2	12	28256	2018-07-23 11:05:00	40021	1532315100059	88
80	2	12	25572	2018-07-23 11:05:00	40080	1532315100184	89
24	2	12	26815	2018-07-23 11:05:00	40024	1532315100226	90
41	2	12	26782	2018-07-23 11:05:00	40041	1532315100267	91
71	2	12	25626	2018-07-23 11:05:00	40071	1532315100393	92
11	2	12	28249	2018-07-23 11:05:00	40011	1532315100434	93
37	2	12	26384	2018-07-23 11:05:00	40037	1532315100476	94
13	2	12	28341	2018-07-23 11:05:00	40013	1532315100518	95
52	2	12	25561	2018-07-23 11:05:00	40052	1532315100559	96
63	2	12	25384	2018-07-23 11:05:00	40063	1532315100601	97
78	2	12	25775	2018-07-23 11:05:00	40078	1532315100643	98
12	2	12	28217	2018-07-23 11:05:00	40012	1532315100685	99
75	2	12	26059	2018-07-23 11:05:00	40075	1532315100726	100
39	2	12	26364	2018-07-23 11:05:00	40039	1532315100768	101
43	2	12	25710	2018-07-23 11:05:00	40043	1532315100810	102
69	2	12	25660	2018-07-23 11:05:00	40069	1532315100868	103
70	2	12	25331	2018-07-23 11:05:00	40070	1532315100902	104
