addr	neighbor_num	neighbor0	neighbor1	neighbor2	neighbor3	neighbor4	neighbor5	neighbor6	neighbor7	neighbor8	neighbor9	neighbor10	neighbor11	neighbor12	neighbor13	reced0	reced1	reced2	reced3	reced4	reced5	reced6	reced7	reced8	reced9	reced10	reced11	reced12	reced13	insert_time	motelabMoteID	milli_time	motelabSeqNo
4	12	3	10	11	12	13	16	17	20	21	37	70	80	0	0	10	10	10	10	8	9	10	10	10	9	8	8	0	0	2018-07-22 19:05:11	40004	1532257511111	1
11	5	3	4	13	16	20	0	0	0	0	0	0	0	0	0	8	7	8	9	8	0	0	0	0	0	0	0	0	0	2018-07-22 19:05:11	40011	1532257511172	2
9	5	8	13	39	64	67	0	0	0	0	0	0	0	0	0	10	10	10	4	10	0	0	0	0	0	0	0	0	0	2018-07-22 19:05:11	40009	1532257511389	3
16	5	3	4	11	13	20	0	0	0	0	0	0	0	0	0	8	10	10	7	10	0	0	0	0	0	0	0	0	0	2018-07-22 19:05:11	40016	1532257511440	4
13	15	3	4	8	9	10	11	16	21	26	33	37	38	39	56	7	7	5	10	2	8	5	7	7	8	10	8	2	1	2018-07-22 19:05:11	40013	1532257511489	5
8	5	3	9	13	64	67	0	0	0	0	0	0	0	0	0	8	10	9	10	10	0	0	0	0	0	0	0	0	0	2018-07-22 19:05:11	40008	1532257511537	6
20	7	3	4	10	11	12	16	21	0	0	0	0	0	0	0	7	10	8	10	10	10	10	0	0	0	0	0	0	0	2018-07-22 19:05:11	40020	1532257511585	7
10	8	3	4	12	17	20	21	70	80	0	0	0	0	0	0	8	5	10	10	3	4	8	10	0	0	0	0	0	0	2018-07-22 19:05:11	40010	1532257511650	8
17	6	3	4	10	12	21	80	0	0	0	0	0	0	0	0	3	10	10	10	7	10	0	0	0	0	0	0	0	0	2018-07-22 19:05:11	40017	1532257511706	9
12	8	3	4	10	11	17	20	21	80	0	0	0	0	0	0	10	10	10	3	10	5	5	10	0	0	0	0	0	0	2018-07-22 19:05:11	40012	1532257511740	10
21	9	3	4	10	12	13	17	20	37	80	0	0	0	0	0	8	10	6	10	8	10	10	7	2	0	0	0	0	0	2018-07-22 19:05:11	40021	1532257511773	11
3	10	4	8	10	11	12	13	16	17	21	80	0	0	0	0	7	5	9	6	10	5	6	7	6	6	0	0	0	0	2018-07-22 19:05:11	40003	1532257511807	12
38	8	13	26	37	39	40	44	50	56	0	0	0	0	0	0	5	9	10	10	8	10	8	5	0	0	0	0	0	0	2018-07-22 19:05:13	40038	1532257513048	13
37	9	3	4	13	21	26	33	38	39	56	0	0	0	0	0	4	7	10	9	7	9	9	7	6	0	0	0	0	0	2018-07-22 19:05:13	40037	1532257513107	14
26	5	8	13	37	38	39	0	0	0	0	0	0	0	0	0	1	10	7	9	7	0	0	0	0	0	0	0	0	0	2018-07-22 19:05:13	40026	1532257513171	15
39	6	9	13	26	37	38	50	0	0	0	0	0	0	0	0	9	6	10	10	10	10	0	0	0	0	0	0	0	0	2018-07-22 19:05:13	40039	1532257513208	16
64	8	8	9	43	50	63	66	67	70	0	0	0	0	0	0	10	8	4	1	10	10	10	9	0	0	0	0	0	0	2018-07-22 19:05:13	40064	1532257513240	17
52	10	32	33	40	41	43	47	48	50	56	77	0	0	0	0	8	9	10	10	6	8	8	10	10	8	0	0	0	0	2018-07-22 19:05:13	40052	1532257513274	18
33	5	13	32	37	52	56	0	0	0	0	0	0	0	0	0	7	10	7	7	6	0	0	0	0	0	0	0	0	0	2018-07-22 19:05:13	40033	1532257513307	19
66	3	63	64	77	0	0	0	0	0	0	0	0	0	0	0	10	9	10	0	0	0	0	0	0	0	0	0	0	0	2018-07-22 19:05:13	40066	1532257513343	20
78	2	70	72	0	0	0	0	0	0	0	0	0	0	0	0	10	10	0	0	0	0	0	0	0	0	0	0	0	0	2018-07-22 19:05:13	40078	1532257513374	21
32	4	24	33	41	52	0	0	0	0	0	0	0	0	0	0	1	9	9	7	0	0	0	0	0	0	0	0	0	0	2018-07-22 19:05:13	40032	1532257513407	22
41	12	24	32	40	43	44	47	48	50	52	53	56	63	0	0	4	8	10	10	10	10	10	10	10	8	10	9	0	0	2018-07-22 19:05:13	40041	1532257513441	23
48	5	40	41	43	47	52	0	0	0	0	0	0	0	0	0	10	10	9	10	10	0	0	0	0	0	0	0	0	0	2018-07-22 19:05:13	40048	1532257513474	24
47	8	40	41	43	44	48	50	52	56	0	0	0	0	0	0	10	10	9	10	10	9	10	10	0	0	0	0	0	0	2018-07-22 19:05:13	40047	1532257513507	25
43	11	40	41	44	47	48	50	52	53	63	64	77	0	0	0	10	10	10	10	10	10	10	6	10	1	10	0	0	0	2018-07-22 19:05:13	40043	1532257513541	26
80	8	3	4	10	12	17	70	72	78	0	0	0	0	0	0	10	10	10	10	10	10	5	8	0	0	0	0	0	0	2018-07-22 19:05:13	40080	1532257513574	27
72	4	63	70	78	80	0	0	0	0	0	0	0	0	0	0	8	10	10	6	0	0	0	0	0	0	0	0	0	0	2018-07-22 19:05:13	40072	1532257513607	28
50	13	38	39	40	41	43	44	47	52	53	63	64	70	77	0	9	9	10	10	10	8	9	9	10	9	1	7	10	0	2018-07-22 19:05:13	40050	1532257513641	29
69	3	70	71	75	0	0	0	0	0	0	0	0	0	0	0	8	8	9	0	0	0	0	0	0	0	0	0	0	0	2018-07-22 19:05:13	40069	1532257513674	30
44	9	38	40	41	43	47	50	52	53	77	0	0	0	0	0	10	10	10	10	10	10	2	10	10	0	0	0	0	0	2018-07-22 19:05:13	40044	1532257513708	31
40	12	38	41	43	44	47	48	50	52	53	56	63	77	0	0	7	10	10	10	10	10	10	10	7	7	9	10	0	0	2018-07-22 19:05:13	40040	1532257513741	32
56	8	13	33	37	38	40	41	47	52	0	0	0	0	0	0	5	6	9	4	3	5	8	6	0	0	0	0	0	0	2018-07-22 19:05:13	40056	1532257513775	33
