seq_no	time_flood_h	time_flood_l	insert_time	motelabMoteID	milli_time	motelabSeqNo
0	11	51436	2018-07-22 20:42:41	40003	1532263361138	1
1	12	6380	2018-07-22 20:43:01	40003	1532263381138	2
2	12	26860	2018-07-22 20:43:21	40003	1532263401138	3
3	12	47340	2018-07-22 20:43:41	40003	1532263421139	4
4	13	2284	2018-07-22 20:44:01	40003	1532263441139	5
5	13	22764	2018-07-22 20:44:21	40003	1532263461135	6
6	13	43244	2018-07-22 20:44:41	40003	1532263481135	7
7	13	63724	2018-07-22 20:45:01	40003	1532263501135	8
8	14	18668	2018-07-22 20:45:21	40003	1532263521136	9
9	14	39148	2018-07-22 20:45:41	40003	1532263541136	10
10	14	59628	2018-07-22 20:46:01	40003	1532263561136	11
11	15	14572	2018-07-22 20:46:21	40003	1532263581132	12
12	15	35052	2018-07-22 20:46:41	40003	1532263601132	13
13	15	55532	2018-07-22 20:47:01	40003	1532263621132	14
14	16	10476	2018-07-22 20:47:21	40003	1532263641136	15
15	16	30956	2018-07-22 20:47:41	40003	1532263661133	16
16	16	51436	2018-07-22 20:48:01	40003	1532263681133	17
17	17	6380	2018-07-22 20:48:21	40003	1532263701133	18
18	17	26860	2018-07-22 20:48:41	40003	1532263721133	19
19	17	47340	2018-07-22 20:49:01	40003	1532263741129	20
20	18	2284	2018-07-22 20:49:21	40003	1532263761130	21
21	18	22764	2018-07-22 20:49:41	40003	1532263781130	22
22	18	43244	2018-07-22 20:50:01	40003	1532263801130	23
23	18	63724	2018-07-22 20:50:21	40003	1532263821130	24
24	19	18668	2018-07-22 20:50:41	40003	1532263841130	25
25	19	39148	2018-07-22 20:51:01	40003	1532263861126	26
26	19	59628	2018-07-22 20:51:21	40003	1532263881127	27
27	20	14572	2018-07-22 20:51:41	40003	1532263901127	28
28	20	35052	2018-07-22 20:52:01	40003	1532263921127	29
29	20	55532	2018-07-22 20:52:21	40003	1532263941127	30
30	21	10476	2018-07-22 20:52:41	40003	1532263961127	31
31	21	30956	2018-07-22 20:53:01	40003	1532263981127	32
32	21	51436	2018-07-22 20:53:21	40003	1532264001124	33
33	22	6380	2018-07-22 20:53:41	40003	1532264021124	34
34	22	26860	2018-07-22 20:54:01	40003	1532264041125	35
35	22	47340	2018-07-22 20:54:21	40003	1532264061124	36
36	23	2284	2018-07-22 20:54:41	40003	1532264081124	37
37	23	22764	2018-07-22 20:55:01	40003	1532264101124	38
38	23	43244	2018-07-22 20:55:21	40003	1532264121125	39
39	23	63724	2018-07-22 20:55:41	40003	1532264141121	40
40	24	18668	2018-07-22 20:56:01	40003	1532264161121	41
41	24	39148	2018-07-22 20:56:21	40003	1532264181121	42
42	24	59628	2018-07-22 20:56:41	40003	1532264201121	43
43	25	14572	2018-07-22 20:57:01	40003	1532264221121	44
44	25	35052	2018-07-22 20:57:21	40003	1532264241122	45
45	25	55532	2018-07-22 20:57:41	40003	1532264261122	46
46	26	10476	2018-07-22 20:58:01	40003	1532264281118	47
