nodeid	seq_no	tail_time_h	tail_time_l	insert_time	motelabMoteID	milli_time	motelabSeqNo
3	111	10	520	2018-07-22 20:40:48	40003	1532263248177	1
3	25	10	8783	2018-07-22 20:40:56	40003	1532263256249	2
12	0	11	51218	2018-07-22 20:42:41	40012	1532263361256	3
10	0	11	51355	2018-07-22 20:42:41	40010	1532263361323	4
8	0	11	51050	2018-07-22 20:42:41	40008	1532263361783	5
56	0	11	49099	2018-07-22 20:42:41	40056	1532263361917	6
75	0	11	50018	2018-07-22 20:42:41	40075	1532263361950	7
71	0	11	49450	2018-07-22 20:42:42	40071	1532263362017	8
80	0	11	49084	2018-07-22 20:42:42	40080	1532263362050	9
13	0	11	51201	2018-07-22 20:42:42	40013	1532263362084	10
20	0	11	51450	2018-07-22 20:42:42	40020	1532263362150	11
39	0	11	50171	2018-07-22 20:42:42	40039	1532263362184	12
38	0	11	49838	2018-07-22 20:42:42	40038	1532263362217	13
69	0	11	49362	2018-07-22 20:42:42	40069	1532263362384	14
16	0	11	51230	2018-07-22 20:42:42	40016	1532263362429	15
70	0	11	49300	2018-07-22 20:42:42	40070	1532263362476	16
67	0	11	49490	2018-07-22 20:42:42	40067	1532263362510	17
11	0	11	51532	2018-07-22 20:42:42	40011	1532263362543	18
21	0	11	51595	2018-07-22 20:42:42	40021	1532263362610	19
72	0	11	49313	2018-07-22 20:42:42	40072	1532263362793	20
26	0	11	49782	2018-07-22 20:42:42	40026	1532263362860	21
52	0	11	50135	2018-07-22 20:42:42	40052	1532263362893	22
33	0	11	49913	2018-07-22 20:42:42	40033	1532263362927	23
37	0	11	49861	2018-07-22 20:42:42	40037	1532263362993	24
43	0	11	49956	2018-07-22 20:42:43	40043	1532263363094	25
66	0	11	49742	2018-07-22 20:42:43	40066	1532263363160	26
48	0	11	50778	2018-07-22 20:42:43	40048	1532263363194	27
44	0	11	50938	2018-07-22 20:42:43	40044	1532263363261	28
64	0	11	50003	2018-07-22 20:42:43	40064	1532263363394	29
4	0	11	51794	2018-07-22 20:42:43	40004	1532263363427	30
17	0	11	51828	2018-07-22 20:42:43	40017	1532263363461	31
24	0	11	51989	2018-07-22 20:42:43	40024	1532263363494	32
41	0	11	50324	2018-07-22 20:42:43	40041	1532263363561	33
50	0	11	49920	2018-07-22 20:42:43	40050	1532263363628	34
9	0	11	51817	2018-07-22 20:42:43	40009	1532263363661	35
77	0	11	50348	2018-07-22 20:42:43	40077	1532263363695	36
40	0	11	50811	2018-07-22 20:42:43	40040	1532263363728	37
78	0	11	49292	2018-07-22 20:42:43	40078	1532263363778	38
63	0	11	50454	2018-07-22 20:42:43	40063	1532263363811	39
47	0	11	50226	2018-07-22 20:42:43	40047	1532263363845	40
32	0	11	51342	2018-07-22 20:42:43	40032	1532263363962	41
11	1	12	6326	2018-07-22 20:43:01	40011	1532263381295	42
16	1	12	6199	2018-07-22 20:43:01	40016	1532263381395	43
20	1	12	6362	2018-07-22 20:43:01	40020	1532263381495	44
17	1	12	6342	2018-07-22 20:43:01	40017	1532263381579	45
26	1	12	4915	2018-07-22 20:43:01	40026	1532263381712	46
21	1	12	6764	2018-07-22 20:43:02	40021	1532263382004	47
12	1	12	6481	2018-07-22 20:43:02	40012	1532263382138	48
8	1	12	6047	2018-07-22 20:43:02	40008	1532263382171	49
67	1	12	4457	2018-07-22 20:43:02	40067	1532263382205	50
72	1	12	4299	2018-07-22 20:43:02	40072	1532263382238	51
64	1	12	5010	2018-07-22 20:43:02	40064	1532263382272	52
71	1	12	4772	2018-07-22 20:43:02	40071	1532263382472	53
69	1	12	4677	2018-07-22 20:43:02	40069	1532263382597	54
37	1	12	4864	2018-07-22 20:43:02	40037	1532263382680	55
9	1	12	6368	2018-07-22 20:43:02	40009	1532263382764	56
56	1	12	4637	2018-07-22 20:43:02	40056	1532263382897	57
50	1	12	4683	2018-07-22 20:43:03	40050	1532263383023	58
32	1	12	6145	2018-07-22 20:43:03	40032	1532263383081	59
47	1	12	5145	2018-07-22 20:43:03	40047	1532263383233	60
43	1	12	5115	2018-07-22 20:43:03	40043	1532263383266	61
10	1	12	6722	2018-07-22 20:43:03	40010	1532263383366	62
38	1	12	5435	2018-07-22 20:43:03	40038	1532263383399	63
40	1	12	5745	2018-07-22 20:43:03	40040	1532263383433	64
48	1	12	5699	2018-07-22 20:43:03	40048	1532263383466	65
33	1	12	5057	2018-07-22 20:43:03	40033	1532263383499	66
70	1	12	4395	2018-07-22 20:43:03	40070	1532263383533	67
78	1	12	4733	2018-07-22 20:43:03	40078	1532263383566	68
53	1	12	5442	2018-07-22 20:43:03	40053	1532263383666	69
24	1	12	6405	2018-07-22 20:43:03	40024	1532263383767	70
63	1	12	5485	2018-07-22 20:43:03	40063	1532263383867	71
39	1	12	5075	2018-07-22 20:43:03	40039	1532263383900	72
52	1	12	4977	2018-07-22 20:43:03	40052	1532263383934	73
41	1	12	4939	2018-07-22 20:43:03	40041	1532263383967	74
13	1	12	6169	2018-07-22 20:43:04	40013	1532263384000	75
4	1	12	6572	2018-07-22 20:43:04	40004	1532263384034	76
77	1	12	5294	2018-07-22 20:43:04	40077	1532263384067	77
44	1	12	5902	2018-07-22 20:43:04	40044	1532263384117	78
80	1	12	4067	2018-07-22 20:43:04	40080	1532263384151	79
66	1	12	4739	2018-07-22 20:43:04	40066	1532263384217	80
16	2	12	26635	2018-07-22 20:43:21	40016	1532263401476	81
12	2	12	26923	2018-07-22 20:43:21	40012	1532263401612	82
67	2	12	24505	2018-07-22 20:43:21	40067	1532263401643	83
9	2	12	27035	2018-07-22 20:43:21	40009	1532263401744	84
8	2	12	26537	2018-07-22 20:43:21	40008	1532263401777	85
21	2	12	26976	2018-07-22 20:43:21	40021	1532263401810	86
26	2	12	25140	2018-07-22 20:43:21	40026	1532263401877	87
10	2	12	27048	2018-07-22 20:43:22	40010	1532263402094	88
13	2	12	26723	2018-07-22 20:43:22	40013	1532263402144	89
50	2	12	25109	2018-07-22 20:43:22	40050	1532263402178	90
20	2	12	26809	2018-07-22 20:43:22	40020	1532263402211	91
38	2	12	25626	2018-07-22 20:43:22	40038	1532263402345	92
56	2	12	25065	2018-07-22 20:43:22	40056	1532263402378	93
71	2	12	25090	2018-07-22 20:43:22	40071	1532263402612	94
37	2	12	25451	2018-07-22 20:43:22	40037	1532263402679	95
11	2	12	27187	2018-07-22 20:43:22	40011	1532263402712	96
64	2	12	25497	2018-07-22 20:43:22	40064	1532263402812	97
80	2	12	24582	2018-07-22 20:43:22	40080	1532263402896	98
53	2	12	25864	2018-07-22 20:43:22	40053	1532263402979	99
33	2	12	25834	2018-07-22 20:43:23	40033	1532263403062	100
70	2	12	24656	2018-07-22 20:43:23	40070	1532263403105	101
72	2	12	24903	2018-07-22 20:43:23	40072	1532263403188	102
44	2	12	25831	2018-07-22 20:43:23	40044	1532263403238	103
66	2	12	25207	2018-07-22 20:43:23	40066	1532263403279	104
41	2	12	25085	2018-07-22 20:43:23	40041	1532263403363	105
77	2	12	25258	2018-07-22 20:43:23	40077	1532263403405	106
43	2	12	25270	2018-07-22 20:43:23	40043	1532263403463	107
4	2	12	27271	2018-07-22 20:43:23	40004	1532263403505	108
39	2	12	25517	2018-07-22 20:43:23	40039	1532263403630	109
52	2	12	25256	2018-07-22 20:43:23	40052	1532263403672	110
78	2	12	24691	2018-07-22 20:43:23	40078	1532263403713	111
40	2	12	26230	2018-07-22 20:43:23	40040	1532263403847	112
63	2	12	25807	2018-07-22 20:43:23	40063	1532263403880	113
69	2	12	25008	2018-07-22 20:43:23	40069	1532263403914	114
17	2	12	27317	2018-07-22 20:43:23	40017	1532263403947	115
75	2	12	25669	2018-07-22 20:43:24	40075	1532263404014	116
24	2	12	26913	2018-07-22 20:43:24	40024	1532263404047	117
47	2	12	25623	2018-07-22 20:43:24	40047	1532263404114	118
32	2	12	25914	2018-07-22 20:43:24	40032	1532263404181	119
48	2	12	26163	2018-07-22 20:43:24	40048	1532263404214	120
10	3	12	47370	2018-07-22 20:43:41	40010	1532263421383	121
38	3	12	45724	2018-07-22 20:43:41	40038	1532263421617	122
