nodeid	seq_no	src_id	rec_time_h	rec_time_l	hop_delay_h	hop_delay_l	parent_ETD	local_ETD	delta_ETD	long_link_sender	MPD	shortcut_sender	tree_sender	insert_time	motelabMoteID	milli_time	motelabSeqNo
50	17	108	11	7415	44	60651	63	21	65535	0	60608	0	1	2018-07-22 21:49:45	40050	1532267385565	1
44	17	50	11	7417	11	58089	21	30	9	0	50674	0	0	2018-07-22 21:49:45	40044	1532267385603	2
52	17	50	11	7553	11	56293	21	30	9	0	48878	0	0	2018-07-22 21:49:45	40052	1532267385691	3
39	17	50	11	8254	11	56043	21	22	1	0	48628	0	0	2018-07-22 21:49:45	40039	1532267385723	4
70	17	50	11	6451	11	54222	21	11	65535	0	46807	0	1	2018-07-22 21:49:45	40070	1532267385807	5
38	17	50	11	8254	11	56039	21	28	7	0	48624	0	0	2018-07-22 21:49:45	40038	1532267385849	6
66	17	63	11	6725	11	60904	16	17	1	0	52468	0	0	2018-07-22 21:49:45	40066	1532267385932	7
64	17	70	11	6703	11	56555	11	11	65535	0	50104	0	1	2018-07-22 21:49:45	40064	1532267385974	8
47	17	50	11	7766	11	56273	21	30	9	0	48858	0	0	2018-07-22 21:49:46	40047	1532267386099	9
17	17	80	11	10255	11	60908	5	11	6	0	54269	0	0	2018-07-22 21:49:46	40017	1532267386141	10
10	17	80	11	10380	11	61932	5	6	1	0	55293	0	0	2018-07-22 21:49:46	40010	1532267386182	11
72	17	63	11	6719	11	54725	16	10	65535	0	46289	0	1	2018-07-22 21:49:46	40072	1532267386224	12
69	17	70	11	8695	11	54500	11	20	9	0	48049	0	0	2018-07-22 21:49:46	40069	1532267386350	13
67	17	64	11	6933	11	60139	11	11	65535	0	53435	0	0	2018-07-22 21:49:46	40067	1532267386391	14
13	17	3	11	10627	11	55766	0	13	13	1	45153	0	1	2018-07-22 21:49:46	40013	1532267386454	15
12	17	3	11	10607	11	61413	0	5	5	0	50800	0	0	2018-07-22 21:49:46	40012	1532267386492	16
9	17	8	11	10742	11	62955	6	11	5	0	52602	0	0	2018-07-22 21:49:46	40009	1532267386533	17
16	17	13	11	10424	11	53966	13	6	65535	0	43339	0	0	2018-07-22 21:49:46	40016	1532267386675	18
26	17	13	11	9224	11	57321	13	18	5	0	46694	0	0	2018-07-22 21:49:46	40026	1532267386808	19
24	17	37	11	9311	11	53698	18	28	10	0	44455	0	0	2018-07-22 21:49:46	40024	1532267386842	20
71	17	70	11	8409	11	55269	11	20	9	0	48818	0	1	2018-07-22 21:49:46	40071	1532267386975	21
21	17	13	11	10512	11	56281	13	6	65535	0	45654	0	1	2018-07-22 21:49:47	40021	1532267387009	22
80	17	70	11	6639	11	58598	11	5	65535	0	52147	0	1	2018-07-22 21:49:47	40080	1532267387042	23
20	17	3	11	10758	11	54234	0	6	6	0	43621	0	0	2018-07-22 21:49:47	40020	1532267387075	24
11	17	3	11	10460	11	58088	0	6	6	0	47475	0	0	2018-07-22 21:49:47	40011	1532267387142	25
4	17	80	11	10074	11	56299	5	5	65535	0	49660	0	0	2018-07-22 21:49:47	40004	1532267387209	26
63	17	50	11	8436	11	58858	21	16	65535	0	51443	0	1	2018-07-22 21:49:47	40063	1532267387342	27
8	17	3	11	10353	11	56285	0	6	6	0	45672	0	1	2018-07-22 21:49:47	40008	1532267387376	28
3	17	80	11	10613	11	58347	5	0	65535	0	51708	0	1	2018-07-22 21:49:47	40003	1532267387510	29
37	17	13	11	9242	11	61417	13	18	5	0	50790	0	1	2018-07-22 21:49:47	40037	1532267387736	30
