id	ebw	path_ebw	elder_id	delay	children_num	is_sender	insert_time	motelabMoteID	milli_time	motelabSeqNo
3	23	0	3	14	8	1	2018-07-22 21:48:27	40003	1532267307060	1
8	25	23	3	10	4	1	2018-07-22 21:48:45	40008	1532267325476	2
11	111	23	3	11	0	0	2018-07-22 21:48:46	40011	1532267326276	3
17	1000	60	21	11	0	0	2018-07-22 21:48:49	40017	1532267329296	4
80	41	23	3	12	2	1	2018-07-22 21:48:50	40080	1532267330752	5
10	100	23	3	10	0	0	2018-07-22 21:48:51	40010	1532267331242	6
12	100	23	3	10	0	0	2018-07-22 21:48:56	40012	1532267336156	7
4	37	23	3	11	0	0	2018-07-22 21:48:56	40004	1532267336540	8
20	1000	23	3	10	0	0	2018-07-22 21:48:57	40020	1532267337156	9
21	37	23	3	11	1	1	2018-07-22 21:49:00	40021	1532267340448	10
16	125	23	3	12	0	0	2018-07-22 21:49:05	40016	1532267345484	11
13	37	48	8	11	4	1	2018-07-22 21:49:07	40013	1532267347236	12
9	111	48	8	11	0	0	2018-07-22 21:49:11	40009	1532267351152	13
64	33	48	8	10	2	1	2018-07-22 21:49:11	40064	1532267351610	14
70	71	64	80	14	2	1	2018-07-22 21:49:17	40070	1532267357663	15
67	1000	48	8	10	0	0	2018-07-22 21:49:21	40067	1532267361737	16
39	50	85	13	10	0	0	2018-07-22 21:49:29	40039	1532267369844	17
47	100	125	40	10	0	0	2018-07-22 21:49:30	40047	1532267370555	18
38	125	133	50	12	0	0	2018-07-22 21:49:30	40038	1532267370849	19
32	1000	125	41	12	0	0	2018-07-22 21:49:31	40032	1532267371815	20
24	111	125	41	11	0	0	2018-07-22 21:49:31	40024	1532267371848	21
56	1000	147	37	14	0	0	2018-07-22 21:49:32	40056	1532267372119	22
48	1000	125	40	10	0	0	2018-07-22 21:49:32	40048	1532267372497	23
26	125	85	13	12	0	0	2018-07-22 21:49:32	40026	1532267372758	24
72	62	64	80	12	1	1	2018-07-22 21:49:33	40072	1532267373831	25
66	100	81	64	10	0	0	2018-07-22 21:49:34	40066	1532267374541	26
71	100	135	70	10	1	1	2018-07-22 21:49:34	40071	1532267374793	27
69	100	135	70	10	0	0	2018-07-22 21:49:38	40069	1532267378770	28
37	62	85	13	12	1	1	2018-07-22 21:49:39	40037	1532267379810	29
52	111	125	40	11	0	0	2018-07-22 21:49:42	40052	1532267382535	30
44	100	125	40	10	0	0	2018-07-22 21:49:43	40044	1532267383547	31
50	25	108	63	12	1	1	2018-07-22 21:49:44	40050	1532267384508	32
63	27	81	64	11	4	1	2018-07-22 21:49:44	40063	1532267384753	33
33	71	85	13	14	0	0	2018-07-22 21:49:49	40033	1532267389866	34
78	1000	126	72	10	0	0	2018-07-22 21:49:50	40078	1532267390259	35
75	1000	235	71	0	0	0	2018-07-22 21:49:53	40075	1532267393726	36
40	17	108	63	12	6	1	2018-07-22 21:49:54	40040	1532267394069	37
41	17	108	63	12	1	1	2018-07-22 21:49:58	40041	1532267398565	38
53	1000	125	40	0	0	0	2018-07-22 21:49:59	40053	1532267399536	39
43	20	108	63	12	0	0	2018-07-22 21:50:03	40043	1532267403436	40
77	1000	125	40	10	0	0	2018-07-22 21:50:10	40077	1532267410736	41
