nodeid	clock_time_h	clock_time_l	dc_time_h	dc_time_l	insert_time	motelabMoteID	milli_time	motelabSeqNo
3	11	5354	10	12009	2018-07-22 23:17:27	40003	1532272647362	1
21	11	8398	10	14170	2018-07-22 23:17:30	40021	1532272650494	2
8	11	9428	10	14711	2018-07-22 23:17:31	40008	1532272651578	3
16	11	10461	10	15839	2018-07-22 23:17:32	40016	1532272652286	4
9	11	13494	10	18766	2018-07-22 23:17:35	40009	1532272655462	5
17	11	13527	10	18796	2018-07-22 23:17:35	40017	1532272655538	6
80	11	11480	10	16757	2018-07-22 23:17:35	40080	1532272655929	7
70	11	15591	10	23431	2018-07-22 23:17:39	40070	1532272659987	8
10	11	18654	10	25056	2018-07-22 23:17:40	40010	1532272660578	9
11	11	19645	10	26112	2018-07-22 23:17:41	40011	1532272661354	10
4	11	20680	10	25948	2018-07-22 23:17:42	40004	1532272662230	11
12	11	20690	10	25980	2018-07-22 23:17:42	40012	1532272662582	12
64	11	18650	10	24030	2018-07-22 23:17:43	40064	1532272663011	13
20	11	21715	10	27064	2018-07-22 23:17:43	40020	1532272663314	14
44	11	21703	10	26964	2018-07-22 23:17:45	40044	1532272665725	15
63	11	22739	10	29146	2018-07-22 23:17:46	40063	1532272666937	16
50	11	26809	10	33349	2018-07-22 23:17:50	40050	1532272670719	17
13	11	31932	10	38458	2018-07-22 23:17:53	40013	1532272673546	18
39	11	30918	10	36186	2018-07-22 23:17:54	40039	1532272674078	19
32	11	32963	10	39442	2018-07-22 23:17:56	40032	1532272676134	20
72	11	32975	10	38284	2018-07-22 23:17:56	40072	1532272676745	21
26	11	34017	10	40150	2018-07-22 23:17:57	40026	1532272677135	22
41	11	37077	10	42348	2018-07-22 23:18:00	40041	1532272680743	23
48	11	37073	10	43008	2018-07-22 23:18:00	40048	1532272680798	24
69	11	38097	10	44599	2018-07-22 23:18:01	40069	1532272681960	25
53	11	39118	10	45655	2018-07-22 23:18:02	40053	1532272682293	26
24	11	41167	10	46885	2018-07-22 23:18:03	40024	1532272683786	27
47	11	41160	10	47030	2018-07-22 23:18:04	40047	1532272684730	28
43	11	42174	10	47456	2018-07-22 23:18:05	40043	1532272685221	29
67	11	43216	10	48488	2018-07-22 23:18:06	40067	1532272686566	30
52	11	43226	10	49830	2018-07-22 23:18:06	40052	1532272686752	31
66	11	46262	10	51698	2018-07-22 23:18:09	40066	1532272689761	32
77	11	48340	10	53636	2018-07-22 23:18:11	40077	1532272691943	33
38	11	49354	10	55458	2018-07-22 23:18:12	40038	1532272692116	34
37	11	50362	10	56886	2018-07-22 23:18:13	40037	1532272693098	35
78	11	50401	10	55673	2018-07-22 23:18:13	40078	1532272693971	36
40	11	52457	10	58002	2018-07-22 23:18:15	40040	1532272695748	37
71	11	57554	10	64063	2018-07-22 23:18:20	40071	1532272700546	38
3	12	1258	10	14613	2018-07-22 23:18:27	40003	1532272707407	39
21	12	4302	10	15427	2018-07-22 23:18:30	40021	1532272710490	40
8	12	5332	10	15882	2018-07-22 23:18:31	40008	1532272711578	41
16	12	6364	10	17058	2018-07-22 23:18:32	40016	1532272712282	42
75	12	5332	11	11839	2018-07-22 23:18:33	40075	1532272713811	43
56	12	6340	11	12801	2018-07-22 23:18:34	40056	1532272714738	44
9	12	9398	10	20560	2018-07-22 23:18:35	40009	1532272715458	45
17	12	9431	10	19993	2018-07-22 23:18:35	40017	1532272715534	46
80	12	7384	10	18650	2018-07-22 23:18:35	40080	1532272715916	47
33	12	8392	11	14726	2018-07-22 23:18:36	40033	1532272716119	48
70	12	11495	10	28150	2018-07-22 23:18:39	40070	1532272719997	49
10	12	14553	10	27356	2018-07-22 23:18:40	40010	1532272720562	50
11	12	15549	10	28475	2018-07-22 23:18:41	40011	1532272721350	51
4	12	16584	10	27810	2018-07-22 23:18:42	40004	1532272722230	52
12	12	16594	10	27157	2018-07-22 23:18:42	40012	1532272722578	53
64	12	14554	10	25330	2018-07-22 23:18:43	40064	1532272723006	54
20	12	17619	10	28302	2018-07-22 23:18:43	40020	1532272723314	55
44	12	17607	10	28128	2018-07-22 23:18:45	40044	1532272725732	56
63	12	18643	10	31069	2018-07-22 23:18:46	40063	1532272726939	57
50	12	22713	10	35842	2018-07-22 23:18:50	40050	1532272730717	58
13	12	27836	10	42507	2018-07-22 23:18:53	40013	1532272733546	59
39	12	26822	10	38476	2018-07-22 23:18:54	40039	1532272734085	60
32	12	28867	10	41828	2018-07-22 23:18:56	40032	1532272736120	61
72	12	28879	10	39547	2018-07-22 23:18:56	40072	1532272736732	62
26	12	29921	10	41989	2018-07-22 23:18:57	40026	1532272737144	63
48	12	32977	10	44763	2018-07-22 23:19:00	40048	1532272740741	64
41	12	32981	10	43730	2018-07-22 23:19:00	40041	1532272740833	65
69	12	34001	10	48178	2018-07-22 23:19:01	40069	1532272741943	66
53	12	35022	10	48134	2018-07-22 23:19:02	40053	1532272742280	67
24	12	37071	10	48668	2018-07-22 23:19:03	40024	1532272743779	68
47	12	37064	10	48733	2018-07-22 23:19:04	40047	1532272744730	69
43	12	38078	10	48643	2018-07-22 23:19:05	40043	1532272745219	70
67	12	39120	10	49665	2018-07-22 23:19:06	40067	1532272746565	71
52	12	39130	10	52954	2018-07-22 23:19:06	40052	1532272746760	72
66	12	42166	10	53141	2018-07-22 23:19:10	40066	1532272750431	73
77	12	44244	10	54900	2018-07-22 23:19:11	40077	1532272751946	74
38	12	45258	10	58952	2018-07-22 23:19:12	40038	1532272752103	75
37	12	46266	10	61539	2018-07-22 23:19:13	40037	1532272753099	76
78	12	46305	10	56890	2018-07-22 23:19:13	40078	1532272753975	77
40	12	48361	10	61170	2018-07-22 23:19:15	40040	1532272755741	78
71	12	53458	11	924	2018-07-22 23:19:20	40071	1532272760552	79
3	12	62698	10	19278	2018-07-22 23:19:27	40003	1532272767423	80
21	13	206	10	16714	2018-07-22 23:19:30	40021	1532272770492	81
8	13	1236	10	17139	2018-07-22 23:19:31	40008	1532272771575	82
16	13	2268	10	18409	2018-07-22 23:19:32	40016	1532272772283	83
75	13	1236	11	14226	2018-07-22 23:19:33	40075	1532272773801	84
56	13	2244	11	15240	2018-07-22 23:19:34	40056	1532272774740	85
9	13	5302	10	23510	2018-07-22 23:19:35	40009	1532272775459	86
17	13	5335	10	21180	2018-07-22 23:19:35	40017	1532272775535	87
80	13	3288	10	21799	2018-07-22 23:19:35	40080	1532272775919	88
33	13	4296	11	17064	2018-07-22 23:19:36	40033	1532272776111	89
70	13	7399	10	33612	2018-07-22 23:19:39	40070	1532272779991	90
10	13	10457	10	29765	2018-07-22 23:19:40	40010	1532272780559	91
11	13	11453	10	30975	2018-07-22 23:19:41	40011	1532272781351	92
4	13	12488	10	30935	2018-07-22 23:19:42	40004	1532272782227	93
12	13	12498	10	28439	2018-07-22 23:19:42	40012	1532272782579	94
64	13	10458	10	26737	2018-07-22 23:19:43	40064	1532272783000	95
20	13	13523	10	29556	2018-07-22 23:19:43	40020	1532272783315	96
44	13	13511	10	29495	2018-07-22 23:19:45	40044	1532272785725	97
63	13	14547	10	35105	2018-07-22 23:19:46	40063	1532272786925	98
50	13	18617	10	38292	2018-07-22 23:19:50	40050	1532272790716	99
13	13	23740	10	47145	2018-07-22 23:19:53	40013	1532272793543	100
39	13	22726	10	41257	2018-07-22 23:19:54	40039	1532272794076	101
32	13	24771	10	44265	2018-07-22 23:19:56	40032	1532272796123	102
72	13	24783	10	40789	2018-07-22 23:19:56	40072	1532272796734	103
26	13	25825	10	43656	2018-07-22 23:19:57	40026	1532272797137	104
48	13	28881	10	46523	2018-07-22 23:20:00	40048	1532272800738	105
41	13	28885	10	45196	2018-07-22 23:20:00	40041	1532272800811	106
69	13	29905	10	52430	2018-07-22 23:20:01	40069	1532272801943	107
53	13	30926	10	50607	2018-07-22 23:20:02	40053	1532272802283	108
24	13	32975	10	50886	2018-07-22 23:20:03	40024	1532272803789	109
47	13	32968	10	50311	2018-07-22 23:20:04	40047	1532272804730	110
43	13	33982	10	49883	2018-07-22 23:20:05	40043	1532272805218	111
67	13	35024	10	50844	2018-07-22 23:20:06	40067	1532272806564	112
52	13	35034	10	57187	2018-07-22 23:20:06	40052	1532272806752	113
66	13	38070	10	54543	2018-07-22 23:20:09	40066	1532272809965	114
77	13	40148	10	56223	2018-07-22 23:20:11	40077	1532272811950	115
38	13	41162	10	62185	2018-07-22 23:20:12	40038	1532272812107	116
37	13	42170	11	756	2018-07-22 23:20:13	40037	1532272813099	117
78	13	42209	10	58064	2018-07-22 23:20:13	40078	1532272813978	118
40	13	44265	10	64375	2018-07-22 23:20:15	40040	1532272815734	119
71	13	49362	11	3441	2018-07-22 23:20:20	40071	1532272820543	120
3	13	58602	10	23957	2018-07-22 23:20:27	40003	1532272827415	121
21	13	61646	10	18104	2018-07-22 23:20:30	40021	1532272830491	122
8	13	62676	10	18327	2018-07-22 23:20:31	40008	1532272831575	123
16	13	63708	10	19775	2018-07-22 23:20:32	40016	1532272832279	124
75	13	62676	11	16883	2018-07-22 23:20:33	40075	1532272833793	125
56	13	63684	11	17241	2018-07-22 23:20:34	40056	1532272834728	126
9	14	1206	10	26518	2018-07-22 23:20:35	40009	1532272835455	127
17	14	1239	10	22446	2018-07-22 23:20:35	40017	1532272835531	128
80	13	64728	10	24894	2018-07-22 23:20:35	40080	1532272835921	129
33	14	200	11	19028	2018-07-22 23:20:36	40033	1532272836119	130
70	14	3303	10	39323	2018-07-22 23:20:39	40070	1532272839985	131
10	14	6361	10	32088	2018-07-22 23:20:40	40010	1532272840559	132
11	14	7357	10	33363	2018-07-22 23:20:41	40011	1532272841347	133
4	14	8392	10	34032	2018-07-22 23:20:42	40004	1532272842227	134
12	14	8402	10	29750	2018-07-22 23:20:42	40012	1532272842579	135
64	14	6362	10	28107	2018-07-22 23:20:43	40064	1532272843011	136
20	14	9427	10	30888	2018-07-22 23:20:43	40020	1532272843311	137
44	14	9415	10	30823	2018-07-22 23:20:45	40044	1532272845719	138
63	14	10451	10	40013	2018-07-22 23:20:46	40063	1532272846928	139
50	14	14521	10	40657	2018-07-22 23:20:50	40050	1532272850715	140
13	14	19644	10	51797	2018-07-22 23:20:53	40013	1532272853543	141
39	14	18630	10	44061	2018-07-22 23:20:54	40039	1532272854082	142
32	14	20675	10	46713	2018-07-22 23:20:56	40032	1532272856126	143
72	14	20687	10	42276	2018-07-22 23:20:56	40072	1532272856737	144
26	14	21729	10	45604	2018-07-22 23:20:57	40026	1532272857131	145
48	14	24785	10	48481	2018-07-22 23:21:00	40048	1532272860736	146
41	14	24789	10	46864	2018-07-22 23:21:00	40041	1532272860794	147
69	14	25809	10	55499	2018-07-22 23:21:01	40069	1532272861944	148
53	14	26830	10	53122	2018-07-22 23:21:02	40053	1532272862285	149
24	14	28879	10	53189	2018-07-22 23:21:03	40024	1532272863782	150
47	14	28872	10	52202	2018-07-22 23:21:04	40047	1532272864731	151
43	14	29886	10	51092	2018-07-22 23:21:05	40043	1532272865219	152
67	14	30928	10	52180	2018-07-22 23:21:06	40067	1532272866564	153
52	14	30938	10	60752	2018-07-22 23:21:06	40052	1532272866744	154
66	14	33974	10	55955	2018-07-22 23:21:10	40066	1532272870257	155
77	14	36052	10	57588	2018-07-22 23:21:11	40077	1532272871937	156
38	14	37066	11	431	2018-07-22 23:21:12	40038	1532272872111	157
37	14	38074	11	5496	2018-07-22 23:21:13	40037	1532272873085	158
78	14	38113	10	59249	2018-07-22 23:21:13	40078	1532272873966	159
40	14	40169	11	2840	2018-07-22 23:21:15	40040	1532272875743	160
71	14	45266	11	5831	2018-07-22 23:21:20	40071	1532272880550	161
3	14	54506	10	28640	2018-07-22 23:21:27	40003	1532272887441	162
21	14	57550	10	19651	2018-07-22 23:21:30	40021	1532272890488	163
8	14	58580	10	19513	2018-07-22 23:21:31	40008	1532272891576	164
16	14	59612	10	21058	2018-07-22 23:21:32	40016	1532272892280	165
75	14	58580	11	19271	2018-07-22 23:21:33	40075	1532272893801	166
56	14	59588	11	19507	2018-07-22 23:21:34	40056	1532272894733	167
9	14	62646	10	29452	2018-07-22 23:21:35	40009	1532272895456	168
17	14	62679	10	23744	2018-07-22 23:21:35	40017	1532272895532	169
80	14	60632	10	28003	2018-07-22 23:21:35	40080	1532272895924	170
33	14	61647	11	21287	2018-07-22 23:21:36	40033	1532272896127	171
70	14	64743	10	45551	2018-07-22 23:21:39	40070	1532272899979	172
10	15	2265	10	34671	2018-07-22 23:21:40	40010	1532272900556	173
11	15	3261	10	35812	2018-07-22 23:21:41	40011	1532272901348	174
4	15	4296	10	37117	2018-07-22 23:21:42	40004	1532272902228	175
12	15	4306	10	30939	2018-07-22 23:21:42	40012	1532272902576	176
64	15	2266	10	29425	2018-07-22 23:21:43	40064	1532272903003	177
20	15	5331	10	32166	2018-07-22 23:21:43	40020	1532272903308	178
44	15	5319	10	31995	2018-07-22 23:21:45	40044	1532272905729	179
63	15	6355	10	44401	2018-07-22 23:21:46	40063	1532272906929	180
50	15	10425	10	43088	2018-07-22 23:21:50	40050	1532272910722	181
13	15	15548	10	56804	2018-07-22 23:21:53	40013	1532272913545	182
39	15	14534	10	46902	2018-07-22 23:21:54	40039	1532272914072	183
32	15	16579	10	49088	2018-07-22 23:21:56	40032	1532272916130	184
72	15	16591	10	43572	2018-07-22 23:21:56	40072	1532272916741	185
26	15	17633	10	47633	2018-07-22 23:21:57	40026	1532272917140	186
48	15	20689	10	50129	2018-07-22 23:22:00	40048	1532272920733	187
41	15	20693	10	48053	2018-07-22 23:22:00	40041	1532272920795	188
69	15	21713	10	59792	2018-07-22 23:22:01	40069	1532272921944	189
53	15	22734	10	55610	2018-07-22 23:22:02	40053	1532272922287	190
24	15	24783	10	55022	2018-07-22 23:22:03	40024	1532272923776	191
47	15	24776	10	53649	2018-07-22 23:22:04	40047	1532272924716	192
43	15	25790	10	52311	2018-07-22 23:22:05	40043	1532272925217	193
67	15	26832	10	53457	2018-07-22 23:22:06	40067	1532272926564	194
52	15	26842	10	64918	2018-07-22 23:22:06	40052	1532272926753	195
66	15	29878	10	57399	2018-07-22 23:22:10	40066	1532272930136	196
77	15	31956	10	58932	2018-07-22 23:22:11	40077	1532272931941	197
38	15	32970	11	3979	2018-07-22 23:22:12	40038	1532272932098	198
37	15	33978	11	10215	2018-07-22 23:22:13	40037	1532272933086	199
78	15	34017	10	60432	2018-07-22 23:22:13	40078	1532272933969	200
40	15	36073	11	5993	2018-07-22 23:22:15	40040	1532272935737	201
71	15	41170	11	8296	2018-07-22 23:22:20	40071	1532272940541	202
3	15	50410	10	33422	2018-07-22 23:22:27	40003	1532272947409	203
21	15	53454	10	20930	2018-07-22 23:22:30	40021	1532272950488	204
8	15	54484	10	20821	2018-07-22 23:22:31	40008	1532272951573	205
16	15	55516	10	22387	2018-07-22 23:22:32	40016	1532272952280	206
75	15	54484	11	21714	2018-07-22 23:22:33	40075	1532272953794	207
56	15	55492	11	22382	2018-07-22 23:22:34	40056	1532272954739	208
9	15	58550	10	32420	2018-07-22 23:22:35	40009	1532272955456	209
17	15	58583	10	24975	2018-07-22 23:22:35	40017	1532272955528	210
80	15	56536	10	31100	2018-07-22 23:22:35	40080	1532272955911	211
33	15	57544	11	23759	2018-07-22 23:22:36	40033	1532272956104	212
70	15	60656	10	51557	2018-07-22 23:22:39	40070	1532272959989	213
10	15	63705	10	37209	2018-07-22 23:22:40	40010	1532272960556	214
11	15	64701	10	38384	2018-07-22 23:22:41	40011	1532272961348	215
4	16	200	10	40262	2018-07-22 23:22:42	40004	1532272962224	216
12	16	210	10	32445	2018-07-22 23:22:42	40012	1532272962576	217
64	15	63706	10	30735	2018-07-22 23:22:42	40064	1532272962998	218
20	16	1235	10	33432	2018-07-22 23:22:43	40020	1532272963308	219
44	16	1223	10	33210	2018-07-22 23:22:45	40044	1532272965723	220
63	16	2259	10	50228	2018-07-22 23:22:46	40063	1532272966931	221
50	16	6329	10	45684	2018-07-22 23:22:50	40050	1532272970722	222
13	16	11452	10	61608	2018-07-22 23:22:53	40013	1532272973542	223
39	16	10438	10	49736	2018-07-22 23:22:54	40039	1532272974077	224
32	16	12483	10	51523	2018-07-22 23:22:56	40032	1532272976117	225
