id	ebw	path_ebw	elder_id	delay	children_num	is_sender	insert_time	motelabMoteID	milli_time	motelabSeqNo
3	20	0	3	14	8	1	2018-07-20 10:24:06	40003	1532053446449	1
17	1000	20	3	10	0	0	2018-07-20 10:24:16	40017	1532053456417	2
20	100	20	3	10	0	0	2018-07-20 10:24:16	40020	1532053456509	3
10	100	20	3	10	0	0	2018-07-20 10:24:16	40010	1532053456649	4
80	55	20	3	11	1	1	2018-07-20 10:24:18	40080	1532053458865	5
11	71	20	3	14	0	0	2018-07-20 10:24:22	40011	1532053462465	6
50	28	105	63	14	0	0	2018-07-20 10:24:22	40050	1532053462624	7
4	47	20	3	14	3	1	2018-07-20 10:24:23	40004	1532053463405	8
63	23	82	64	14	6	1	2018-07-20 10:24:26	40063	1532053466797	9
64	37	45	8	11	2	1	2018-07-20 10:24:26	40064	1532053466859	10
16	1000	67	4	10	0	0	2018-07-20 10:24:30	40016	1532053470306	11
12	111	20	3	11	0	0	2018-07-20 10:24:30	40012	1532053470409	12
72	47	75	80	14	1	1	2018-07-20 10:24:33	40072	1532053473860	13
66	55	82	64	11	0	0	2018-07-20 10:24:35	40066	1532053475678	14
8	25	20	3	10	3	1	2018-07-20 10:24:37	40008	1532053477323	15
70	1000	105	63	14	1	1	2018-07-20 10:24:38	40070	1532053478849	16
44	1000	127	40	10	0	0	2018-07-20 10:24:39	40044	1532053479126	17
71	55	1105	70	11	2	1	2018-07-20 10:24:42	40071	1532053482816	18
53	142	127	40	14	0	0	2018-07-20 10:24:43	40053	1532053483627	19
67	1000	45	8	12	0	0	2018-07-20 10:24:47	40067	1532053487892	20
47	1000	127	40	10	0	0	2018-07-20 10:24:48	40047	1532053488595	21
43	25	105	63	10	1	1	2018-07-20 10:24:48	40043	1532053488626	22
52	25	105	63	12	0	0	2018-07-20 10:24:49	40052	1532053489626	23
32	125	128	41	12	0	0	2018-07-20 10:24:49	40032	1532053489802	24
41	23	105	63	14	2	1	2018-07-20 10:24:51	40041	1532053491114	25
9	50	45	8	10	1	1	2018-07-20 10:24:51	40009	1532053491497	26
26	1000	114	37	10	0	0	2018-07-20 10:24:51	40026	1532053491738	27
21	111	20	3	11	0	0	2018-07-20 10:24:52	40021	1532053492297	28
56	1000	128	41	0	0	0	2018-07-20 10:24:52	40056	1532053492642	29
39	33	95	9	10	0	0	2018-07-20 10:24:53	40039	1532053493708	30
40	22	105	63	11	4	1	2018-07-20 10:24:54	40040	1532053494638	31
48	1000	127	40	10	0	0	2018-07-20 10:24:55	40048	1532053495157	32
13	142	67	4	14	0	0	2018-07-20 10:24:56	40013	1532053496486	33
78	1000	122	72	0	0	0	2018-07-20 10:24:56	40078	1532053496896	34
38	100	114	37	10	1	1	2018-07-20 10:24:58	40038	1532053498747	35
77	1000	127	40	11	0	0	2018-07-20 10:24:59	40077	1532053499520	36
24	142	128	41	14	0	0	2018-07-20 10:25:00	40024	1532053500752	37
37	47	67	4	14	2	1	2018-07-20 10:25:00	40037	1532053500819	38
69	1000	1160	71	0	0	0	2018-07-20 10:25:21	40069	1532053521784	39
75	1000	1160	71	10	0	0	2018-07-20 10:25:23	40075	1532053523886	40
33	1000	214	38	0	0	0	2018-07-20 10:25:54	40033	1532053554761	41
