id	ebw	path_ebw	elder_id	delay	children_num	is_sender	insert_time	motelabMoteID	milli_time	motelabSeqNo
3	23	0	3	14	8	1	2018-07-20 14:57:15	40003	1532069835558	1
12	125	23	3	12	0	0	2018-07-20 14:57:18	40012	1532069838387	2
8	31	23	3	12	3	1	2018-07-20 14:57:19	40008	1532069839547	3
38	47	64	37	14	4	1	2018-07-20 14:57:20	40038	1532069840568	4
80	100	23	3	10	1	1	2018-07-20 14:57:21	40080	1532069841664	5
17	100	23	3	10	0	0	2018-07-20 14:57:22	40017	1532069842123	6
50	35	111	38	14	0	0	2018-07-20 14:57:22	40050	1532069842447	7
9	50	54	8	10	0	0	2018-07-20 14:57:24	40009	1532069844419	8
39	50	64	37	10	0	0	2018-07-20 14:57:26	40039	1532069846555	9
56	47	64	37	14	3	1	2018-07-20 14:57:28	40056	1532069848466	10
13	100	64	37	10	0	0	2018-07-20 14:57:29	40013	1532069849351	11
10	125	23	3	12	0	0	2018-07-20 14:57:29	40010	1532069849423	12
26	1000	111	38	12	0	0	2018-07-20 14:57:29	40026	1532069849553	13
44	31	111	38	12	0	0	2018-07-20 14:57:31	40044	1532069851614	14
11	62	23	3	12	0	0	2018-07-20 14:57:34	40011	1532069854532	15
37	41	23	3	12	4	1	2018-07-20 14:57:35	40037	1532069855535	16
4	31	23	3	12	2	1	2018-07-20 14:57:36	40004	1532069856051	17
16	71	23	3	14	0	0	2018-07-20 14:57:39	40016	1532069859199	18
66	100	95	64	10	0	0	2018-07-20 14:57:43	40066	1532069863125	19
53	1000	139	40	12	0	0	2018-07-20 14:57:43	40053	1532069863267	20
33	1000	139	52	12	0	0	2018-07-20 14:57:43	40033	1532069863558	21
48	1000	138	41	10	0	0	2018-07-20 14:57:44	40048	1532069864465	22
52	28	111	56	14	1	1	2018-07-20 14:57:45	40052	1532069865456	23
63	41	95	64	12	0	0	2018-07-20 14:57:46	40063	1532069866646	24
24	125	111	56	12	0	0	2018-07-20 14:57:47	40024	1532069867559	25
43	71	138	41	14	0	0	2018-07-20 14:57:48	40043	1532069868156	26
77	1000	139	40	10	0	0	2018-07-20 14:57:49	40077	1532069869157	27
64	41	54	8	12	3	1	2018-07-20 14:57:49	40064	1532069869651	28
47	1000	138	41	14	0	0	2018-07-20 14:57:50	40047	1532069870460	29
21	111	54	4	11	0	0	2018-07-20 14:57:59	40021	1532069879387	30
41	27	111	56	11	3	1	2018-07-20 14:57:59	40041	1532069879460	31
20	1000	54	4	0	0	0	2018-07-20 14:58:00	40020	1532069880399	32
40	28	111	38	14	2	1	2018-07-20 14:58:00	40040	1532069880460	33
32	125	111	56	12	0	0	2018-07-20 14:58:01	40032	1532069881598	34
67	1000	54	8	10	0	0	2018-07-20 14:58:02	40067	1532069882645	35
72	100	123	80	10	0	0	2018-07-20 14:58:07	40072	1532069887598	36
70	50	95	64	10	3	1	2018-07-20 14:58:25	40070	1532069905663	37
69	100	145	70	10	0	0	2018-07-20 14:58:26	40069	1532069906639	38
71	100	145	70	10	1	1	2018-07-20 14:58:27	40071	1532069907647	39
78	1000	145	70	0	0	0	2018-07-20 14:58:38	40078	1532069918678	40
75	1000	245	71	0	0	0	2018-07-20 14:59:00	40075	1532069940442	41
