addr	neighbor_num	neighbor0	neighbor1	neighbor2	neighbor3	neighbor4	neighbor5	neighbor6	neighbor7	neighbor8	neighbor9	neighbor10	neighbor11	neighbor12	neighbor13	reced0	reced1	reced2	reced3	reced4	reced5	reced6	reced7	reced8	reced9	reced10	reced11	reced12	reced13	insert_time	motelabMoteID	milli_time	motelabSeqNo
3	12	4	8	10	11	12	13	16	17	20	21	37	80	0	0	8	7	8	7	10	6	2	7	3	4	4	6	0	0	2018-07-20 14:30:02	40003	1532068202911	1
16	6	3	4	11	13	20	21	0	0	0	0	0	0	0	0	3	10	10	8	10	7	0	0	0	0	0	0	0	0	2018-07-20 14:30:03	40016	1532068203050	2
8	5	3	9	13	64	67	0	0	0	0	0	0	0	0	0	8	10	10	10	10	0	0	0	0	0	0	0	0	0	2018-07-20 14:30:03	40008	1532068203202	3
17	7	3	4	10	12	21	70	80	0	0	0	0	0	0	0	10	10	10	10	10	6	10	0	0	0	0	0	0	0	2018-07-20 14:30:03	40017	1532068203245	4
20	6	3	4	11	12	16	21	0	0	0	0	0	0	0	0	10	10	10	8	10	10	0	0	0	0	0	0	0	0	2018-07-20 14:30:03	40020	1532068203278	5
11	5	3	4	13	16	20	0	0	0	0	0	0	0	0	0	9	7	7	10	10	0	0	0	0	0	0	0	0	0	2018-07-20 14:30:03	40011	1532068203312	6
12	8	3	4	10	17	20	21	70	80	0	0	0	0	0	0	10	10	10	10	9	4	1	7	0	0	0	0	0	0	2018-07-20 14:30:03	40012	1532068203345	7
9	5	8	13	39	64	67	0	0	0	0	0	0	0	0	0	10	10	10	6	10	0	0	0	0	0	0	0	0	0	2018-07-20 14:30:03	40009	1532068203378	8
4	12	3	10	11	12	13	16	17	20	21	37	70	80	0	0	10	10	7	10	8	8	7	10	10	10	7	9	0	0	2018-07-20 14:30:03	40004	1532068203428	9
21	10	3	4	10	12	13	16	17	20	37	80	0	0	0	0	8	10	2	8	8	5	9	10	10	2	0	0	0	0	2018-07-20 14:30:03	40021	1532068203462	10
13	12	3	4	8	9	11	16	21	26	33	37	38	67	0	0	4	8	6	5	8	6	4	7	8	10	2	6	0	0	2018-07-20 14:30:03	40013	1532068203495	11
10	7	3	4	12	17	21	70	80	0	0	0	0	0	0	0	10	10	10	10	2	9	10	0	0	0	0	0	0	0	2018-07-20 14:30:03	40010	1532068203528	12
40	11	38	41	43	44	47	48	50	52	53	63	77	0	0	0	7	10	10	8	10	10	9	10	7	9	10	0	0	0	2018-07-20 14:30:04	40040	1532068204141	13
66	4	63	64	70	77	0	0	0	0	0	0	0	0	0	0	9	10	9	10	0	0	0	0	0	0	0	0	0	0	2018-07-20 14:30:04	40066	1532068204657	14
38	10	13	26	33	37	39	40	41	43	44	50	0	0	0	0	1	10	9	10	10	8	3	8	10	6	0	0	0	0	2018-07-20 14:30:04	40038	1532068204746	15
37	8	3	4	13	21	33	38	39	56	0	0	0	0	0	0	2	8	10	4	8	8	7	7	0	0	0	0	0	0	2018-07-20 14:30:04	40037	1532068204780	16
24	8	32	33	38	40	41	44	52	56	0	0	0	0	0	0	8	9	1	1	9	7	10	8	0	0	0	0	0	0	2018-07-20 14:30:04	40024	1532068204812	17
39	6	9	13	26	37	38	50	0	0	0	0	0	0	0	0	10	6	10	10	10	9	0	0	0	0	0	0	0	0	2018-07-20 14:30:04	40039	1532068204846	18
64	8	8	9	41	50	63	66	67	70	0	0	0	0	0	0	10	5	1	1	10	9	10	7	0	0	0	0	0	0	2018-07-20 14:30:04	40064	1532068204879	19
