addr	neighbor_num	neighbor0	neighbor1	neighbor2	neighbor3	neighbor4	neighbor5	neighbor6	neighbor7	neighbor8	neighbor9	neighbor10	neighbor11	neighbor12	neighbor13	reced0	reced1	reced2	reced3	reced4	reced5	reced6	reced7	reced8	reced9	reced10	reced11	reced12	reced13	insert_time	motelabMoteID	milli_time	motelabSeqNo
21	9	3	4	10	12	13	16	17	20	37	0	0	0	0	0	10	10	9	8	10	7	10	10	8	0	0	0	0	0	2018-07-20 08:55:05	40021	1532048105566	1
17	6	3	4	10	12	21	80	0	0	0	0	0	0	0	0	9	10	10	10	10	10	0	0	0	0	0	0	0	0	2018-07-20 08:55:05	40017	1532048105706	2
20	7	3	4	10	11	12	16	21	0	0	0	0	0	0	0	10	10	10	10	10	10	10	0	0	0	0	0	0	0	2018-07-20 08:55:05	40020	1532048105744	3
13	12	3	4	8	9	11	16	21	26	33	37	38	67	0	0	8	8	8	7	7	9	6	8	5	10	1	1	0	0	2018-07-20 08:55:05	40013	1532048105774	4
11	5	3	4	13	16	20	0	0	0	0	0	0	0	0	0	9	5	8	10	10	0	0	0	0	0	0	0	0	0	2018-07-20 08:55:05	40011	1532048105808	5
12	9	3	4	10	11	17	20	21	70	80	0	0	0	0	0	10	10	10	4	10	6	7	6	10	0	0	0	0	0	2018-07-20 08:55:05	40012	1532048105841	6
10	8	3	4	12	17	20	21	70	80	0	0	0	0	0	0	10	10	10	10	2	7	10	10	0	0	0	0	0	0	2018-07-20 08:55:05	40010	1532048105874	7
3	10	4	8	10	11	12	13	16	17	21	80	0	0	0	0	10	8	10	10	7	6	3	7	5	6	0	0	0	0	2018-07-20 08:55:05	40003	1532048105966	8
4	12	3	10	11	12	13	16	17	20	21	37	70	80	0	0	10	10	9	10	8	10	8	10	10	9	8	8	0	0	2018-07-20 08:55:06	40004	1532048106000	9
9	5	8	13	39	64	67	0	0	0	0	0	0	0	0	0	10	10	7	4	8	0	0	0	0	0	0	0	0	0	2018-07-20 08:55:06	40009	1532048106033	10
8	5	3	9	13	64	67	0	0	0	0	0	0	0	0	0	9	10	10	10	10	0	0	0	0	0	0	0	0	0	2018-07-20 08:55:06	40008	1532048106066	11
16	6	3	4	11	13	20	21	0	0	0	0	0	0	0	0	5	10	10	8	10	7	0	0	0	0	0	0	0	0	2018-07-20 08:55:06	40016	1532048106100	12
26	5	13	37	38	39	56	0	0	0	0	0	0	0	0	0	10	9	8	9	7	0	0	0	0	0	0	0	0	0	2018-07-20 08:55:07	40026	1532048107294	13
37	8	3	4	13	21	26	38	39	56	0	0	0	0	0	0	1	8	10	6	8	7	7	8	0	0	0	0	0	0	2018-07-20 08:55:07	40037	1532048107358	14
24	7	32	33	40	41	44	52	56	0	0	0	0	0	0	0	7	6	5	8	10	10	10	0	0	0	0	0	0	0	2018-07-20 08:55:07	40024	1532048107419	15
32	5	33	41	47	52	56	0	0	0	0	0	0	0	0	0	7	8	1	10	4	0	0	0	0	0	0	0	0	0	2018-07-20 08:55:07	40032	1532048107453	16
33	5	13	32	38	52	56	0	0	0	0	0	0	0	0	0	8	8	6	9	9	0	0	0	0	0	0	0	0	0	2018-07-20 08:55:07	40033	1532048107483	17
38	9	13	26	33	37	39	40	41	44	50	0	0	0	0	0	3	8	6	10	10	8	1	10	9	0	0	0	0	0	2018-07-20 08:55:07	40038	1532048107542	18
39	6	9	13	26	37	38	50	0	0	0	0	0	0	0	0	10	1	10	10	10	10	0	0	0	0	0	0	0	0	2018-07-20 08:55:07	40039	1532048107575	19
