id	ebw	path_ebw	elder_id	delay	children_num	is_sender	insert_time	motelabMoteID	milli_time	motelabSeqNo
3	22	0	3	20	9	1	2018-07-20 19:37:52	40003	1532086672045	1
10	71	22	3	14	0	0	2018-07-20 19:38:10	40010	1532086690677	2
8	33	22	3	10	3	1	2018-07-20 19:38:11	40008	1532086691653	3
16	1000	22	3	14	0	0	2018-07-20 19:38:12	40016	1532086692265	4
13	41	22	3	16	0	0	2018-07-20 19:38:12	40013	1532086692469	5
11	1000	22	3	14	0	0	2018-07-20 19:38:12	40011	1532086692653	6
56	50	62	37	20	2	1	2018-07-20 19:38:14	40056	1532086694013	7
48	1000	123	40	10	0	0	2018-07-20 19:38:14	40048	1532086694673	8
64	47	55	8	14	3	1	2018-07-20 19:38:14	40064	1532086694722	9
26	1000	62	37	10	0	0	2018-07-20 19:38:14	40026	1532086694755	10
9	100	55	8	10	0	0	2018-07-20 19:38:15	40009	1532086695409	11
17	1000	88	80	11	0	0	2018-07-20 19:38:15	40017	1532086695505	12
80	66	22	3	20	2	1	2018-07-20 19:38:15	40080	1532086695718	13
70	33	88	80	20	4	1	2018-07-20 19:38:20	40070	1532086700141	14
66	100	102	64	10	0	0	2018-07-20 19:38:20	40066	1532086700689	15
4	83	22	3	16	0	0	2018-07-20 19:38:22	40004	1532086702234	16
12	100	22	3	10	0	0	2018-07-20 19:38:22	40012	1532086702381	17
52	33	112	56	16	0	0	2018-07-20 19:38:22	40052	1532086702663	18
47	1000	123	40	20	0	0	2018-07-20 19:38:22	40047	1532086702714	19
20	1000	22	3	10	0	0	2018-07-20 19:38:23	40020	1532086703393	20
44	33	103	38	20	0	0	2018-07-20 19:38:25	40044	1532086705004	21
50	15	102	64	12	3	1	2018-07-20 19:38:26	40050	1532086706632	22
21	111	22	3	11	0	0	2018-07-20 19:38:26	40021	1532086706689	23
63	35	102	64	14	0	0	2018-07-20 19:38:26	40063	1532086706722	24
38	41	62	37	16	2	1	2018-07-20 19:38:29	40038	1532086709803	25
37	40	22	3	20	5	1	2018-07-20 19:38:30	40037	1532086710796	26
33	55	62	37	11	1	1	2018-07-20 19:38:31	40033	1532086711816	27
39	100	62	37	10	0	0	2018-07-20 19:38:33	40039	1532086713800	28
24	125	112	56	12	0	0	2018-07-20 19:38:35	40024	1532086715527	29
72	1000	121	70	10	0	0	2018-07-20 19:38:36	40072	1532086716608	30
40	20	103	38	14	2	1	2018-07-20 19:38:36	40040	1532086716699	31
71	111	121	70	11	0	0	2018-07-20 19:38:38	40071	1532086718611	32
41	33	112	56	16	0	0	2018-07-20 19:38:40	40041	1532086720110	33
69	111	121	70	11	1	1	2018-07-20 19:38:41	40069	1532086721692	34
43	50	117	50	10	0	0	2018-07-20 19:38:44	40043	1532086724753	35
53	1000	117	50	20	0	0	2018-07-20 19:38:46	40053	1532086726583	36
67	1000	55	8	0	0	0	2018-07-20 19:38:46	40067	1532086726697	37
77	1000	117	50	0	0	0	2018-07-20 19:38:51	40077	1532086731312	38
78	1000	121	70	10	0	0	2018-07-20 19:38:53	40078	1532086733732	39
32	111	117	33	11	0	0	2018-07-20 19:39:04	40032	1532086744611	40
75	1000	232	69	0	0	0	2018-07-20 19:39:06	40075	1532086746728	41
