id	ebw	path_ebw	elder_id	delay	children_num	is_sender	insert_time	motelabMoteID	milli_time	motelabSeqNo
3	17	0	3	12	8	1	2018-07-19 22:34:02	40003	1532010842010	1
8	31	17	3	12	3	1	2018-07-19 22:34:12	40008	1532010852606	2
16	1000	58	4	10	0	0	2018-07-19 22:34:13	40016	1532010853498	3
47	50	131	50	10	0	0	2018-07-19 22:34:13	40047	1532010853526	4
66	111	98	64	11	0	0	2018-07-19 22:34:15	40066	1532010855988	5
80	55	17	3	11	1	1	2018-07-19 22:34:16	40080	1532010856498	6
10	111	17	3	11	0	0	2018-07-19 22:34:18	40010	1532010858094	7
50	18	113	70	11	7	1	2018-07-19 22:34:21	40050	1532010861081	8
12	1000	17	3	12	0	0	2018-07-19 22:34:23	40012	1532010863422	9
4	41	17	3	12	1	1	2018-07-19 22:34:23	40004	1532010863527	10
20	100	17	3	10	0	0	2018-07-19 22:34:24	40020	1532010864482	11
44	111	131	50	11	0	0	2018-07-19 22:34:26	40044	1532010866105	12
21	62	17	3	12	0	0	2018-07-19 22:34:27	40021	1532010867358	13
17	1000	17	3	11	0	0	2018-07-19 22:34:27	40017	1532010867430	14
70	41	72	80	12	5	1	2018-07-19 22:34:32	40070	1532010872507	15
11	100	17	3	10	0	0	2018-07-19 22:34:32	40011	1532010872610	16
63	37	98	64	11	0	0	2018-07-19 22:34:33	40063	1532010873043	17
39	25	98	9	10	1	1	2018-07-19 22:34:34	40039	1532010874670	18
64	50	48	8	10	2	1	2018-07-19 22:34:35	40064	1532010875993	19
24	55	158	41	11	0	0	2018-07-19 22:34:36	40024	1532010876367	20
48	1000	158	41	10	0	0	2018-07-19 22:34:37	40048	1532010877161	21
40	50	131	50	10	0	0	2018-07-19 22:34:37	40040	1532010877227	22
72	1000	113	70	10	0	0	2018-07-19 22:34:37	40072	1532010877268	23
9	50	48	8	10	2	1	2018-07-19 22:34:37	40009	1532010877426	24
41	27	131	50	11	4	1	2018-07-19 22:34:41	40041	1532010881589	25
26	1000	148	38	11	0	0	2018-07-19 22:34:41	40026	1532010881685	26
53	1000	131	50	12	0	0	2018-07-19 22:34:43	40053	1532010883541	27
69	100	113	70	10	0	0	2018-07-19 22:34:44	40069	1532010884489	28
43	50	131	50	10	0	0	2018-07-19 22:34:46	40043	1532010886495	29
67	1000	48	8	11	0	0	2018-07-19 22:34:47	40067	1532010887540	30
13	100	98	9	10	0	0	2018-07-19 22:34:51	40013	1532010891578	31
32	55	158	41	11	1	1	2018-07-19 22:34:51	40032	1532010891691	32
77	1000	131	50	10	0	0	2018-07-19 22:34:52	40077	1532010892486	33
71	100	113	70	10	1	1	2018-07-19 22:34:52	40071	1532010892535	34
38	25	123	39	10	2	1	2018-07-19 22:34:52	40038	1532010892594	35
78	1000	113	70	10	0	0	2018-07-19 22:34:54	40078	1532010894522	36
52	62	158	41	12	1	1	2018-07-19 22:34:56	40052	1532010896542	37
75	1000	213	71	12	0	0	2018-07-19 22:34:57	40075	1532010897487	38
56	1000	220	52	11	0	0	2018-07-19 22:34:59	40056	1532010899113	39
33	1000	213	32	12	0	0	2018-07-19 22:35:02	40033	1532010902636	40
37	1000	148	38	0	0	0	2018-07-19 22:35:06	40037	1532010906677	41
